date,open,high,low,close,volume
2018-01-02,5.59,5.88,5.57,5.87,3657426
2018-01-03,5.87,5.91,5.75,5.84,5056543
2018-01-04,5.84,5.88,5.8,5.87,6365641
2018-01-05,5.89,5.97,5.8,5.87,6453452
2018-01-08,5.87,6.07,5.87,6.07,3879771
2018-01-09,6.07,6.15,5.89,6.09,4745410
2018-01-10,6.12,6.15,5.95,6.02,4638024
2018-01-11,6.02,6.05,5.89,6.05,4924236
2018-01-12,6.05,6.07,5.88,5.91,7568499
2018-01-15,5.91,5.94,5.79,5.89,3366618
2018-01-16,5.89,5.94,5.82,5.87,3387031
2018-01-17,5.87,6.07,5.84,5.89,4081715
2018-01-18,5.79,5.97,5.79,5.97,3733257
2018-01-19,5.99,6.11,5.93,5.97,4677507
2018-01-22,5.97,6.12,5.97,6.07,4545380
2018-01-23,6.12,6.32,6.07,6.26,7923102
2018-01-24,6.3,6.4,6.21,6.21,4139581
2018-01-25,6.23,6.45,6.09,6.32,8429425
2018-01-26,6.35,6.43,6.24,6.37,4970555
2018-01-29,6.35,6.47,6.33,6.35,4937869
2018-01-30,6.33,6.33,6.23,6.29,3927399
2018-01-31,6.29,6.43,6.27,6.3,6436073
2018-02-01,6.3,6.33,6.15,6.19,6434280
2018-02-02,6.19,6.3,6.18,6.27,3810505
2018-02-05,6.29,6.37,6.02,6.05,5066909
2018-02-06,5.84,5.97,5.45,5.88,7329750
2018-02-07,5.91,6.33,5.91,6.15,2625378
2018-02-08,6.15,6.23,5.97,5.97,2011871
2018-02-09,5.51,6.07,5.51,6.02,3861562
2018-02-12,6.15,6.35,6.15,6.35,2149455
2018-02-13,6.43,6.68,6.35,6.61,5453039
2018-02-21,6.61,6.85,6.61,6.73,3300915
2018-02-22,6.77,6.81,6.63,6.68,3505413
2018-02-23,6.68,6.81,6.63,6.76,4133818
2018-02-26,6.77,6.98,6.77,6.85,10048941
2018-02-27,6.86,7.02,6.83,7.01,4107205
2018-02-28,7.02,7.16,6.93,7.1,4274179
2018-03-01,7.1,7.18,6.91,6.95,5379316
2018-03-02,6.95,7.06,6.83,7.02,5264337
2018-03-05,7.02,7.12,6.65,6.65,6171135
2018-03-06,6.65,6.94,6.63,6.94,4279645
2018-03-07,6.95,7.01,6.79,6.83,5017215
2018-03-08,6.93,6.93,6.81,6.85,4041111
2018-03-09,6.88,7.08,6.86,7.06,4829484
2018-03-12,7.1,7.35,7.1,7.35,4944538
2018-03-13,7.36,7.44,7.25,7.44,3683159
2018-03-14,7.63,7.71,7.41,7.44,2974601
2018-03-15,7.45,7.5,7.35,7.46,4032484
2018-03-16,7.53,7.66,7.48,7.62,4163554
2018-03-19,7.71,7.81,7.65,7.81,4889388
2018-03-20,7.9,8.06,7.81,8.05,4552573
2018-03-21,8.05,8.12,7.9,7.96,6287554
2018-03-22,7.96,7.99,7.77,7.81,5892543
2018-03-23,7.81,7.81,7.4,7.65,6436238
2018-03-26,7.65,7.87,7.58,7.87,2814607
2018-03-27,7.92,8.03,7.85,7.9,3305080
2018-03-28,7.88,7.92,7.77,7.81,2276552
2018-03-29,7.85,7.85,7.75,7.75,2039780
2018-03-30,7.65,7.81,7.65,7.77,2092042
2018-04-02,7.77,8.18,7.77,8.18,4372662
2018-04-03,8.18,8.23,8.06,8.14,3577394
2018-04-04,8.14,8.28,8.13,8.16,3555414
2018-04-05,8.18,8.28,8.14,8.28,3934100
2018-04-06,8.3,8.55,8.28,8.46,5500996
2018-04-09,8.49,8.56,8.38,8.5,3474752
2018-04-10,8.51,8.57,8.33,8.39,4550311
2018-04-11,8.39,8.46,8.12,8.12,6377260
2018-04-12,7.99,8.3,7.99,8.3,3604332
2018-04-13,8.31,8.38,8.05,8.06,3102131
2018-04-16,8.05,8.16,7.93,8.08,2787061
2018-04-17,8.08,8.23,8.03,8.23,3122300
2018-04-18,8.23,8.37,8.1,8.13,3237045
2018-04-19,7.99,8.14,7.85,7.93,4945285
2018-04-20,7.99,8.03,7.88,7.99,3450025
2018-04-23,8.05,8.12,7.31,7.4,8144218
2018-04-24,7.42,7.55,7.19,7.38,3660608
2018-04-26,7.4,7.4,6.73,6.75,7285702
2018-04-27,6.09,7.31,6.09,7.05,4667596
2018-05-02,7.15,7.16,6.89,6.98,2669126
2018-05-03,6.58,7.29,6.58,7.24,3695726
2018-05-04,7.24,7.35,7.19,7.25,2929704
2018-05-07,7.26,7.65,7.25,7.65,4340830
2018-05-08,7.65,7.69,7.53,7.55,2703990
2018-05-09,7.55,7.55,7.33,7.38,2964394
2018-05-10,7.38,7.45,6.98,7.05,4538604
2018-05-11,7.05,7.35,6.89,7.31,3944111
2018-05-14,7.33,7.42,7.24,7.37,1239598
2018-05-15,7.42,7.53,7.31,7.4,2883487
2018-05-16,7.37,8.13,7.15,7.15,3938151
2018-05-17,7.06,7.25,7.06,7.13,2023797
2018-05-18,7.13,7.22,6.83,7.12,2708148
2018-05-21,7.16,7.2,7.01,7.01,1908680
2018-05-22,6.98,6.98,6.68,6.83,4833825
2018-05-23,6.85,6.89,6.68,6.89,2846035
2018-05-24,6.94,6.94,6.8,6.82,1360084
2018-05-25,6.82,6.89,6.63,6.65,3370106
2018-05-28,6.57,6.62,5.99,6.02,6642188
2018-05-29,5.42,6.58,5.42,6.54,4694583
2018-05-30,6.57,6.6,6.37,6.38,3049815
2018-05-31,6.38,6.65,6.35,6.65,3560671
2018-06-01,6.65,6.85,6.55,6.73,5402896
2018-06-04,6.65,6.98,6.57,6.98,5546226
2018-06-05,6.98,7.03,6.86,6.94,4692768
2018-06-06,6.94,7.24,6.86,7.2,5668743
2018-06-07,7.2,7.25,7.05,7.05,5212644
2018-06-08,7.05,7.22,7.03,7.16,3702961
2018-06-11,7.19,7.29,7.03,7.08,4129106
2018-06-12,7.31,7.31,6.72,6.92,6941376
2018-06-13,6.94,7.01,6.82,6.89,2338458
2018-06-14,6.89,6.98,6.75,6.75,3797018
2018-06-15,6.78,6.92,6.68,6.86,3289834
2018-06-18,6.89,6.94,6.6,6.62,5078608
2018-06-19,6.62,6.62,6.14,6.49,8643727
2018-06-20,6.49,6.62,6.42,6.55,2915611
2018-06-21,6.57,6.57,6.33,6.35,1583386
2018-06-22,6.33,6.57,6.24,6.55,2637598
2018-06-25,6.5,6.68,6.33,6.54,2808160
2018-06-26,6.54,6.54,6.38,6.44,2232783
2018-06-27,6.49,6.52,6.24,6.24,2689583
2018-06-28,6.24,6.24,5.97,6,5075935
2018-06-29,6.02,6.12,5.91,5.92,3031531
2018-07-02,5.92,5.92,5.45,5.54,6858520
2018-07-03,5.55,5.65,5.08,5.15,7375018
2018-07-04,5.07,5.32,5.07,5.32,4127586
2018-07-05,5.2,5.32,4.9,4.97,4948503
2018-07-06,4.82,5.45,4.82,5.45,7854475
2018-07-09,5.49,5.67,5.45,5.49,4587386
2018-07-10,5.49,5.69,5.47,5.63,3244193
2018-07-11,5.55,5.57,5.15,5.31,7023863
2018-07-12,5.82,5.82,5.31,5.51,4150902
2018-07-13,5.51,5.74,5.15,5.69,3940996
2018-07-16,5.74,5.85,5.69,5.74,3769038
2018-07-17,5.97,5.97,5.63,5.92,5135363
2018-07-18,5.99,6.07,5.82,6.02,4359010
2018-07-19,6.02,6.02,5.85,5.88,6338767
2018-07-20,5.88,6.12,5.76,6.12,8925712
2018-07-23,6.14,6.15,5.94,5.94,4970456
2018-07-24,5.94,6.24,5.74,5.85,4390214
2018-07-25,6.24,6.24,5.65,5.65,4478560
2018-07-26,5.08,5.94,5.08,5.78,6326835
2018-07-27,5.82,5.97,5.8,5.92,4283058
2018-07-30,5.94,6.07,5.92,6,3446870
2018-07-31,5.99,6.07,5.92,5.95,4169999
2018-08-01,5.95,6,5.84,5.91,3370615
2018-08-02,5.91,5.92,5.76,5.91,4547726
2018-08-03,5.95,6.06,5.91,5.91,3765836
2018-08-06,5.91,5.95,5.8,5.85,2378607
2018-08-07,5.88,5.95,5.8,5.91,3340719
2018-08-08,5.92,6.11,5.91,6.11,6086041
2018-08-09,6.11,6.26,6.11,6.12,6024097
2018-08-10,6.12,6.2,6.02,6.2,4939666
2018-08-13,6.2,6.33,6.12,6.33,7344210
2018-08-14,6.38,6.38,6.24,6.24,3333384
2018-08-15,6.27,6.33,6.14,6.15,6050256
2018-08-16,6.12,6.18,5.99,6.12,6703679
2018-08-17,6.12,6.26,6.12,6.12,3162682
2018-08-20,6.14,6.2,6.07,6.11,3250515
2018-08-21,6.11,6.3,6.11,6.3,5164728
2018-08-22,6.32,6.38,6.27,6.28,4526943
2018-08-23,6.3,6.37,6.27,6.35,3014955
2018-08-24,6.35,6.54,6.3,6.45,7614923
2018-08-27,6.49,6.57,6.45,6.45,3180882
2018-08-28,6.46,6.52,6.45,6.46,5158953
2018-08-29,6.54,6.57,6.45,6.54,4615659
2018-08-30,6.55,6.6,6.52,6.6,4212097
2018-08-31,6.6,6.6,6.46,6.5,4286128
2018-09-04,6.46,6.49,6.28,6.32,5963473
2018-09-05,6.3,6.37,6.18,6.26,4808542
2018-09-06,6.5,6.54,6.24,6.26,3164832
2018-09-07,6.26,6.38,6.26,6.38,2485961
2018-09-10,6.38,6.38,5.88,6.27,3148899
2018-09-11,6.26,6.35,6.26,6.31,3898476
2018-09-12,6.35,6.37,6.29,6.29,2964205
2018-09-13,6.31,6.45,6.29,6.38,6398577
2018-09-14,6.38,6.48,6.38,6.44,4140257
2018-09-17,6.44,6.44,6.35,6.35,1908269
2018-09-18,6.31,6.41,6.29,6.41,2411600
2018-09-19,6.43,6.48,6.38,6.41,2798730
2018-09-20,6.41,6.48,6.38,6.45,3473652
2018-09-21,6.48,6.58,6.45,6.58,7293427
2018-09-24,6.59,6.63,6.56,6.56,2805624
2018-09-25,6.54,6.62,6.5,6.5,3999558
2018-09-26,6.5,6.58,6.45,6.48,2915363
2018-09-27,6.48,6.52,6.44,6.48,2942652
2018-09-28,6.5,6.59,6.48,6.52,3783478
2018-10-01,6.52,6.58,6.44,6.44,3222310
2018-10-02,6.44,6.45,6.31,6.37,5220366
2018-10-03,6.5,6.5,6.35,6.41,1954922
2018-10-04,6.41,6.54,6.41,6.5,3180913
2018-10-05,6.5,6.54,6.43,6.43,4183777
2018-10-08,6.41,6.48,6.38,6.44,2175364
2018-10-09,6.44,6.48,6.43,6.44,3010019
2018-10-10,6.44,6.48,6.41,6.43,2803041
2018-10-11,6.37,6.37,5.81,5.93,9392018
2018-10-12,5.84,6.12,5.73,6.12,4923922
2018-10-15,6.15,6.15,5.93,5.93,2403128
2018-10-16,5.93,6.02,5.93,5.99,1942897
2018-10-17,6.07,6.12,6,6.02,2292759
2018-10-18,6.02,6.02,5.91,5.93,1691619
2018-10-19,5.91,6.12,5.77,5.93,2186199
2018-10-22,5.93,5.99,5.88,5.88,1648420
2018-10-23,5.88,5.88,5.64,5.66,4059421
2018-10-24,5.66,5.8,5.6,5.6,3420367
2018-10-25,5.53,5.63,5.27,5.53,5147562
2018-10-26,5.57,5.72,5.41,5.41,2884427
2018-10-29,5.41,5.43,5.26,5.35,3999762
2018-10-30,5.35,5.57,5.32,5.45,3626018
2018-10-31,5.46,5.8,5.46,5.8,4795396
2018-11-01,5.8,5.84,5.6,5.6,2904172
2018-11-02,5.64,5.81,5.64,5.81,4366028
2018-11-05,5.81,5.83,5.66,5.77,3088300
2018-11-06,5.77,5.81,5.63,5.63,2657882
2018-11-07,5.64,5.68,5.54,5.6,2944403
2018-11-08,5.68,5.73,5.6,5.63,2607660
2018-11-09,5.63,5.66,5.49,5.49,2981239
2018-11-12,5.49,5.51,5.41,5.49,1775059
2018-11-13,5.46,5.46,5.35,5.41,2753099
2018-11-14,5.38,5.45,5.23,5.27,3291576
2018-11-15,5.19,5.38,5.19,5.26,2698586
2018-11-16,5.26,5.53,5.26,5.45,3519615
2018-11-19,5.41,5.54,5.41,5.54,2238672
2018-11-20,5.54,5.54,5.46,5.53,2168097
2018-11-21,5.46,5.54,5.41,5.53,2458849
2018-11-22,5.72,5.76,5.57,5.63,4403748
2018-11-23,5.64,5.64,5.54,5.54,2688110
2018-11-26,5.45,5.57,5.45,5.57,1633057
2018-11-27,5.57,5.6,5.46,5.51,2599848
2018-11-28,5.12,5.64,5.12,5.63,3171523
2018-11-29,5.64,5.73,5.64,5.64,3544622
2018-11-30,5.26,5.76,5.26,5.7,2971296
2018-12-03,5.72,5.99,5.72,5.99,4691062
2018-12-04,5.99,6.04,5.88,5.94,2802120
2018-12-05,5.91,5.97,5.81,5.93,3447060
2018-12-06,5.88,5.99,5.84,5.88,3345040
2018-12-07,5.91,5.99,5.84,5.84,2288776
2018-12-10,5.83,5.91,5.72,5.83,2669530
2018-12-11,5.26,5.93,5.26,5.84,2484639
2018-12-12,5.8,5.91,5.8,5.91,1157684
2018-12-13,5.93,5.94,5.88,5.88,1772531
2018-12-14,5.88,5.88,5.81,5.81,2099130
2018-12-17,5.8,5.81,5.66,5.66,2746380
2018-12-18,5.63,5.66,5.54,5.66,2694145
2018-12-19,6.21,6.21,5.58,5.66,1319853
2018-12-20,5.63,5.68,5.6,5.66,1170804
2018-12-21,5.64,5.64,5.57,5.63,1670803
2018-12-24,5.35,5.64,5.35,5.54,2237789
2018-12-25,5.51,5.51,5.38,5.51,4310235
2018-12-26,4.97,5.54,4.97,5.49,1518665
2018-12-27,5.63,5.68,5.54,5.63,2409678
2018-12-28,5.64,5.66,5.54,5.66,2193351
2019-01-02,5.66,5.66,5.53,5.58,1103106
2019-01-03,5.02,5.57,5.02,5.38,1956382
2019-01-04,5.35,5.45,5.27,5.41,2771983
2019-01-07,5.53,5.53,5.45,5.49,1305819
2019-01-08,6,6,5.45,5.45,846226
2019-01-09,5.46,5.57,5.45,5.54,2196358
2019-01-10,5.54,5.57,5.53,5.53,1378687
2019-01-11,5.54,5.57,5.51,5.53,1250077
2019-01-14,5.51,5.53,5.49,5.49,937155
2019-01-15,5.38,5.57,5.07,5.57,901146
2019-01-16,5.57,5.6,5.51,5.51,509354
2019-01-17,5.53,5.57,5.51,5.53,737519
2019-01-18,5.54,5.54,5.43,5.46,1412966
2019-01-21,5.49,5.73,5.49,5.64,2079830
2019-01-22,5.68,5.7,5.57,5.57,1845725
2019-01-23,5.54,5.58,5.53,5.57,1160094
2019-01-24,5.58,5.64,5.54,5.58,1743450
2019-01-25,5.7,5.7,5.57,5.58,836534
2019-01-28,5.58,5.6,5.35,5.53,997088
2019-01-29,5.51,5.54,5.46,5.54,1091518
2019-01-30,5.93,5.93,5.54,5.6,1565464
2019-01-31,5.66,5.7,5.6,5.63,1674668
2019-02-01,5.63,5.66,5.6,5.64,781100
2019-02-11,5.7,5.91,5.66,5.77,1713857
2019-02-12,5.77,5.84,5.77,5.83,2059630
2019-02-13,5.84,5.88,5.8,5.83,2093177
2019-02-14,5.83,5.83,5.76,5.76,1357835
2019-02-15,5.76,5.81,5.73,5.77,2176902
2019-02-18,5.77,5.83,5.77,5.81,1908779
2019-02-19,5.83,5.83,5.77,5.8,2754758
2019-02-20,5.8,5.83,5.77,5.81,1693486
2019-02-21,5.81,5.88,5.76,5.76,2970459
2019-02-22,5.77,5.88,5.73,5.83,3974330
2019-02-25,5.88,6,5.83,5.93,3874034
2019-02-26,5.88,5.97,5.84,5.88,2277127
2019-02-27,5.88,5.91,5.83,5.84,1544839
2019-02-28,5.88,5.88,5.68,5.68,3793504
2019-03-01,5.7,5.76,5.64,5.73,1478830
2019-03-04,5.73,5.83,5.72,5.81,3120806
2019-03-05,5.81,5.88,5.76,5.8,2465893
2019-03-06,5.77,5.81,5.73,5.8,1178516
2019-03-07,5.81,5.88,5.8,5.83,3301746
2019-03-08,5.81,5.84,5.77,5.8,1416810
2019-03-11,5.8,5.84,5.77,5.81,1032198
2019-03-12,5.83,5.91,5.8,5.91,2504257
2019-03-13,5.94,6.07,5.91,6,5473410
2019-03-14,6,6.12,5.99,6.02,2333220
2019-03-15,6.04,6.08,5.99,6.07,2649931
2019-03-18,6.08,6.15,6.07,6.1,3739699
2019-03-19,6.12,6.12,5.97,5.99,2828856
2019-03-20,6,6,5.88,5.93,3143264
2019-03-21,5.93,6,5.81,5.81,2939770
2019-03-22,5.81,5.88,5.81,5.83,1819172
2019-03-25,5.81,5.81,5.72,5.76,2275202
2019-03-26,5.77,5.81,5.76,5.8,1540206
2019-03-27,5.81,5.84,5.77,5.81,856984
2019-03-28,5.81,5.83,5.77,5.8,1366727
2019-03-29,5.8,5.83,5.77,5.8,1915257
2019-04-01,5.8,5.83,5.8,5.8,751744
2019-04-02,5.83,5.88,5.8,5.8,1184570
2019-04-03,5.83,5.83,5.72,5.76,1394796
2019-04-04,5.72,5.8,5.72,5.77,1091143
2019-04-05,5.77,5.81,5.76,5.77,767879
2019-04-08,5.77,5.91,5.77,5.88,2224599
2019-04-09,5.88,5.93,5.83,5.83,1801683
2019-04-10,5.8,5.83,5.77,5.77,868574
2019-04-11,5.84,5.84,5.76,5.8,905666
2019-04-12,5.77,5.8,5.73,5.77,1051329
2019-04-16,5.77,5.77,5.7,5.73,1328836
2019-04-17,5.76,5.8,5.72,5.72,688254
2019-04-18,5.6,5.73,5.6,5.68,1019057
2019-04-19,5.7,5.72,5.66,5.66,599302
2019-04-22,5.68,5.68,5.57,5.6,1362678
2019-04-23,5.63,5.72,5.57,5.66,1651748
2019-04-24,5.68,5.77,5.64,5.76,1062284
2019-04-25,5.76,5.81,5.72,5.73,745480
2019-04-26,5.73,5.77,5.72,5.76,1123078
2019-05-02,5.77,5.8,5.68,5.68,1134878
2019-05-03,5.7,5.73,5.7,5.73,1115126
2019-05-06,5.73,5.73,5.63,5.63,1381176
2019-05-07,5.73,5.73,5.58,5.64,869471
2019-05-08,5.6,5.66,5.57,5.64,1019991
2019-05-09,5.63,5.64,5.57,5.57,603773
2019-05-10,5.57,5.63,5.54,5.6,646916
2019-05-13,5.63,5.66,5.58,5.58,913337
2019-05-14,5.58,5.6,5.53,5.57,1601854
2019-05-15,5.57,5.68,5.57,5.64,1290890
2019-05-16,5.66,5.66,5.58,5.6,1467241
2019-05-17,5.6,5.63,5.58,5.58,852070
2019-05-20,5.6,5.64,5.57,5.6,675438
2019-05-21,5.63,5.68,5.6,5.63,1385291
2019-05-22,5.63,5.72,5.63,5.66,1274690
2019-05-23,5.72,5.73,5.6,5.64,630966
2019-05-24,5.2,5.64,5.2,5.58,891367
2019-05-27,5.57,5.58,5.54,5.54,911886
2019-05-28,5.54,5.58,5.53,5.53,941132
2019-05-29,5.53,5.58,5.49,5.58,1083726
2019-05-30,5.57,5.58,5.54,5.57,725399
2019-05-31,5.54,5.57,5.49,5.54,1025615
2019-06-03,5.49,5.54,5.46,5.49,1150302
2019-06-04,5.49,5.54,5.46,5.46,870018
2019-06-05,5.46,5.53,5.46,5.53,1056785
2019-06-06,5.53,5.53,5.43,5.45,912088
2019-06-07,5.45,5.51,5.45,5.49,282088
