date,open,high,low,close,volume
2018-01-02,13.92,14.73,13.75,14.73,2903770
2018-01-03,14.73,14.76,14.45,14.62,2458110
2018-01-04,14.62,15.11,14.48,15.03,4424190
2018-01-05,15,15.03,14.7,14.94,1908830
2018-01-08,15.11,15.38,14.94,15.19,2053870
2018-01-09,15.19,15.24,14.18,14.94,4214750
2018-01-10,14.94,15.41,14.89,14.97,2817750
2018-01-11,15,15.14,14.82,15.05,1566970
2018-01-12,14.85,15.03,14.78,14.85,2484840
2018-01-15,14.76,15.11,14.59,14.89,1787190
2018-01-16,14.91,15.22,14.85,15.11,2368450
2018-01-17,14.73,15.33,14.73,14.73,2847680
2018-01-18,14.51,14.78,14.34,14.78,1833010
2018-01-19,14.83,14.89,14.51,14.67,3553540
2018-01-22,14.67,15.61,14.65,15.52,5040120
2018-01-25,15.87,16.59,15.71,16.59,7986250
2018-01-26,17.73,17.73,17.18,17.73,5677170
2018-01-29,18,18.96,18,18.87,4395390
2018-01-30,17.92,19.63,17.92,19.63,3283230
2018-01-31,20.28,20.32,18.65,18.65,1755870
2018-02-01,18.81,18.85,17.95,18.39,1894280
2018-02-02,18.16,18.71,18.06,18.39,1771520
2018-02-05,18.11,18.22,17.1,17.1,2790640
2018-02-06,15.93,16.79,15.93,15.93,3316700
2018-02-07,17.02,17.02,16.37,17.02,2058050
2018-02-08,17.02,17.89,17.02,17.56,2043470
2018-02-09,16.37,18,16.34,17.61,1800170
2018-02-12,18,18.85,17.73,18.85,2363270
2018-02-13,19.85,19.91,19.1,19.31,2458380
2018-02-21,19.63,20.65,19.42,20.4,2137010
2018-02-22,20.18,21.06,20.04,20.08,2856780
2018-02-23,20.18,20.46,19.58,20.23,3624350
2018-02-26,20.67,21.13,20.4,20.79,3516600
2018-02-27,20.79,21.16,20.51,20.81,2216610
2018-02-28,20.67,21.55,20.54,21.27,4521850
2018-03-01,21.06,21.6,20.46,20.62,2634150
2018-03-02,20.18,20.73,20.13,20.62,2378830
2018-03-05,20.87,20.95,19.2,19.2,2589100
2018-03-06,19.63,20.54,19.33,20.54,2525060
2018-03-07,20.73,20.79,20.13,20.46,2053190
2018-03-08,20.46,20.73,20.18,20.28,1132070
2018-03-09,20.46,20.73,20.18,20.32,2263330
2018-03-12,21.12,21.27,20.73,21.06,2014660
2018-03-13,21.06,21.38,20.73,21.38,1980080
2018-03-14,21.71,21.71,21.21,21.27,1996080
2018-03-15,21.27,22.75,21.12,22.75,3528060
2018-03-16,23.07,23.73,22.8,23.34,2628200
2018-03-19,23.46,23.51,22.47,22.75,2366180
2018-03-20,22.47,23.51,22.36,23.18,1866550
2018-03-21,23.73,23.89,23.24,23.73,1606790
2018-03-22,23.73,24.28,23.59,24.16,2525390
2018-03-23,23.73,23.79,22.58,23.1,3661530
2018-03-26,22.92,24.49,22.92,24.49,1932890
2018-03-27,25.09,25.42,24.05,24.05,2941390
2018-03-28,23.99,24.41,23.67,24.3,1672540
2018-03-29,24.3,24.38,23.89,23.99,896470
2018-03-30,23.89,23.97,23.26,23.67,2211040
2018-04-02,23.89,24.55,23.43,24.55,2610170
2018-04-03,24.71,24.98,24.38,24.61,1340170
2018-04-04,24.61,24.79,24.44,24.44,1511210
2018-04-05,24.44,24.44,23.86,23.99,1744010
2018-04-06,24.11,24.38,23.89,23.99,1469830
2018-04-09,24.16,24.55,23.67,24.22,2724810
2018-04-10,24.49,25.31,24.44,24.81,4181500
2018-04-11,25.53,25.53,23.99,24.28,2384910
2018-04-12,24.16,24.55,23.79,24.22,1816480
2018-04-13,24.28,24.44,22.75,22.92,3369270
2018-04-16,22.36,22.92,21.82,21.82,2207540
2018-04-17,21.82,22.86,21.65,22.86,2516280
2018-04-18,23.29,23.29,21.93,21.93,1196420
2018-04-19,21.93,22.03,20.62,20.73,2755020
2018-04-20,21,21.57,20.18,21.52,2415490
2018-04-23,21.71,22.17,20.02,20.02,3210890
2018-04-24,20.18,21,19.58,20.73,2503080
2018-04-26,20.62,21,19.36,19.91,2207270
2018-04-27,19.85,20.79,19.63,19.69,2026830
2018-05-02,20.02,20.13,18.33,18.33,1868640
2018-05-03,17.56,19.04,17.04,18.39,4169480
2018-05-04,18.6,18.81,17.73,17.73,1599340
2018-05-07,17.97,18.96,17.29,18.96,3558490
2018-05-08,18.96,20.16,18.77,19.36,3013460
2018-05-09,19.1,19.77,18.81,19.1,1843140
2018-05-10,18.77,19.42,17.75,17.83,2834040
2018-05-11,17.83,18.65,17.18,18.54,2116330
2018-05-14,18.87,18.93,18.39,18.71,918220
2018-05-15,18.71,19.1,18.54,18.87,2221560
2018-05-16,18.6,18.71,18.08,18.11,1856760
2018-05-17,18.11,18.28,17.83,18,1502680
2018-05-18,18,18.22,16.91,17.97,2937450
2018-05-21,17.97,17.97,17.18,17.18,2405890
2018-05-22,16.91,17.12,15.98,15.98,3119620
2018-05-23,15.71,16.63,15.69,16.61,1819230
2018-05-24,16.63,16.77,16.06,16.18,1089040
2018-05-25,16.28,16.42,15.11,15.11,2161610
2018-05-28,14.78,14.83,14.07,14.07,3902270
2018-05-29,14.45,15.05,14.07,15.05,2874020
2018-05-30,15.28,15.55,14.91,15.05,2144210
2018-05-31,14.89,16.03,14.89,15.95,3412580
2018-06-01,15.81,16.74,15.71,16.2,3634920
2018-06-04,15.81,16.69,15.49,16.63,4878280
2018-06-05,16.53,17.02,16.14,16.59,3066250
2018-06-06,16.61,17.35,16.26,17.35,2532640
2018-06-07,17.35,17.56,17.02,17.02,3704890
2018-06-08,17.02,17.29,16.79,17.18,2683390
2018-06-11,16.96,17.43,16.91,16.91,2320290
2018-06-12,16.53,16.63,15.73,16.14,4314510
2018-06-13,16.14,16.37,15.89,16.18,1672030
2018-06-14,16.2,16.31,15.44,15.44,3869180
2018-06-15,15.28,15.81,15.16,15.81,2262000
2018-06-18,15.81,15.84,14.83,14.89,2873220
2018-06-19,14.62,14.73,13.86,14.62,5460120
2018-06-20,14.78,15.28,14.53,15.28,2364060
2018-06-21,15.05,15.28,14.51,14.62,2073850
2018-06-22,14.2,15.08,14.2,15,2281830
2018-06-25,15.3,15.63,15.22,15.38,1937980
2018-06-26,15,15.33,14.89,15.16,1283390
2018-06-27,15.16,15.38,14.62,14.62,1931320
2018-06-28,14.4,14.62,14.07,14.12,3833920
2018-06-29,14.18,14.57,14.01,14.18,2112720
2018-07-02,13.92,14.18,13.28,13.5,3542250
2018-07-03,13.53,13.72,12.57,12.57,4944960
2018-07-04,12.57,12.63,11.98,12.49,4641640
2018-07-05,12.3,12.57,11.61,11.78,3044050
2018-07-06,11.67,12.6,11.37,12.6,5061910
2018-07-09,12.88,13.3,12.69,12.71,5423120
2018-07-10,12.93,13.28,12.77,12.9,3612750
