date,open,high,low,close,volume
2018-01-02,10.15,10.25,9.63,9.84,359680
2018-01-03,9.84,10.52,9.84,10.29,659940
2018-01-04,10.29,10.56,10.12,10.39,283880
2018-01-05,10.25,10.35,10.05,10.05,216670
2018-01-08,9.84,10.04,9.63,9.74,423910
2018-01-09,9.8,10.01,9.74,9.8,341750
2018-01-10,9.87,9.87,9.66,9.74,314570
2018-01-11,9.74,9.97,9.6,9.93,261050
2018-01-12,10.01,10.39,9.93,10.01,283960
2018-01-15,10.01,10.25,9.87,10.01,122790
2018-01-16,10.01,10.01,9.77,9.77,154750
2018-01-17,9.57,9.84,9.57,9.57,246700
2018-01-18,9.38,9.63,9.38,9.63,144260
2018-01-19,9.68,9.77,9.28,9.35,165770
2018-01-22,8.73,9.04,8.72,8.72,730890
2018-01-25,9.32,9.32,9.32,9.32,104580
2018-01-26,9.95,9.95,9.8,9.95,560450
2018-01-29,10.12,10.15,9.95,9.97,248510
2018-01-30,10.08,10.67,9.97,10.67,361420
2018-01-31,10.78,11.26,10.43,10.43,512700
2018-02-01,10.6,10.78,10.36,10.36,129700
2018-02-02,10.15,10.33,9.95,9.95,76660
2018-02-05,9.66,9.91,9.38,9.38,540210
2018-02-06,8.96,10.04,8.86,9.74,626880
2018-02-07,9.74,10.08,9.74,9.87,59260
2018-02-08,9.87,9.87,9.2,9.32,82650
2018-02-09,8.96,9.35,8.9,9.11,90580
2018-02-12,9.15,9.7,9.15,9.56,30270
2018-02-13,9.6,9.91,9.55,9.74,66770
2018-02-21,9.74,9.74,9.28,9.53,269000
2018-02-22,9.53,9.53,9.2,9.3,80410
2018-02-23,9.3,9.42,9.15,9.15,75560
2018-02-26,9.15,9.32,8.69,9.04,262360
2018-02-27,9.04,9.04,8.83,9.03,45360
2018-02-28,8.86,9.11,8.86,9.04,66130
2018-03-01,8.88,9.01,8.85,8.86,63350
2018-03-02,8.86,8.86,8.64,8.67,130600
2018-03-05,8.69,9.04,8.69,9.01,78000
2018-03-06,8.74,9.01,8.63,8.8,69690
2018-03-07,8.9,8.9,8.64,8.78,72140
2018-03-08,8.78,8.8,8.64,8.67,43990
2018-03-09,8.72,8.78,8.63,8.63,79620
2018-03-12,8.63,8.63,8.04,8.45,179450
2018-03-13,8.35,8.86,8.21,8.8,223090
2018-03-14,8.35,9.15,8.35,9.07,124880
2018-03-15,9.09,9.09,8.73,8.73,74500
2018-03-16,8.72,9.01,8.72,8.96,169340
2018-03-19,9.07,9.45,9.07,9.3,170120
2018-03-20,9.32,9.95,9.3,9.95,221600
2018-03-21,10.25,10.29,9.95,10.05,214770
2018-03-22,10.05,10.05,9.75,9.91,98450
2018-03-23,9.42,9.74,9.42,9.7,92830
2018-03-26,9.7,9.7,9.38,9.42,77480
2018-03-27,9.42,9.8,9.42,9.74,97260
2018-03-28,9.84,10.01,9.74,9.97,122840
2018-03-29,9.99,10.43,9.99,10.43,198540
2018-03-30,10.43,11.14,10.43,10.98,288110
2018-04-02,11.13,11.13,10.64,10.96,125110
2018-04-03,10.81,10.95,10.75,10.78,120620
2018-04-04,10.78,11.13,10.78,10.92,209710
2018-04-05,10.92,10.94,10.5,10.72,122020
2018-04-06,10.78,10.95,10.6,10.88,135750
2018-04-09,10.88,10.92,10.56,10.71,155500
2018-04-10,10.71,10.75,9.95,9.95,397100
2018-04-11,9.63,10.42,9.38,9.55,133850
2018-04-12,9.49,9.89,9.25,9.66,42820
2018-04-13,9.55,9.82,9.38,9.66,25970
2018-04-16,9.66,10.33,9.66,10.25,112450
2018-04-17,10.36,10.36,10.08,10.24,42110
2018-04-18,10.35,10.35,9.53,9.66,23920
2018-04-19,9.66,10.08,9.45,9.74,89330
2018-04-20,9.74,10.08,9.63,9.63,19350
2018-04-23,10.05,10.05,9.56,9.7,59740
2018-04-24,9.7,9.7,9.38,9.66,58510
2018-04-26,10.05,10.08,9.01,9.56,123820
2018-04-27,9.53,9.66,9.38,9.66,24920
2018-05-02,9.38,9.53,9.01,9.01,182070
2018-05-03,9.01,9.01,8.38,8.38,162040
2018-05-04,8.04,8.35,7.96,8.35,104850
2018-05-07,8.52,8.59,8.17,8.59,56100
2018-05-08,8.63,8.69,8.35,8.52,95140
2018-05-09,8.52,8.69,8.48,8.64,113930
2018-05-10,8.69,8.8,8.65,8.69,35650
2018-05-11,8.45,8.67,8.45,8.59,29850
2018-05-14,8.59,8.67,8.59,8.67,11160
2018-05-15,8.52,8.74,8.48,8.74,36940
2018-05-16,8.74,8.9,8.69,8.85,82790
2018-05-17,8.85,8.85,8.65,8.65,7410
