date,open,high,low,close,volume
2018-01-02,11.08,11.45,10.92,11.43,3966440
2018-01-03,11.5,11.56,11.19,11.36,3941230
2018-01-04,11.36,11.77,11.29,11.77,4995490
2018-01-05,11.68,11.72,11.45,11.5,3071940
2018-01-08,11.5,11.86,11.43,11.77,5017740
2018-01-09,11.82,11.84,10.99,11.77,6561230
2018-01-10,11.72,12,11.54,11.68,9619750
2018-01-11,11.54,11.86,11.45,11.75,4187120
2018-01-12,11.72,12.06,11.65,11.72,5148990
2018-01-15,11.68,12.06,11.43,11.95,4812150
2018-01-16,11.95,12.34,11.95,12.18,7707220
2018-01-17,11.54,12.27,11.54,11.54,5012930
2018-01-18,11.45,11.68,11.08,11.68,4941490
2018-01-19,11.68,11.79,11.47,11.58,4243980
2018-01-22,11.72,11.86,11.63,11.79,2806440
2018-01-25,11.95,12.59,11.86,12.25,12632930
2018-01-26,12.54,12.71,12.3,12.5,8629440
2018-01-29,12.54,13.17,12.5,12.96,9535190
2018-01-30,12.59,12.92,12.5,12.85,6537380
2018-01-31,13.12,13.32,12.45,12.45,8587080
2018-02-01,12.68,13.01,12.4,12.47,7765160
2018-02-02,12.64,12.94,12.5,12.82,8967630
2018-02-05,12.59,12.82,11.93,11.93,7735310
2018-02-06,11.1,11.68,11.1,11.15,11384030
2018-02-07,11.68,11.93,11.5,11.79,5755430
2018-02-08,11.58,11.79,11.22,11.22,3171590
2018-02-09,10.58,11.31,10.56,11.22,4778760
2018-02-12,11.68,12,11.63,12,3613760
2018-02-13,12.37,12.45,12.18,12.45,4107030
2018-02-21,12.82,13.23,12.57,12.75,11195110
2018-02-22,12.59,13.53,12.59,13.12,18022260
2018-02-23,13.46,13.92,13.27,13.92,13718750
2018-02-26,14.28,14.47,13.92,14.06,15151800
2018-02-27,14.1,14.7,13.88,14.7,18420040
2018-02-28,14.42,15.69,14.42,15.38,18780330
2018-03-01,15.11,15.82,14.86,14.97,20611220
2018-03-02,14.61,15.25,14.56,14.97,16332340
2018-03-05,15.2,15.2,13.97,13.97,14397300
2018-03-06,14.33,14.8,14.06,14.8,8655290
2018-03-07,14.8,15,14.26,14.42,8743530
2018-03-08,14.28,14.7,14.28,14.51,4450530
2018-03-09,14.8,15.09,14.7,14.84,9019810
2018-03-12,15.2,15.48,15.11,15.31,9131840
2018-03-13,15.34,16.35,15.31,16.35,14039020
2018-03-14,16.49,16.76,16.16,16.28,8598930
2018-03-15,16.12,16.94,16.03,16.76,9348680
2018-03-16,16.94,17.04,16.56,16.8,7631290
2018-03-19,17.1,17.1,16.39,16.63,11655870
2018-03-20,16.42,16.71,16.39,16.49,9728470
2018-03-21,16.71,16.8,16.44,16.58,8752910
2018-03-22,16.66,16.69,16.25,16.39,9074600
2018-03-23,15.89,16.21,15.5,16,13238950
2018-03-26,15.93,16.39,15.84,16.39,7784740
2018-03-27,16.71,16.8,16.37,16.39,7589490
2018-03-28,16.21,16.44,16.07,16.12,4854050
2018-03-29,16.25,16.25,15.93,16.03,4348190
2018-03-30,16.03,16.05,15.59,15.84,5396860
2018-04-02,16.07,16.63,16.07,16.58,7508660
2018-04-03,16.58,16.71,16.44,16.63,5850150
2018-04-04,16.76,16.8,16.39,16.44,6987490
2018-04-05,16.58,16.58,16.25,16.3,4491490
2018-04-06,16.53,16.66,16.32,16.35,5822740
2018-04-09,16.44,17.26,16.3,17.26,12738930
2018-04-10,17.4,17.51,16.97,17.08,6795480
2018-04-11,17.17,17.31,16.35,16.35,9276770
2018-04-12,16.21,16.51,16.05,16.35,6157460
2018-04-13,16.49,16.53,15.64,15.66,8955730
2018-04-16,15.66,15.98,15.2,15.57,4681650
2018-04-17,15.62,15.93,15.41,15.93,3718370
2018-04-18,16.12,16.14,15.36,15.36,3917470
2018-04-19,15.34,15.36,14.37,14.47,9517160
2018-04-20,14.75,15.34,14.37,15.34,4349720
2018-04-23,15.34,15.48,14.28,14.28,5666300
2018-04-24,13.88,14.51,13.65,13.9,5706980
2018-04-26,13.9,13.97,12.94,12.94,8261420
2018-04-27,12.94,13.53,12.75,13.41,5541550
2018-05-02,13.6,13.6,12.47,12.47,5398180
2018-05-03,12.47,13.27,11.82,13.27,9431320
2018-05-04,13.37,13.46,12.96,13.05,4309260
2018-05-07,13.1,13.95,13.03,13.95,6311980
2018-05-08,13.76,14.33,13.74,13.92,8128930
2018-05-09,13.74,14.06,13.53,13.74,4247880
2018-05-10,13.65,13.83,12.82,12.82,7044560
2018-05-11,12.78,13.72,12.57,13.46,8676620
2018-05-14,13.67,13.69,13.32,13.51,3612060
2018-05-15,13.53,13.83,13.44,13.67,5313260
2018-05-16,13.6,13.67,13.19,13.32,6053700
2018-05-17,13.37,13.53,13.19,13.37,4363180
2018-05-18,13.51,13.58,12.89,13.48,5007410
2018-05-21,13.55,13.6,13.19,13.19,2892620
2018-05-22,12.92,13.17,12.37,12.4,6389160
2018-05-23,12.23,12.82,12.2,12.82,5200740
2018-05-24,12.82,12.92,12.4,12.52,2609650
2018-05-25,12.59,12.68,11.95,11.97,4572900
2018-05-28,11.68,11.86,11.15,11.15,7903690
2018-05-29,11.58,11.93,11.19,11.93,6822120
2018-05-30,11.91,12.2,11.7,11.75,4720830
2018-05-31,11.72,12.47,11.72,12.4,5455510
2018-06-01,12.27,12.89,12.23,12.57,7380970
2018-06-04,12.54,12.87,12.38,12.8,5865720
2018-06-05,12.8,13.14,12.73,13.01,7849780
2018-06-06,13.01,13.39,12.87,13.25,5455670
2018-06-07,13.32,13.32,12.96,12.98,5969420
2018-06-08,12.82,13.17,12.82,13.07,4767490
2018-06-11,12.92,13.17,12.85,12.85,4624690
2018-06-12,12.73,12.78,12.16,12.54,8799030
2018-06-13,12.54,12.71,12.38,12.57,2888490
2018-06-14,12.54,12.66,12.27,12.27,3232350
2018-06-15,12.13,12.45,12.04,12.4,2911510
2018-06-18,12.37,12.5,11.84,11.84,4602800
2018-06-19,11.68,11.7,11.01,11.63,8256400
2018-06-20,11.72,12.02,11.5,11.97,3539880
2018-06-21,11.95,12,11.58,11.61,2439860
2018-06-22,11.45,11.86,11.45,11.86,3017090
2018-06-25,12.09,12.25,12,12.06,3968730
2018-06-26,11.91,12.02,11.79,11.91,2269630
2018-06-27,11.93,12.04,11.45,11.45,2295230
2018-06-28,11.45,11.56,11.01,11.12,5529200
2018-06-29,11.26,11.38,11.03,11.1,3131100
2018-07-02,10.99,11.08,10.4,10.58,5922700
2018-07-03,10.58,10.67,9.84,9.84,12604080
2018-07-04,10.03,10.03,9.62,10.03,4173250
2018-07-05,9.94,10.03,9.36,9.39,5581570
2018-07-06,9.39,10.03,9.29,10.03,7482830
2018-07-09,10.33,10.49,10.07,10.12,5856660
2018-07-10,10.16,10.4,10.07,10.23,4742620
2018-07-11,9.84,9.98,9.55,9.57,6419960
2018-07-12,9.62,10.23,9.55,9.98,4607140
2018-07-13,10.26,10.54,10.19,10.35,5166290
2018-07-16,10.54,10.63,10.35,10.44,5097690
2018-07-17,10.35,11.03,10.23,10.99,9663380
2018-07-18,11.08,11.4,11.03,11.4,5547380
2018-07-19,11.22,11.43,11.12,11.17,6561280
2018-07-20,10.99,11.33,10.81,11.31,7175250
2018-07-23,11.22,11.45,10.81,10.81,4660480
2018-07-24,10.85,10.94,10.61,10.78,4694830
2018-07-25,10.94,10.94,10.44,10.44,4438080
2018-07-26,10.44,10.58,10.35,10.54,3833150
2018-07-27,10.67,10.9,10.51,10.71,3661800
2018-07-30,10.85,10.94,10.74,10.92,3005450
2018-07-31,10.9,11.08,10.74,10.81,5360140
2018-08-01,10.81,10.88,10.54,10.63,4143490
2018-08-02,10.54,10.61,10.35,10.51,4459080
2018-08-03,10.61,10.69,10.44,10.47,3338160
2018-08-06,10.44,10.67,10.35,10.47,3045600
2018-08-07,10.35,10.76,10.35,10.56,3590660
2018-08-08,10.61,10.97,10.58,10.97,5566440
2018-08-09,11.08,11.24,10.99,11.01,7031950
2018-08-10,10.94,11.12,10.9,11.1,4512160
2018-08-13,11.1,11.79,11.06,11.79,11399080
2018-08-14,11.82,11.93,11.58,11.58,5458820
2018-08-15,11.84,12.04,11.45,11.54,9774410
2018-08-16,11.36,12.04,11.22,11.97,11227630
2018-08-17,12.23,12.3,11.91,11.91,8647290
2018-08-20,11.88,12.02,11.77,11.77,5328040
2018-08-21,11.72,12.13,11.63,12.13,7109240
2018-08-22,12.16,12.27,11.93,12.02,6502340
2018-08-23,12.02,12.11,11.84,11.95,6138470
2018-08-24,11.93,12.18,11.7,11.95,8362470
2018-08-27,12.11,12.54,12.06,12.45,9437840
2018-08-28,12.5,12.57,12.4,12.47,6284270
2018-08-29,12.47,12.5,12.32,12.37,5534930
2018-08-30,12.37,12.8,12.32,12.64,7422130
2018-08-31,12.61,12.68,12.34,12.43,5595720
2018-09-04,12.34,12.4,11.86,11.86,8071290
2018-09-05,11.86,12.04,11.77,11.93,6678740
2018-09-06,11.95,12.02,11.77,11.86,3629360
2018-09-07,11.82,12.16,11.79,12.13,4308610
2018-09-10,12.11,12.18,11.95,12,2733190
2018-09-11,11.95,12.4,11.95,12.34,6257740
2018-09-12,12.43,12.45,12.13,12.13,4889210
2018-09-13,12.27,12.4,12.16,12.2,4491540
2018-09-14,12.32,12.52,12.27,12.34,6677120
2018-09-17,12.34,12.34,12.18,12.18,2912850
2018-09-18,12.13,12.32,12.02,12.32,3675180
2018-09-19,12.45,12.5,12.27,12.27,5157360
2018-09-20,12.32,12.57,12.23,12.57,5641050
2018-09-21,12.64,12.96,12.59,12.87,11683350
2018-09-24,12.87,12.96,12.73,12.82,4332530
2018-09-25,12.73,12.92,12.66,12.73,5786020
2018-09-26,12.71,12.92,12.66,12.66,5824170
2018-09-27,12.73,12.8,12.61,12.64,4772170
2018-09-28,12.68,12.87,12.61,12.61,6073370
2018-10-01,12.64,12.73,12.27,12.38,6461870
2018-10-02,12.38,12.57,12.2,12.4,7746060
2018-10-03,12.5,12.68,12.47,12.59,4127150
2018-10-04,12.75,12.78,12.61,12.68,3473930
2018-10-05,12.68,12.73,12.4,12.4,5198350
2018-10-08,12.32,12.47,12.27,12.3,4657990
2018-10-09,12.3,12.37,12.18,12.23,3336170
2018-10-10,12.27,12.3,12.06,12.11,3546520
2018-10-11,11.54,11.77,11.26,11.26,12082520
2018-10-12,11.08,11.63,11.03,11.63,5389190
