date,open,high,low,close,volume
2018-01-02,14.79,15.44,14.76,15.44,5022160
2018-01-03,15.61,15.65,15.36,15.44,2829930
2018-01-04,15.48,15.74,15.46,15.74,2784800
2018-01-05,15.74,15.76,15.46,15.48,2851450
2018-01-08,15.39,15.71,15.31,15.71,2529030
2018-01-09,15.74,16.09,15.57,16.04,4010010
2018-01-10,16.01,16.28,15.76,15.87,2610670
2018-01-11,15.76,15.98,15.65,15.87,2420150
2018-01-12,15.54,16.01,15.54,15.54,2824950
2018-01-15,15.53,15.79,15.41,15.74,2296030
2018-01-16,15.74,15.87,15.57,15.74,1512380
2018-01-17,15.22,15.76,15.22,15.22,2259230
2018-01-18,15.06,15.22,14.87,15.22,3314290
2018-01-19,15.22,15.44,15.2,15.2,2002690
2018-01-22,15.36,15.87,15.33,15.71,2509650
2018-01-25,15.87,16.17,15.71,15.76,5368250
2018-01-26,16.01,16.01,15.61,15.69,1631780
2018-01-29,15.71,15.98,15.46,15.57,1335440
2018-01-30,15.44,16.52,15.36,16.52,4719350
2018-01-31,16.72,16.91,16.24,16.24,3988780
2018-02-01,16.24,16.37,15.91,15.91,2086500
2018-02-02,15.91,15.96,15.61,15.74,1671290
2018-02-05,15.53,15.69,14.74,14.74,3754890
2018-02-06,13.74,14.58,13.74,13.99,5312890
2018-02-07,14.71,14.79,14.46,14.61,1872960
2018-02-08,14.46,14.71,14.2,14.25,1709000
2018-02-09,13.55,14.2,13.55,14.2,2139970
2018-02-12,14.53,14.74,14.06,14.74,1166010
2018-02-13,15.03,15.31,14.92,15.22,1448350
2018-02-21,15.53,15.57,15.22,15.33,1574450
2018-02-22,15.31,15.36,15.03,15.07,1433060
2018-02-23,15.1,15.64,15.1,15.61,1607200
2018-02-26,15.74,15.96,15.6,15.6,2467750
2018-02-27,15.65,15.69,15.36,15.44,1415610
2018-02-28,15.27,15.6,15.26,15.44,1835710
2018-03-01,15.33,15.79,15.26,15.69,2114250
2018-03-02,15.61,15.82,15.48,15.76,1840930
2018-03-05,15.82,16.64,15.82,15.87,6025340
2018-03-06,16.14,16.34,15.92,16.34,2577540
2018-03-07,16.37,16.43,15.87,16.06,2000410
2018-03-08,16.01,16.14,15.82,16.06,1316600
2018-03-09,16.19,16.3,15.87,15.91,2068410
2018-03-12,16.01,16.17,15.84,15.84,1611250
2018-03-13,15.79,15.79,15.33,15.53,4159670
2018-03-14,15.53,15.69,15.33,15.69,2070230
2018-03-15,15.74,15.76,15.57,15.64,1189330
2018-03-16,15.64,15.69,15.41,15.53,1426890
2018-03-19,15.54,15.64,15.46,15.61,1337110
2018-03-20,15.54,16.09,15.48,15.82,2921440
2018-03-21,15.82,15.96,15.74,15.74,999470
2018-03-22,15.74,15.84,15.53,15.53,1264760
2018-03-23,15.22,15.39,14.97,15.12,2833670
2018-03-26,15.12,15.33,15.12,15.27,940840
2018-03-27,15.46,15.53,15.22,15.36,993260
2018-03-28,15.26,15.33,15.17,15.2,660440
2018-03-29,15.33,15.41,15.22,15.36,827280
2018-03-30,15.39,15.82,15.33,15.65,2434830
2018-04-02,15.87,15.92,15.74,15.87,2194820
2018-04-03,15.79,15.84,15.71,15.79,1140770
2018-04-04,16.01,16.23,15.91,15.92,2297950
2018-04-05,16.01,16.43,15.87,16.28,2874100
2018-04-06,16.57,16.59,16.19,16.19,3614250
2018-04-09,16.17,16.41,16.17,16.36,1502210
2018-04-10,16.41,16.83,16.37,16.61,4490010
2018-04-11,16.72,16.89,16.28,16.28,3296390
2018-04-12,16.28,16.41,16.04,16.41,1321110
2018-04-13,16.49,16.49,16.01,16.01,2146710
2018-04-16,16.01,16.11,15.71,15.76,1181050
2018-04-17,15.87,16.01,15.71,16.01,1105060
2018-04-18,16.09,16.24,15.98,16.01,1247240
2018-04-19,16.01,16.04,15.65,15.65,2377390
2018-04-20,15.74,15.87,15.57,15.82,972550
2018-04-23,15.82,15.92,14.76,14.97,1461440
2018-04-24,14.82,15.1,14.48,14.55,1850860
2018-04-26,14.69,14.9,14.2,14.2,2031810
2018-04-27,14.2,14.82,14.16,14.71,1597710
2018-05-02,14.92,14.97,14.66,14.71,1370180
2018-05-03,14.66,14.97,14.38,14.97,2162850
2018-05-04,15.1,15.22,15.03,15.17,1171180
2018-05-07,15.17,15.39,15.12,15.39,878040
2018-05-08,15.27,15.39,15.17,15.22,1114210
2018-05-09,15.12,15.26,15,15.07,1004740
2018-05-10,15.07,15.33,14.97,15.06,1546130
2018-05-11,14.97,15.36,14.97,15.36,1169610
2018-05-14,15.53,15.92,15.39,15.91,2012550
2018-05-15,16.01,16.01,15.74,15.84,910810
2018-05-16,15.74,15.84,15.61,15.61,672930
2018-05-17,15.6,15.84,15.6,15.64,719700
2018-05-18,15.64,15.74,15.17,15.69,979930
2018-05-21,15.79,16.11,15.74,15.74,1483830
2018-05-22,15.74,15.87,15.36,15.41,1101490
2018-05-23,15.48,15.74,15.36,15.64,1077080
2018-05-24,15.71,15.79,15.36,15.36,1035660
2018-05-25,15.54,15.54,14.9,14.9,788360
2018-05-28,14.39,14.69,13.87,13.87,2034970
2018-05-29,13.87,14.69,13.67,14.44,2350500
2018-05-30,14.42,14.42,13.84,13.85,1590980
2018-05-31,13.74,14.22,13.72,14.01,1105040
2018-06-01,14.01,14.22,13.92,14.16,1291490
2018-06-04,14.16,14.47,14.13,14.4,1150670
2018-06-05,14.48,14.66,14.39,14.56,1347750
2018-06-06,14.63,14.79,14.42,14.79,1017540
2018-06-07,14.9,14.9,14.53,14.56,1138280
2018-06-08,14.59,14.69,14.48,14.61,1050890
2018-06-11,14.55,14.61,14.48,14.48,721890
2018-06-12,14.48,14.48,13.92,14.11,1257200
2018-06-13,14.01,14.29,14.01,14.27,452120
2018-06-14,14.32,14.4,14.2,14.2,460360
2018-06-15,14.11,14.22,14.09,14.16,442100
2018-06-18,14.29,14.29,13.84,13.84,693660
2018-06-19,13.74,13.74,13,13.57,2015520
2018-06-20,13.69,13.84,13.41,13.84,650560
2018-06-21,13.84,13.84,13.43,13.52,349770
2018-06-22,13.5,13.72,13.38,13.72,375270
2018-06-25,13.84,13.84,13.69,13.74,511540
2018-06-26,13.57,13.65,13.5,13.57,240850
2018-06-27,13.69,13.69,13.47,13.5,256990
2018-06-28,13.5,13.5,12.94,12.94,1175250
2018-06-29,12.94,13.1,12.66,12.66,759780
2018-07-02,12.66,12.77,12.19,12.26,979030
2018-07-03,12.26,12.4,11.88,11.88,1351030
2018-07-04,11.9,12.19,11.73,12.19,980200
2018-07-05,12.19,12.21,11.73,12.03,711240
2018-07-06,11.88,12.71,11.86,12.43,913260
2018-07-09,12.5,12.61,12.12,12.24,583920
2018-07-10,12.29,12.4,12.19,12.32,249100
2018-07-11,12.03,12.19,11.77,11.94,801770
2018-07-12,11.77,12.07,11.73,11.83,684480
2018-07-13,12.03,12.43,11.98,12.39,1060620
2018-07-16,12.53,12.66,12.4,12.47,645230
2018-07-17,12.4,12.77,12.37,12.77,1297460
2018-07-18,12.79,13.07,12.77,13.07,1096080
