date,open,high,low,close,volume
2018-01-02,55.23,55.91,53.51,54.26,1418300
2018-01-03,54.66,55.68,54.09,55.45,755420
2018-01-04,55.79,58.07,55.79,58.07,977010
2018-01-05,58.41,58.92,56.94,57.16,829840
2018-01-08,56.94,58.01,56.36,57.16,730170
2018-01-09,58.07,58.87,57.16,58.07,778170
2018-01-10,59.21,59.77,58.53,58.64,904540
2018-01-11,58.92,59.21,57.56,58.75,697400
2018-01-12,57.21,58.98,56.94,57.21,1049410
2018-01-15,57.21,58.18,56.13,58.18,968320
2018-01-16,58.92,59.15,57.96,58.92,1138380
2018-01-17,56.88,59.33,56.88,56.88,1016930
2018-01-18,56.36,56.99,55.11,56.99,1015250
2018-01-19,56.88,57.5,56.36,56.36,724530
2018-01-22,56.36,60.3,55.79,60.3,1812130
2018-01-25,64.04,64.51,63.19,64.51,1156390
2018-01-26,67.64,68.32,63.76,66.27,2222720
2018-01-29,67.69,67.69,65.47,65.98,929870
2018-01-30,64.9,66.49,64.04,66.32,1171560
2018-01-31,65.47,70.94,64.9,70.94,2286340
2018-02-01,70.94,70.94,67.74,69.57,1183240
2018-02-02,69.57,70.6,68.32,68.88,561430
2018-02-05,67.25,68.21,64.1,64.1,1082160
2018-02-06,59.67,62.33,59.67,59.67,1054820
2018-02-07,61.44,63.65,60.75,62.63,708130
2018-02-08,59.77,61.44,59.21,59.21,684310
2018-02-09,55.11,56.94,55.11,55.11,1146710
2018-02-12,54.2,58.92,54.2,58.92,1341740
2018-02-13,59.94,62.06,59.94,61.48,541220
2018-02-21,62.63,64.79,62,63.76,553510
2018-02-22,62.63,62.79,60.35,60.35,605460
2018-02-23,62.06,63.48,61.03,63.19,748160
2018-02-26,63.48,67.18,63.48,64.33,845250
2018-02-27,66.04,66.04,64.1,64.62,608620
2018-02-28,64.04,65.02,63.48,64.85,721370
2018-03-01,64.33,66.84,63.76,66.04,875090
2018-03-02,64.9,67.18,64.9,66.61,923410
2018-03-05,67.74,68.5,63.76,63.76,822020
2018-03-06,65.47,66.73,64.33,66.61,806110
2018-03-07,66.61,67.07,63.48,65.36,718330
2018-03-08,64.39,66.56,64.39,65.25,301630
2018-03-09,65.36,65.76,63.76,63.76,606610
2018-03-12,66.04,66.49,64.9,66.15,504770
2018-03-13,66.15,66.15,64.85,65.47,218290
2018-03-14,65.47,67.46,65.25,67.29,816130
2018-03-15,66.61,68.88,66.04,68.88,577980
2018-03-16,68.88,72.87,68.21,72.87,1231950
2018-03-19,72.31,73.73,72.02,73.17,727400
2018-03-20,72.02,73.45,71.74,71.74,619750
2018-03-21,72.87,73.78,72.02,72.41,621450
2018-03-22,73.9,76.8,73.34,76.17,898250
2018-03-23,73.73,75.15,73.17,74.53,722160
2018-03-26,74.01,77.32,73.78,73.78,960430
2018-03-27,75.15,75.73,71.62,72.19,854590
2018-03-28,72.24,72.59,71.45,72.31,420920
2018-03-29,72.31,72.41,71.45,72.02,254020
2018-03-30,72.31,74.97,72.02,74.8,606010
2018-04-02,75.15,77.66,74.97,77.49,811810
2018-04-03,77.49,77.49,75.73,75.73,738610
2018-04-04,76.8,76.87,73.45,74.01,851340
2018-04-05,74.01,74.59,72.07,73.96,1029020
2018-04-06,74.01,75.66,73.17,73.9,327230
2018-04-09,72.93,74.59,72.87,73.9,419850
2018-04-10,74.01,74.87,73.73,73.73,594310
2018-04-11,74.87,75.44,72.02,72.02,819030
2018-04-12,72.87,74.3,71.74,74.3,791540
2018-04-13,75.15,75.15,71.74,72.87,410160
2018-04-16,73.73,73.73,71.84,72.48,379940
2018-04-17,72.31,73.21,70.6,72.87,646850
2018-04-18,73.55,73.84,72.37,73.62,804260
2018-04-19,74.46,75.26,72.93,73.62,1152430
2018-04-20,72.99,76.3,72.99,76.3,947250
2018-04-23,76.12,77.43,70.99,70.99,925000
2018-04-24,70.99,73.73,67.18,73.34,642240
2018-04-26,73.38,73.73,68.21,68.21,1075280
2018-04-27,66.04,68.15,63.48,63.48,953420
2018-05-02,59.77,61.48,59.04,59.04,284180
2018-05-03,54.94,56.94,54.94,54.94,1512540
2018-05-04,55.79,57.96,55,55.79,686180
2018-05-07,57.5,58.92,56.19,58.92,426370
2018-05-08,58.92,60.35,58.07,58.64,798500
2018-05-09,59.21,62.5,58.92,61.2,820800
2018-05-10,62.69,64.04,59.77,59.77,879660
2018-05-11,59.77,63.25,58.35,63.25,810690
2018-05-14,63.31,67.18,63.31,67.18,617860
2018-05-15,67.74,69.17,67.52,67.52,678850
2018-05-16,66.04,68.42,66.04,68.15,606740
2018-05-17,68.88,69.46,66.04,66.04,403650
2018-05-18,66.04,66.61,62.12,65.47,780910
2018-05-21,66.89,66.89,61.78,61.78,441810
2018-05-22,61.48,62.91,58.18,60.3,464230
2018-05-23,60.06,64.51,59.77,64.51,600060
2018-05-24,64.62,65.53,61.55,64.45,285680
2018-05-25,62.63,63.19,59.94,59.94,479980
2018-05-28,55.79,56.94,55.79,55.79,479870
2018-05-29,51.93,56.88,51.93,54.66,1241130
2018-05-30,54.66,54.66,50.85,50.85,1176750
2018-05-31,51.81,52.96,51.46,51.46,1078930
2018-06-01,52.38,53.12,52.1,52.66,632800
2018-06-04,52.89,53.29,51.81,52.55,948070
2018-06-05,52.38,56.19,52.32,56.19,1375130
2018-06-06,57.5,58.81,56.36,58.59,610180
2018-06-07,58.64,58.64,55.23,56.7,1220730
2018-06-08,56.65,57.5,54.66,55.52,886300
2018-06-11,54.66,56.88,54.14,55.35,430500
2018-06-12,54.42,55.11,51.81,52.5,975270
2018-06-13,52.96,55,52.96,55,581410
2018-06-14,55.23,55.79,53.51,53.51,441200
2018-06-15,53.51,54.6,53.51,54.6,424790
2018-06-18,54.09,54.26,51.24,51.24,804300
2018-06-19,50.39,50.95,47.65,49.53,1737920
2018-06-20,50.1,52.38,48.68,52.38,590050
2018-06-21,52.38,52.38,50.39,50.73,423980
2018-06-22,49.59,52.43,49.53,51.65,953560
2018-06-25,53.46,53.81,51.81,51.81,559460
2018-06-26,50.1,51.53,50.1,51.24,362610
2018-06-27,52.32,52.66,51.24,51.36,759500
2018-06-28,51.75,52.11,50.65,50.83,423120
2018-06-29,50.83,51.83,50.07,51.54,381860
2018-07-02,50.65,52,48.97,51.46,781630
2018-07-03,51.46,51.54,48.33,48.33,550270
2018-07-04,48.9,49.27,45.36,46.29,866710
2018-07-05,46.29,46.88,43.08,43.08,625240
2018-07-06,42.51,46.06,40.76,46.06,744380
2018-07-09,46.29,48.8,46.29,46.29,499120
2018-07-10,46.88,48.33,46.57,46.57,552090
2018-07-11,45.42,46.57,44.32,45.29,616210
2018-07-12,44.53,46.52,44.32,46,237010
2018-07-13,46,47.74,46,47.63,416710
2018-07-16,47.74,48.03,46.7,47.28,219390
2018-07-17,46.34,46.46,45.42,46,518690
2018-07-18,46.57,48.33,46.29,48.33,696840
2018-07-19,48.9,49.55,48.5,49.02,455830
2018-07-20,48.9,48.9,47.81,48.15,545360
2018-07-23,49.02,50.12,48.62,49.27,668990
2018-07-24,49.44,50.07,47.98,49.37,406130
2018-07-25,49.78,50.3,48.67,48.73,398500
2018-07-26,48.97,49.44,47.98,48.38,318080
2018-07-27,49.2,49.78,48.56,49.37,328400
2018-07-30,49.66,50.6,48.9,50.6,496190
2018-07-31,50.94,52.05,50.19,51.11,591060
2018-08-01,51.11,52.58,50.71,51.65,601640
2018-08-02,52,53.27,51.29,52.98,638300
2018-08-03,53.27,55.55,53.27,54.5,786540
2018-08-06,54.97,56.48,54.15,55.95,795130
2018-08-07,56.19,56.19,54.56,54.73,661110
2018-08-08,55.37,57.06,55.31,57.06,892220
2018-08-09,56.77,57.36,55.95,57.17,573240
2018-08-10,57.17,57.53,56.6,57.47,571920
2018-08-13,57.06,59.97,56.71,59.97,552870
2018-08-14,59.97,60.32,58.22,58.92,399060
2018-08-15,58.92,59.39,55.31,55.31,660200
2018-08-16,54.15,55.84,52.4,55.02,926520
2018-08-17,56.48,56.53,55.55,56.01,245620
2018-08-20,56.01,57.24,55.78,57.17,342360
2018-08-21,56.53,57.06,56.07,56.77,488840
2018-08-22,57.36,58.52,57.12,58.22,569580
2018-08-23,58.8,59.51,57.7,58.45,332960
2018-08-24,58.11,59.62,58.11,59.09,515530
2018-08-27,59.93,60.11,59.39,59.52,451380
2018-08-28,59.93,60.88,59.22,60.7,433220
2018-08-29,60.7,60.94,59.27,59.93,370820
2018-08-30,59.99,62.36,59.39,62.36,723510
2018-08-31,62.36,63.08,61.17,61.17,382800
2018-09-04,61.17,61.77,60.41,61.17,433000
2018-09-05,60.29,61.17,58.5,59.46,508070
2018-09-06,59.39,60.29,58.79,59.52,257060
2018-09-07,58.91,59.99,58.75,59.64,368200
2018-09-10,59.64,60.76,59.64,59.87,197420
