date,open,high,low,close,volume
2018-01-02,9.13,9.13,8.97,9.01,451690
2018-01-03,9.01,9.39,9.01,9.39,298780
2018-01-04,9.3,9.71,9.3,9.55,290370
2018-01-05,9.61,9.61,9.31,9.34,161750
2018-01-08,9.38,9.5,9.34,9.46,335960
2018-01-09,9.59,9.7,9.41,9.43,244660
2018-01-10,9.43,9.59,9.31,9.35,282000
2018-01-11,9.35,9.46,9.08,9.35,601830
2018-01-12,9.22,9.46,9.17,9.22,294650
2018-01-15,9.2,9.55,9.16,9.55,347130
2018-01-16,9.44,9.59,9.33,9.44,247890
2018-01-17,9.08,9.49,9.08,9.08,283530
2018-01-18,9,9.3,8.93,9.3,709500
2018-01-19,9.3,9.61,9.3,9.61,497520
2018-01-22,9.76,10.13,9.76,10.11,477210
2018-01-25,10.16,10.71,10.13,10.71,831230
2018-01-26,10.83,11.46,10.64,11.46,1156770
2018-01-29,11.56,12.25,11.53,12.25,358490
2018-01-30,12.33,13.1,12.11,12.66,829620
2018-01-31,12.72,12.75,12.31,12.31,355990
2018-02-01,12.27,12.74,12.23,12.5,575000
2018-02-02,12.64,12.64,12.25,12.5,203070
2018-02-05,12.27,12.27,11.64,11.77,765180
2018-02-06,10.95,11.74,10.95,11.13,1044810
2018-02-07,11.81,11.91,11.59,11.91,515890
2018-02-08,11.3,12.06,11.3,11.72,371280
2018-02-09,10.98,12.4,10.98,12.35,481760
2018-02-12,12.35,12.66,12.35,12.6,260570
2018-02-13,12.6,12.7,11.89,12.16,299780
2018-02-21,12.19,12.43,12.11,12.13,377440
2018-02-22,11.81,12.19,11.8,12.06,164260
2018-02-23,12.09,12.21,11.99,12.19,158350
2018-02-26,12.58,12.71,12.19,12.21,794440
2018-02-27,12.27,12.37,11.89,11.99,294940
2018-02-28,11.87,12.19,11.85,12.19,531210
2018-03-01,12.19,12.74,12.06,12.23,1563010
2018-03-02,12.13,12.18,11.92,12.18,373930
2018-03-05,12.33,12.35,11.34,11.34,656280
2018-03-06,11.44,12.06,11.25,11.89,585280
2018-03-07,11.96,11.96,11.29,11.38,538850
2018-03-08,11.38,11.52,11.3,11.5,204890
2018-03-09,11.68,11.68,11.38,11.38,298750
2018-03-12,11.38,11.5,10.87,10.89,355610
2018-03-13,10.89,11.52,10.89,11.49,343260
2018-03-14,11.72,11.87,11.67,11.71,255430
2018-03-15,11.71,11.71,11.44,11.64,136740
2018-03-16,11.74,12.18,11.65,12,580150
2018-03-19,12.06,12.35,12,12.04,481780
2018-03-20,12.06,12.13,11.89,12.06,142930
2018-03-21,12.06,12.42,12.06,12.21,644360
2018-03-22,12.35,12.43,12.06,12.16,400960
2018-03-23,12.06,12.06,11.74,12.04,376300
2018-03-26,12.04,12.19,11.79,12.06,249770
2018-03-27,12.27,12.31,11.74,11.74,399370
2018-03-28,11.74,11.89,11.68,11.71,336460
2018-03-29,11.65,12.13,11.65,12.04,298070
2018-03-30,12.06,12.18,11.84,12.18,226800
2018-04-02,12.33,13.01,12.27,13.01,1408520
2018-04-03,13.42,13.65,13.21,13.65,779630
2018-04-04,13.57,13.71,13.49,13.6,336990
2018-04-05,13.52,13.95,13.52,13.8,482140
2018-04-06,13.67,13.95,13.49,13.57,554220
2018-04-09,13.66,14.07,13.59,14.02,649140
2018-04-10,14.18,14.18,13.42,13.73,602970
2018-04-11,13.73,13.75,12.92,12.92,761480
2018-04-12,12.89,13.1,12.7,12.93,462370
2018-04-13,13.12,13.12,12.35,12.49,632520
2018-04-16,12.43,12.58,12.19,12.35,568060
2018-04-17,12.5,12.52,12.27,12.43,507810
2018-04-18,12.43,12.58,12.29,12.31,428320
2018-04-19,12.14,12.19,11.74,11.91,608940
2018-04-20,11.89,12.21,11.81,12.19,467090
