date,open,high,low,close,volume
2018-01-02,7.95,8.09,7.87,8.08,4105100
2018-01-03,8.14,8.22,8.01,8.06,4828220
2018-01-04,8.1,8.2,8.06,8.16,4640280
2018-01-05,8.15,8.21,8.07,8.14,3660450
2018-01-08,8.08,8.38,8.05,8.38,3702750
2018-01-09,8.45,8.96,8.42,8.96,5702180
2018-01-10,9.06,9.15,8.58,8.75,6231980
2018-01-11,8.72,8.79,8.55,8.75,5284530
2018-01-12,8.82,8.96,8.68,8.82,5393440
2018-01-15,8.79,9.25,8.74,9.25,3408260
2018-01-16,9.48,9.48,9.08,9.48,4328790
2018-01-17,9.08,9.53,9.08,9.08,5028580
2018-01-18,9.05,9.48,8.95,9.48,5542350
2018-01-19,9.48,10.15,9.42,10.12,7233090
2018-01-22,10.08,10.81,10.08,10.77,6662390
2018-01-25,11,11.01,10.33,10.42,13773130
2018-01-26,10.51,10.93,10.33,10.82,4998360
2018-01-29,10.93,11.01,10.42,10.42,5100130
2018-01-30,10.25,10.42,9.91,10.38,10291630
2018-01-31,10.38,10.81,10.33,10.55,5541660
2018-02-01,10.55,10.68,10.25,10.33,2813090
2018-02-02,10.33,10.4,10.12,10.35,3673050
2018-02-05,10.15,10.23,9.66,9.66,7317220
2018-02-06,8.99,10.06,8.99,9.83,14973300
2018-02-07,10.25,10.42,10.02,10.08,5682060
2018-02-08,10.08,10.3,9.96,10.12,4633450
2018-02-09,9.63,10.06,9.63,9.87,9028840
2018-02-12,9.87,10.12,9.8,9.96,6576890
2018-02-13,10,10.35,10,10.26,5281840
2018-02-21,10.42,10.46,10.12,10.16,8779720
2018-02-22,10.08,10.1,9.94,9.98,4928900
2018-02-23,10,10.51,9.96,10.44,10695740
2018-02-26,10.66,10.95,10.54,10.91,8761510
2018-02-27,11,11,10.74,10.86,7780430
2018-02-28,10.75,11.18,10.66,11.18,11050630
2018-03-01,11.17,11.49,11.01,11.3,6516250
2018-03-02,11.04,11.3,10.96,11.23,7746200
2018-03-05,11.21,11.23,10.45,10.45,18962710
2018-03-06,10.51,10.86,10.03,10.82,8543250
2018-03-07,10.42,10.82,10.25,10.35,6712590
2018-03-08,10.32,10.6,10.19,10.46,4777230
2018-03-09,10.51,10.57,10.37,10.42,4792550
2018-03-12,10.42,10.57,10.4,10.51,2965770
2018-03-13,10.49,10.51,10.37,10.42,2925900
2018-03-14,10.49,10.55,10.45,10.46,2654570
2018-03-15,10.42,10.42,10.23,10.26,4149230
2018-03-16,10.22,10.32,10.1,10.19,9631780
2018-03-19,10.33,10.82,10.33,10.69,5218860
2018-03-20,10.65,10.66,10.42,10.42,3422270
2018-03-21,10.44,10.74,10.44,10.68,4866590
2018-03-22,10.68,10.9,10.6,10.65,6581870
2018-03-23,10.25,10.51,10.25,10.4,5420930
2018-03-26,10.28,10.38,9.91,9.98,11065710
2018-03-27,9.93,10.15,9.93,10.06,5798310
2018-03-28,10.06,10.19,9.96,10.15,2410560
2018-03-29,10.16,10.37,10.14,10.3,3683450
2018-03-30,10.37,10.38,10.19,10.23,2577560
2018-04-02,10.25,10.26,10,10,6093790
2018-04-03,10,10.08,9.74,9.91,6349810
2018-04-04,10,10.05,9.91,10,2908600
2018-04-05,10.05,10.06,9.93,9.96,2089950
2018-04-06,9.94,10.23,9.91,10.23,4899110
2018-04-09,10.26,10.37,10.16,10.3,4479210
2018-04-10,10.3,10.35,10.19,10.3,4651830
2018-04-11,10.33,10.51,10.23,10.25,7191440
2018-04-12,10.19,10.49,10.15,10.45,4513010
2018-04-13,10.51,10.53,10.32,10.37,3273780
2018-04-16,10.25,10.33,10.19,10.19,2178130
2018-04-17,10.23,10.23,10,10.12,3369400
2018-04-18,10.15,10.19,10,10,2757790
2018-04-19,9.93,10.02,9.66,9.66,5118490
2018-04-20,9.66,9.96,9.53,9.96,3297740
2018-04-23,9.98,9.98,9.4,9.42,2822400
2018-04-24,9.4,9.64,9.32,9.48,3808590
2018-04-26,9.48,9.63,8.99,9.06,4650560
2018-04-27,9.06,9.15,8.77,9.12,5135100
2018-05-02,9.21,9.39,9.04,9.21,4197690
2018-05-03,9.2,9.23,9.05,9.2,5325700
2018-05-04,9.28,9.36,9.13,9.15,2599490
2018-05-07,9.21,9.48,9.13,9.48,3773870
2018-05-08,9.47,9.8,9.35,9.66,4689060
2018-05-09,9.63,9.74,9.5,9.66,2016460
2018-05-10,9.61,9.64,9.32,9.35,2628190
2018-05-11,9.25,9.45,9.23,9.44,2728770
2018-05-14,9.5,9.54,9.32,9.45,2798580
2018-05-15,9.47,9.53,9.35,9.39,2482800
2018-05-16,9.34,9.53,9.13,9.15,3144190
2018-05-17,9.15,9.19,8.95,8.98,4117510
2018-05-18,9.02,9.13,8.89,9.13,3743020
2018-05-21,9.23,9.25,9.02,9.02,2366300
2018-05-22,8.96,8.98,8.55,8.55,6301030
2018-05-23,8.52,8.81,8.52,8.75,3291430
2018-05-24,8.81,8.88,8.74,8.88,3650040
2018-05-25,8.88,9.04,8.77,8.82,5347460
2018-05-28,8.58,8.81,8.25,8.25,5307490
2018-05-29,8.25,8.82,8.25,8.81,4982880
2018-05-30,8.82,9.05,8.63,8.95,6303310
2018-05-31,8.96,9.5,8.95,9.5,9232180
2018-06-01,9.57,9.72,9.5,9.66,6643770
2018-06-04,9.8,10.16,9.7,10.16,5646190
2018-06-05,10.16,10.19,9.91,10,6122250
2018-06-06,10.03,10.33,9.91,10.3,6063330
2018-06-07,10.33,10.57,10.3,10.49,5446810
2018-06-08,10.51,10.51,10.37,10.38,3600330
2018-06-11,10.33,10.45,10.25,10.26,8041000
2018-06-12,10.51,10.51,9.88,10.08,10591380
2018-06-13,10.06,10.34,10.03,10.29,3666430
2018-06-14,10.38,10.54,10.09,10.11,6574380
2018-06-15,10.08,10.19,9.92,10.19,4820810
2018-06-18,10.13,10.13,9.53,9.53,7388100
2018-06-19,9.2,9.36,8.89,9.1,13163240
2018-06-20,9.25,9.48,8.96,9.48,5767930
2018-06-21,9.48,9.48,9.25,9.3,3879280
2018-06-22,9.25,9.7,9.2,9.7,7178290
2018-06-25,9.96,10,9.73,9.84,3464240
2018-06-26,9.63,9.75,9.48,9.75,2672780
2018-06-27,9.7,9.75,9.36,9.36,3374170
2018-06-28,9.2,9.44,9.15,9.21,4260340
2018-06-29,9.2,9.29,9,9.11,5171070
2018-07-02,9.01,9.13,8.76,9.11,6223040
2018-07-03,9.11,9.2,8.61,8.61,5823250
2018-07-04,8.72,8.88,8.59,8.8,3769000
2018-07-05,8.8,8.89,8.49,8.56,4246120
2018-07-06,8.55,8.96,8.35,8.72,5279160
2018-07-09,8.89,8.89,8.39,8.46,3847250
2018-07-10,8.42,8.56,8.42,8.42,3023470
2018-07-11,8.27,8.39,8.01,8.15,7028880
2018-07-12,7.89,8.1,7.87,8,3327390
2018-07-13,8.11,8.45,8.07,8.45,4729750
2018-07-16,8.56,8.59,8.37,8.42,3329260
2018-07-17,8.29,8.57,8.29,8.56,3378710
2018-07-18,8.61,8.85,8.56,8.81,6330670
2018-07-19,8.88,8.95,8.8,8.81,3514150
2018-07-20,8.72,8.76,8.59,8.7,4976130
2018-07-23,8.8,8.91,8.68,8.75,5595420
2018-07-24,8.75,8.75,8.32,8.39,12245700
2018-07-25,8.39,8.49,8.35,8.42,5722050
2018-07-26,8.42,8.66,8.39,8.66,8216850
2018-07-27,8.71,8.85,8.62,8.85,4810640
2018-07-30,8.91,8.96,8.75,8.78,6039970
2018-07-31,8.75,8.93,8.67,8.85,5772660
2018-08-01,8.86,9.05,8.85,8.91,6858830
2018-08-02,8.89,8.89,8.66,8.83,6073010
2018-08-03,8.89,8.9,8.61,8.61,5949600
2018-08-06,8.62,8.62,8.45,8.57,4646830
2018-08-07,8.57,8.57,8.49,8.57,4866190
2018-08-08,8.59,8.74,8.56,8.7,3433350
2018-08-09,8.75,8.81,8.66,8.67,4586550
2018-08-10,8.65,8.8,8.65,8.76,4206330
2018-08-13,8.75,9.1,8.7,9.08,11400140
2018-08-14,9.13,9.22,9.07,9.13,5313160
2018-08-15,9.13,9.19,8.85,8.89,4685310
2018-08-16,8.76,8.95,8.75,8.89,6993170
2018-08-17,8.99,9.05,8.88,8.95,3745240
2018-08-20,8.95,8.95,8.81,8.83,3542590
2018-08-21,8.8,8.89,8.78,8.89,3423060
2018-08-22,8.91,9.11,8.88,9.01,6056930
2018-08-23,8.99,9.1,8.99,9.04,3848180
2018-08-24,9.01,9.11,8.96,9.1,5677060
2018-08-27,9.15,9.32,9.13,9.24,5469600
2018-08-28,9.25,9.53,9.25,9.46,11013110
2018-08-29,9.48,9.64,9.39,9.39,6878210
2018-08-30,9.39,9.44,9.28,9.4,6445830
2018-08-31,9.44,9.57,9.39,9.48,6134410
2018-09-04,9.41,9.46,9.25,9.25,4474530
2018-09-05,9.2,9.3,9.13,9.15,4632970
2018-09-06,9.15,9.29,9.13,9.17,4485480
2018-09-07,9.15,9.44,9.15,9.41,5407420
2018-09-10,9.4,9.44,9.29,9.29,2575640
2018-09-11,9.25,9.53,9.25,9.48,6918510
2018-09-12,9.51,9.55,9.36,9.36,5608340
2018-09-13,9.41,9.55,9.36,9.43,4751230
2018-09-14,9.44,9.49,9.36,9.36,4652530
2018-09-17,9.32,9.4,9.28,9.35,2372700
2018-09-18,9.29,9.35,9.2,9.35,7281960
2018-09-19,9.44,9.46,9.39,9.4,4490210
2018-09-20,9.46,9.7,9.41,9.7,9974190
2018-09-21,9.71,9.81,9.64,9.79,14273500
2018-09-24,9.88,9.88,9.75,9.79,4430010
2018-09-25,9.71,9.81,9.69,9.78,4476220
2018-09-26,9.78,9.83,9.71,9.71,5014340
2018-09-27,9.76,9.85,9.75,9.85,5592570
2018-09-28,9.85,10.05,9.84,10.03,9618060
2018-10-01,10.03,10.19,9.97,10.06,6816120
2018-10-02,9.9,9.97,9.75,9.79,10602070
2018-10-03,9.71,9.85,9.71,9.79,4992960
2018-10-04,9.76,9.81,9.7,9.81,11906470
2018-10-05,9.81,9.93,9.76,9.83,6048270
2018-10-08,9.76,9.83,9.73,9.76,3740940
2018-10-09,9.84,9.84,9.71,9.71,3708340
2018-10-10,9.75,9.9,9.7,9.81,6742900
2018-10-11,9.51,9.63,9.32,9.46,15991110
2018-10-12,9.34,9.67,9.34,9.67,6596990
2018-10-15,9.65,9.65,9.53,9.57,4218380
2018-10-16,9.57,9.66,9.57,9.66,2908510
2018-10-17,9.76,9.78,9.69,9.71,5125430
2018-10-18,9.71,9.75,9.65,9.71,4084530
2018-10-19,9.65,9.73,9.57,9.66,4992750
2018-10-22,9.67,9.7,9.51,9.51,2565350
2018-10-23,9.48,9.48,9.22,9.36,10012340
2018-10-24,9.29,9.46,9.29,9.29,5213790
2018-10-25,9.01,9.28,8.97,9.25,7241940
2018-10-26,9.32,9.39,9.22,9.22,5147210
2018-10-29,9.17,9.22,9.15,9.21,4460930
2018-10-30,9.15,9.34,9.15,9.18,2685010
2018-10-31,9.26,9.55,9.25,9.55,4239400
2018-11-01,9.46,9.48,9.34,9.39,2241010
2018-11-02,9.48,9.53,9.44,9.48,3595700
2018-11-05,9.39,9.48,9.36,9.48,2233570
2018-11-06,9.51,9.53,9.39,9.39,1700170
2018-11-07,9.39,9.44,9.28,9.28,2813620
2018-11-08,9.45,9.45,9.22,9.22,2801350
2018-11-09,9.15,9.21,8.91,8.91,5710610
2018-11-12,8.91,8.95,8.81,8.9,2803560
2018-11-13,8.76,8.85,8.72,8.75,5403540
2018-11-14,8.74,8.74,8.36,8.49,8274360
2018-11-15,8.42,8.52,8.23,8.29,6829060
2018-11-16,8.42,8.46,8.31,8.35,2321900
2018-11-19,8.42,8.49,8.33,8.41,1664620
2018-11-20,8.45,8.69,8.39,8.66,5710000
2018-11-21,8.55,8.72,8.54,8.66,3805730
2018-11-22,8.68,8.71,8.49,8.49,2743490
2018-11-23,8.49,8.54,8.42,8.43,2056060
2018-11-26,8.45,8.59,8.43,8.45,2477200
2018-11-27,8.49,8.59,8.45,8.45,1896260
2018-11-28,8.46,8.5,8.28,8.35,4090120
2018-11-29,8.39,8.45,8.11,8.11,4059480
2018-11-30,8.06,8.06,7.87,7.87,7469210
2018-12-03,8.06,8.29,8.06,8.25,3769340
2018-12-04,8.29,8.35,8.13,8.21,4310860
2018-12-05,8.15,8.42,8.13,8.36,8092180
2018-12-06,8.32,8.39,8.19,8.21,4632240
2018-12-07,8.27,8.29,8.19,8.22,3363510
2018-12-10,8.19,8.21,7.98,8,5397970
2018-12-11,7.96,8.05,7.77,7.93,6978590
2018-12-12,7.95,8,7.83,7.96,3581530
2018-12-13,8.03,8.09,8,8.06,5480330
2018-12-14,8.05,8.05,7.92,7.95,3865790
2018-12-17,7.95,7.95,7.69,7.69,4480980
2018-12-18,7.52,7.61,7.26,7.37,8158460
2018-12-19,7.37,7.45,6.88,7.04,10969390
2018-12-20,7.03,7.15,6.95,7.11,6098080
2018-12-21,6.95,7.12,6.95,7.11,4460780
2018-12-24,7.11,7.23,7.11,7.23,3262070
2018-12-25,7.03,7.21,6.86,7.21,4800740
2018-12-26,7.21,7.21,7.05,7.18,3827010
2018-12-27,7.32,7.37,7.18,7.34,4873610
2018-12-28,7.3,7.34,7.23,7.34,7473800
2019-01-02,7.33,7.46,7.3,7.3,4196210
2019-01-03,7.29,7.33,6.99,6.99,6877510
2019-01-04,6.97,7.12,6.8,7.04,5841290
2019-01-07,7.18,7.2,6.91,6.95,2488920
2019-01-08,6.97,6.99,6.8,6.84,3150620
2019-01-09,6.88,7.07,6.88,6.99,1876020
2019-01-10,7.03,7.14,6.99,7.07,1783870
2019-01-11,7.07,7.09,6.95,6.95,2659370
2019-01-14,6.97,6.98,6.84,6.95,3226780
2019-01-15,6.95,7.03,6.91,6.95,2640430
2019-01-16,6.97,7.03,6.91,6.98,2981480
2019-01-17,6.98,6.98,6.85,6.85,1957850
2019-01-18,6.95,6.98,6.91,6.93,2120620
2019-01-21,6.95,7.05,6.93,7.01,1917140
