date,open,high,low,close,volume
2018-01-02,9.88,9.93,9.8,9.83,1886420
2018-01-03,9.88,10.15,9.87,10.09,4963100
2018-01-04,10.17,10.32,10.09,10.28,3760710
2018-01-05,10.28,10.3,9.98,10.06,3887470
2018-01-08,9.93,10.13,9.78,10.09,3480500
2018-01-09,10.08,10.79,10.08,10.79,10399640
2018-01-10,11.01,11.28,10.79,10.99,8334180
2018-01-11,10.97,11.13,10.68,10.99,5405710
2018-01-12,10.93,11.25,10.78,10.93,6179350
2018-01-15,10.9,11.47,10.78,11.44,7274990
2018-01-16,10.93,11.44,10.93,10.93,6895370
2018-01-17,10.17,10.85,10.17,10.17,10745770
2018-01-18,9.83,10.17,9.69,10.17,6730670
2018-01-19,10.25,10.41,10.15,10.19,4030390
2018-01-22,10.25,10.45,10.06,10.39,4869060
2018-01-25,10.35,10.41,10.04,10.06,6892610
2018-01-26,10.09,10.3,10.06,10.15,2991920
2018-01-29,10.17,10.49,10.17,10.45,4198060
2018-01-30,10.45,10.49,10.17,10.37,3706960
2018-01-31,10.34,10.65,10.06,10.41,5734090
2018-02-01,10.49,10.49,10.22,10.23,2051130
2018-02-02,10.32,10.37,10.15,10.3,1102880
2018-02-05,10.11,10.17,9.58,9.58,3586950
2018-02-06,8.95,9.58,8.92,9.37,5970250
2018-02-07,9.61,9.93,9.58,9.67,1702630
2018-02-08,9.65,9.65,9.15,9.15,2743420
2018-02-09,8.92,9.06,8.74,9.02,2236990
2018-02-12,9.18,9.35,9.08,9.18,1445180
2018-02-13,9.35,9.54,9.32,9.45,1833090
2018-02-21,9.58,9.74,9.42,9.65,2421280
2018-02-22,9.55,10.02,9.48,9.8,5358140
2018-02-23,9.95,10.37,9.95,10.32,4652300
2018-02-26,10.34,10.49,9.93,9.93,3523380
2018-02-27,9.88,10.02,9.67,9.87,2058010
2018-02-28,9.69,9.82,9.63,9.69,2848460
2018-03-01,9.69,10.09,9.59,9.93,2109950
2018-03-02,9.78,9.93,9.76,9.82,1748460
2018-03-05,9.78,9.78,9.32,9.34,4759030
2018-03-06,9.42,9.82,9.18,9.82,2667010
2018-03-07,9.74,10.17,9.69,9.93,2924300
2018-03-08,9.91,10.15,9.78,9.78,1730190
2018-03-09,9.83,9.85,9.65,9.69,2264000
2018-03-12,9.65,9.69,9.37,9.39,3216990
2018-03-13,9.37,9.74,9.25,9.67,3393420
2018-03-14,9.61,9.78,9.48,9.54,1813010
2018-03-15,9.5,9.58,9.32,9.58,2603250
2018-03-16,9.55,9.55,9.35,9.35,2980420
2018-03-19,9.48,9.54,9.32,9.34,1377800
2018-03-20,9.3,9.45,9.3,9.34,1283160
2018-03-21,9.37,9.45,9.3,9.42,1434570
2018-03-22,9.42,9.54,9.37,9.5,1291230
2018-03-23,9.3,9.45,9.22,9.45,1856540
2018-03-26,9.45,9.45,9.06,9.06,2749450
2018-03-27,9.1,9.22,9.1,9.13,1752730
2018-03-28,9.1,9.13,9.02,9.13,869290
2018-03-29,9.04,9.15,9.04,9.13,854510
2018-03-30,9.2,9.3,9.15,9.3,916230
2018-04-02,9.34,9.38,9.24,9.3,936690
2018-04-03,9.22,9.26,8.99,9.08,1697120
2018-04-04,9.06,9.26,9.06,9.26,1705620
2018-04-05,9.26,9.26,9.13,9.22,1503610
2018-04-06,9.18,9.22,9.08,9.13,1589230
2018-04-09,9.09,9.3,9.09,9.3,2306000
2018-04-10,9.34,9.44,9.22,9.22,1398050
2018-04-11,9.22,9.26,8.77,8.91,2148370
2018-04-12,8.89,8.97,8.51,8.56,3343250
2018-04-13,8.56,8.56,8.05,8.05,4366250
2018-04-16,7.98,8,7.65,7.75,3015070
2018-04-17,7.75,8.12,7.73,8.12,1579220
2018-04-18,7.98,8.12,7.93,8.02,2323650
2018-04-19,7.93,7.93,7.58,7.58,2656800
2018-04-20,7.63,7.75,7.38,7.56,1754900
2018-04-23,7.56,7.56,7.05,7.05,3939760
2018-04-24,6.85,7.05,6.79,6.83,1858360
2018-04-26,6.72,6.94,6.63,6.68,1835570
2018-04-27,6.65,6.94,6.65,6.83,1947980
2018-05-02,6.37,6.52,6.37,6.37,4527520
2018-05-03,5.99,6.16,5.93,5.93,8392320
2018-05-04,5.93,6.1,5.82,5.83,2290820
2018-05-07,5.88,5.99,5.83,5.99,2505440
2018-05-08,6.02,6.04,5.79,5.79,2436590
2018-05-09,5.77,6.18,5.77,6.18,3990970
2018-05-10,6.28,6.37,5.99,6.08,2921110
2018-05-11,6.08,6.19,6.04,6.12,2003950
2018-05-14,6.22,6.22,6.06,6.11,1444660
2018-05-15,6.08,6.24,6.06,6.12,2157990
2018-05-16,6.12,6.19,6.04,6.04,1725370
2018-05-17,6.04,6.12,5.92,5.99,2152170
2018-05-18,5.97,6.04,5.87,5.92,1503390
2018-05-21,5.85,5.89,5.53,5.53,4675610
