date,open,high,low,close,volume
2018-01-02,11.32,11.42,11.3,11.32,125060
2018-01-03,11.36,11.57,11.36,11.57,204230
2018-01-04,11.65,12.15,11.57,12.15,733900
2018-01-05,12.19,12.19,11.95,12.05,203500
2018-01-08,11.98,12.03,11.9,11.92,106940
2018-01-09,11.69,12.03,11.57,11.98,344060
2018-01-10,12.03,12.03,11.95,11.95,248670
2018-01-11,11.9,12,11.9,11.95,220050
2018-01-12,11.98,12.15,11.98,11.98,289000
2018-01-15,11.98,12,11.82,11.98,411910
2018-01-16,11.77,12.05,11.77,11.77,156580
2018-01-17,11.82,12.23,11.61,11.82,403230
2018-01-18,11.74,12.06,11.74,12.06,387580
2018-01-19,12.23,12.65,12.11,12.65,1293300
2018-01-22,13.18,13.51,12.81,13.51,1427480
2018-01-25,13.85,14.44,13.51,14.44,1048080
2018-01-26,15.05,15.05,13.68,14.42,683150
2018-01-29,14.22,14.5,13.76,14.09,229490
2018-01-30,13.93,14.38,13.72,14.25,219800
2018-01-31,14.5,14.5,14.22,14.25,215340
2018-02-01,14.19,14.34,14.19,14.25,203540
2018-02-02,14.42,14.42,13.61,14.17,193060
2018-02-05,13.76,14.05,13.39,13.43,371750
2018-02-06,13.23,13.23,12.5,12.81,516400
2018-02-07,12.94,13.59,12.94,13.1,202190
2018-02-08,13.23,13.28,13.05,13.1,159330
2018-02-09,12.52,13.1,12.52,12.97,277940
2018-02-12,12.97,13.05,12.85,12.97,329630
2018-02-13,12.97,13.02,12.89,12.97,98880
2018-02-21,13.05,13.41,13.02,13.1,127810
2018-02-22,13.1,13.31,13.1,13.18,78310
2018-02-23,13.18,13.64,13.14,13.59,128760
2018-02-26,13.59,13.85,13.45,13.68,150210
2018-02-27,13.68,13.68,13.26,13.59,298690
2018-02-28,13.59,14.42,13.32,14.25,269890
2018-03-01,14.11,14.63,14.11,14.46,269340
2018-03-02,14.15,15.12,14.15,15.12,479070
2018-03-05,15.2,15.69,15.18,15.47,708870
2018-03-06,14.95,15.28,14.95,15.2,149770
2018-03-07,14.7,15,14.7,14.86,347290
2018-03-08,14.86,15,14.75,14.78,415190
2018-03-09,14.78,14.78,14.34,14.38,334400
2018-03-12,14.59,14.78,14.4,14.78,307670
2018-03-13,14.55,14.95,14.55,14.86,240040
2018-03-14,14.59,14.7,14.59,14.63,143920
2018-03-15,14.78,14.78,14.59,14.63,272990
2018-03-16,14.84,14.84,14.63,14.81,355080
2018-03-19,14.84,14.84,14.63,14.7,272980
2018-03-20,14.86,15.28,14.73,15.04,220520
2018-03-21,15.26,15.33,15.12,15.23,252250
2018-03-22,15.28,15.45,15.23,15.26,303270
2018-03-23,14.6,15.08,14.59,14.78,102640
2018-03-26,14.59,14.85,14.59,14.78,136110
2018-03-27,15.2,15.2,14.67,14.84,187180
2018-03-28,14.84,15.16,14.68,15.16,198570
2018-03-29,15.26,15.26,14.92,15,108350
2018-03-30,15.08,15.08,14.7,14.97,159510
