date,open,high,low,close,volume
2018-01-02,5.52,5.76,5.49,5.76,7863840
2018-01-03,5.77,5.82,5.68,5.7,7574260
2018-01-04,5.73,5.76,5.67,5.71,6492090
2018-01-05,5.73,5.73,5.62,5.67,9788120
2018-01-08,5.65,5.94,5.64,5.94,9182660
2018-01-09,5.98,6.07,5.77,6,8889960
2018-01-10,5.96,6.08,5.91,6.02,6605410
2018-01-11,6.02,6.15,5.96,6.09,9781190
2018-01-12,5.96,6.24,5.94,5.96,10971780
2018-01-15,6.03,6.16,5.94,6.13,6344120
2018-01-16,6.18,6.18,6.03,6.18,6076720
2018-01-17,6.06,6.31,6.06,6.06,9349180
2018-01-18,6.02,6.18,5.94,6.18,5475130
2018-01-19,6.26,6.26,6.13,6.14,6430290
2018-01-22,6.21,6.23,6.15,6.18,5134220
2018-01-25,6.3,6.63,6.27,6.57,17433490
2018-01-26,6.63,7,6.57,6.97,8715830
2018-01-29,7.05,7.42,7.05,7.32,8185590
2018-01-30,7.09,7.33,7.03,7.25,7215080
2018-01-31,7.08,7.23,7.04,7.05,8488990
2018-02-01,7.05,7.05,6.76,6.79,5756850
2018-02-02,6.79,6.98,6.76,6.85,5404660
2018-02-05,6.7,6.73,6.38,6.4,6608550
2018-02-06,5.97,6.4,5.97,6.14,10584350
2018-02-07,6.49,6.52,6.37,6.45,4905570
2018-02-08,6.4,6.44,6.26,6.26,1965110
2018-02-09,6.03,6.4,6.02,6.38,4283380
2018-02-12,6.63,6.83,6.52,6.83,4292020
2018-02-13,6.9,7.05,6.9,6.97,5007700
2018-02-21,7,7.16,6.94,7,4516560
2018-02-22,6.85,7.12,6.85,6.97,5999410
2018-02-23,6.98,7.29,6.95,7.29,8690160
2018-02-26,7.38,7.42,7.18,7.19,8537260
2018-02-27,7.23,7.27,7.11,7.25,4861880
2018-02-28,7.15,7.6,7.14,7.6,11967370
2018-03-01,7.52,7.72,7.37,7.49,7906380
2018-03-02,7.36,7.56,7.34,7.56,4677470
2018-03-05,7.63,7.73,7.18,7.18,5883620
2018-03-06,7.29,7.6,7.19,7.52,6902530
2018-03-07,7.54,7.59,7.18,7.29,8143710
2018-03-08,7.34,7.4,7.28,7.3,3877190
2018-03-09,7.43,7.48,7.34,7.4,4015360
2018-03-12,7.52,7.58,7.46,7.48,6581200
2018-03-13,7.48,7.67,7.43,7.67,6110910
2018-03-14,7.76,7.82,7.67,7.69,8140500
2018-03-15,7.69,8.04,7.64,7.94,7349130
2018-03-16,7.96,8.05,7.81,7.96,5954490
2018-03-19,7.96,8.1,7.89,7.93,9871700
2018-03-20,7.84,8.12,7.84,8.04,8627040
2018-03-21,8.08,8.19,8.07,8.13,6529480
2018-03-22,8.13,8.15,7.93,7.96,7030500
2018-03-23,7.73,7.84,7.61,7.84,9918700
2018-03-26,7.76,7.91,7.76,7.91,4676310
2018-03-27,8.04,8.04,7.89,7.91,4895660
2018-03-28,7.87,7.93,7.78,7.82,4044330
2018-03-29,7.89,7.89,7.63,7.78,3430140
2018-03-30,7.81,7.82,7.59,7.67,4708770
2018-04-02,7.67,7.94,7.67,7.91,4871610
2018-04-03,8,8.11,7.91,8.11,9812670
2018-04-04,8.18,8.28,8.07,8.07,7140830
2018-04-05,8.15,8.15,8.05,8.11,4124940
2018-04-06,8.15,8.19,8.08,8.08,4481390
2018-04-09,8.1,8.18,7.96,8.13,7916060
2018-04-10,8.15,8.26,7.93,8.08,8566280
2018-04-11,8.1,8.1,7.78,7.78,9924560
2018-04-12,7.72,7.81,7.63,7.69,7914280
2018-04-13,7.76,7.81,7.32,7.32,7119030
2018-04-16,7.36,7.53,7.32,7.43,6959530
2018-04-17,7.49,7.63,7.42,7.63,4365500
2018-04-18,7.66,7.67,7.43,7.43,3062200
2018-04-19,7.43,7.43,7,7.05,8814380
2018-04-20,7.18,7.29,7,7.26,5581890
2018-04-23,7.28,7.29,6.76,6.76,8281130
2018-04-24,6.7,6.88,6.54,6.75,6262180
2018-04-26,6.79,6.81,6.3,6.3,7325480
2018-04-27,6.3,6.63,6.3,6.61,5014890
2018-05-02,6.63,6.68,6.18,6.48,4913120
2018-05-03,6.37,6.68,6.21,6.68,6600090
2018-05-04,6.73,6.83,6.66,6.79,4187970
2018-05-07,6.85,7.15,6.79,7.12,5165000
2018-05-08,7.08,7.14,6.94,6.97,5258130
2018-05-09,6.94,7.05,6.84,6.9,3695630
2018-05-10,6.85,6.91,6.51,6.53,5568600
2018-05-11,6.48,6.75,6.39,6.75,3364830
2018-05-14,6.83,6.85,6.66,6.85,2874420
2018-05-15,6.82,6.97,6.79,6.85,4372350
2018-05-16,6.79,6.85,6.66,6.7,2470240
2018-05-17,6.7,6.73,6.58,6.61,3596050
2018-05-18,6.63,6.7,6.34,6.7,3843160
2018-05-21,6.76,6.76,6.54,6.54,2709380
2018-05-22,6.45,6.53,6.18,6.37,5478700
2018-05-23,6.3,6.52,6.27,6.48,3373680
2018-05-24,6.48,6.57,6.37,6.46,3477030
2018-05-25,6.46,6.53,6.24,6.24,3662460
2018-05-28,6.09,6.24,5.8,5.81,8792650
2018-05-29,5.92,6.21,5.81,6.21,6324560
2018-05-30,6.18,6.27,6.06,6.08,3887350
2018-05-31,6.06,6.44,6.06,6.43,4835220
2018-06-01,6.38,6.57,6.34,6.46,6566120
2018-06-04,6.43,6.73,6.4,6.73,6752680
2018-06-05,6.71,6.81,6.58,6.73,5432150
2018-06-06,6.66,6.79,6.61,6.75,7349580
2018-06-07,6.81,6.94,6.76,6.83,9375250
2018-06-08,6.71,6.85,6.63,6.79,4837090
2018-06-11,6.71,6.88,6.68,6.7,5690700
2018-06-12,6.63,6.66,6.33,6.51,11024280
2018-06-13,6.49,6.57,6.37,6.52,4113320
2018-06-14,6.52,6.54,6.33,6.33,3076350
2018-06-15,6.26,6.52,6.26,6.49,3783790
2018-06-18,6.51,6.55,6.16,6.18,5709530
2018-06-19,6.08,6.11,5.77,6.08,8201500
2018-06-20,6.14,6.24,6.05,6.16,4821720
2018-06-21,6.16,6.16,5.97,5.99,2531790
2018-06-22,5.94,6.16,5.88,6.16,3260850
2018-06-25,6.24,6.33,6.19,6.24,3920670
2018-06-26,6.13,6.21,6.08,6.16,2518670
2018-06-27,6.18,6.21,6.03,6.03,2268810
2018-06-28,5.94,6.03,5.81,5.85,5509580
2018-06-29,5.85,5.94,5.77,5.79,3536370
2018-07-02,5.66,5.78,5.46,5.49,5980920
2018-07-03,5.5,5.55,5.18,5.18,6589280
2018-07-04,5.3,5.31,5.17,5.28,3296640
2018-07-05,5.28,5.33,4.98,4.98,4551160
2018-07-06,5.04,5.33,4.98,5.33,5396790
2018-07-09,5.48,5.56,5.3,5.37,4211630
2018-07-10,5.46,5.51,5.37,5.42,3230360
2018-07-11,5.2,5.28,5.07,5.1,5391670
2018-07-12,5.13,5.42,5.09,5.31,3513360
2018-07-13,5.44,5.55,5.38,5.48,5879910
2018-07-16,5.61,5.69,5.53,5.63,6714400
2018-07-17,5.53,5.91,5.52,5.88,6053540
2018-07-18,5.9,6.09,5.89,6.08,6039310
2018-07-19,6.05,6.08,5.91,5.94,7108670
2018-07-20,5.89,6.18,5.78,6.12,8819980
2018-07-23,6.11,6.24,6.01,6.01,5955890
2018-07-24,5.98,6.06,5.83,5.94,4719580
2018-07-25,6,6.03,5.78,5.78,5504560
2018-07-26,5.78,5.91,5.69,5.91,4373190
2018-07-27,5.96,6.11,5.9,6.05,7217640
2018-07-30,6.12,6.18,6.08,6.18,4117610
2018-07-31,6.09,6.28,6.05,6.17,6223030
2018-08-01,6.12,6.21,6.03,6.08,4816740
2018-08-02,6.06,6.06,5.89,6.03,5106090
2018-08-03,6.09,6.17,6.03,6.08,4463490
2018-08-06,6.03,6.12,5.98,6.01,3458140
2018-08-07,6,6.11,5.94,6,4094050
2018-08-08,6.05,6.18,6.01,6.12,5287700
2018-08-09,6.22,6.27,6.08,6.08,6673750
2018-08-10,6.08,6.11,6.03,6.11,4502690
2018-08-13,6.08,6.4,6.06,6.4,12961940
2018-08-14,6.4,6.45,6.27,6.27,6323050
2018-08-15,6.28,6.37,6.12,6.12,10837570
2018-08-16,6.05,6.24,6,6.24,7552020
2018-08-17,6.28,6.3,6.15,6.15,4898520
2018-08-20,6.15,6.19,6.03,6.03,5175120
2018-08-21,6.01,6.17,6.01,6.17,5127320
2018-08-22,6.24,6.24,6.12,6.15,5422380
2018-08-23,6.15,6.19,6.12,6.17,3718100
2018-08-24,6.18,6.24,6.05,6.18,6570400
2018-08-27,6.24,6.36,6.19,6.28,11328550
2018-08-28,6.33,6.37,6.27,6.28,6161990
2018-08-29,6.28,6.3,6.22,6.24,4080410
2018-08-30,6.24,6.36,6.22,6.33,6520160
2018-08-31,6.37,6.42,6.24,6.24,6531540
2018-09-04,6.21,6.24,6.08,6.08,6862680
2018-09-05,6.05,6.09,5.94,5.98,7095770
2018-09-06,5.98,6.03,5.88,5.9,4313740
2018-09-07,5.9,6.01,5.89,6.01,3703440
2018-09-10,6.01,6.03,5.93,5.96,2735620
2018-09-11,5.96,6.05,5.94,6.05,3731660
2018-09-12,6.08,6.09,5.98,5.98,3318140
2018-09-13,6.03,6.08,5.98,6,3451510
2018-09-14,6,6.03,5.89,5.94,10570970
2018-09-17,5.91,5.94,5.78,5.81,8461690
2018-09-18,5.73,5.82,5.71,5.81,5675280
2018-09-19,5.81,5.93,5.81,5.89,5657510
2018-09-20,5.89,5.97,5.88,5.94,4036940
2018-09-21,5.97,6.06,5.93,6.03,8952940
2018-09-24,6.08,6.15,6.08,6.09,6826500
2018-09-25,6.09,6.12,6.03,6.03,5973420
2018-09-26,6.01,6.11,6,6.05,5566750
2018-09-27,6.08,6.08,6.03,6.05,4363390
2018-09-28,6.05,6.15,6.03,6.08,7395590
2018-10-01,6.08,6.15,6.03,6.08,5220190
2018-10-02,6.08,6.08,6.01,6.03,4892350
2018-10-03,6.03,6.08,6.03,6.08,3420120
2018-10-04,6.11,6.39,6.09,6.31,21454340
2018-10-05,6.31,6.37,6.24,6.24,7423070
2018-10-08,6.21,6.27,6.18,6.24,5122700
2018-10-09,6.24,6.27,6.06,6.06,12851160
