date,open,high,low,close,volume
2018-01-02,62.35,64.78,62.11,64.78,533950
2018-01-03,64.78,68.27,64.78,66.81,699510
2018-01-04,66.32,67.54,66,66.81,749910
2018-01-05,66.81,68.83,66.24,68.6,553920
2018-01-08,68.75,71.91,67.7,71.91,567080
2018-01-09,71.91,73.37,71.42,72.88,517480
2018-01-10,72.88,72.88,70.29,70.45,691140
2018-01-11,69.4,72.88,69.4,72.88,650600
2018-01-12,75.32,75.72,72.88,75.32,513870
2018-01-15,75.55,75.88,72.96,75.15,880860
2018-01-16,74.83,75.15,73.21,74.83,658030
2018-01-17,73.04,74.99,73.04,73.04,334150
2018-01-18,72.88,74.5,70.86,74.5,494030
2018-01-19,74.5,74.66,70.86,70.86,1281320
2018-01-22,72.07,75.72,72.07,74.91,578810
2018-01-25,75.32,78.96,75.32,78.71,1034850
2018-01-26,78.8,79.52,77.01,78.96,629310
2018-01-29,78.96,79.37,76.29,76.53,363310
2018-01-30,76.53,76.77,72.88,73.53,650630
2018-01-31,73.53,76.93,73.37,74.58,1082770
2018-02-01,76.12,76.12,73.29,74.58,724810
2018-02-02,74.5,74.91,70.21,73.7,669230
2018-02-05,69.24,70.45,68.6,68.6,661070
2018-02-06,63.81,69.65,63.81,69.65,1870880
2018-02-07,69.65,70.04,67.22,67.22,566450
2018-02-08,67.94,69.97,66.81,68.83,471670
2018-02-09,65.6,67.22,64.38,66.57,948340
2018-02-12,68.03,68.83,65.68,68.83,997380
2018-02-13,68.83,70.45,68.83,69.32,485920
2018-02-21,69.32,72.88,69.32,72.48,326210
2018-02-22,71.27,72.88,71.27,71.27,402290
2018-02-23,72.07,73.45,71.34,72.72,653110
2018-02-26,73.7,75.32,72.8,72.8,592570
2018-02-27,74.09,74.5,73.21,74.02,567630
2018-02-28,73.7,74.91,72.24,72.24,1152830
2018-03-01,72.88,74.09,72.32,73.7,686470
2018-03-02,73.7,75.47,72.48,74.09,265490
2018-03-05,75.32,75.32,73.7,73.7,704600
2018-03-06,73.7,74.18,73.29,73.29,846740
2018-03-07,73.37,74.26,73.21,74.02,1140920
2018-03-08,74.02,76.93,73.86,76.12,829830
2018-03-09,76.93,77.74,76.04,76.2,398400
2018-03-12,76.93,77.5,76.29,77.09,191140
2018-03-13,77.09,77.09,75.72,76.93,263070
2018-03-14,76.29,77.26,76.12,76.12,315590
2018-03-15,76.93,76.93,75.32,75.32,456960
2018-03-16,76.29,76.29,74.5,74.5,3685230
2018-03-19,74.5,76.37,74.5,76.37,368790
2018-03-20,76.69,81.39,76.37,81.39,981900
2018-03-21,81.39,83.73,80.66,82.93,901320
2018-03-22,83.01,84.63,83.01,83.89,772700
2018-03-23,80.58,83.42,80.58,82.6,946780
2018-03-26,82.6,88.35,81.71,88.35,1326670
2018-03-27,89.89,92.32,88.27,88.27,969010
2018-03-28,88.27,89.4,86.65,89.4,450680
2018-03-29,90.3,90.7,87.46,88.68,515400
2018-03-30,88.27,93.12,86.49,91.91,625160
2018-04-02,91.51,95.56,91.51,92.81,1034570
2018-04-03,93.12,93.12,90.53,91.51,930340
2018-04-04,91.51,93.05,89.08,89.08,1266330
2018-04-05,90.7,91.35,88.27,88.68,616480
2018-04-06,88.68,90.7,85.03,86.49,880100
2018-04-09,85.03,88.92,82.6,86.65,1642750
2018-04-10,88.27,88.27,84.3,85.03,813040
2018-04-11,85.03,86.25,79.37,79.37,1688700
2018-04-12,79.37,83.25,78.55,82.6,755630
2018-04-13,82.6,83.65,80.98,83.01,706610
2018-04-16,84.22,86.49,83.81,84.47,859880
2018-04-17,85.84,85.84,83.81,84.22,657510
2018-04-18,84.22,85.03,80.25,80.98,1088500
2018-04-19,80.98,80.98,75.32,75.32,2133260
2018-04-20,73.29,77.91,70.29,77.91,2402060
2018-04-23,77.91,79.37,76.12,76.93,1490560
2018-04-24,76.93,77.74,72.07,77.58,1408180
2018-04-26,76.93,76.93,72.16,72.24,1445210
2018-04-27,70.7,75.32,70.45,74.34,747000
2018-05-02,74.91,75.88,74.34,75.63,896400
2018-05-03,75.63,75.72,74.09,74.5,1148110
2018-05-04,74.5,76.04,73.37,74.09,390810
2018-05-07,74.09,78.55,73.7,78.14,687860
2018-05-08,78.14,79.76,75.4,78.55,877860
2018-05-09,78.55,79.37,76.53,76.93,931950
2018-05-10,76.93,78.14,74.5,76.12,623530
2018-05-11,76.12,76.77,74.91,76.04,318610
2018-05-14,76.53,79.76,75.72,79.37,722620
2018-05-15,80.17,80.5,77.74,77.91,738890
2018-05-16,77.91,77.91,74.99,75.24,461650
2018-05-17,75.07,76.04,70.45,70.45,1142920
2018-05-18,71.27,74.91,70.86,74.91,885640
2018-05-21,74.91,75.72,72.07,72.07,495850
2018-05-22,71.27,72.8,67.06,68.83,1126390
2018-05-23,67.37,68.99,67.22,68.83,1419580
2018-05-24,68.83,69.08,67.22,68.43,1053550
2018-05-25,68.03,68.43,66.81,67.62,776710
2018-05-28,66,66.81,62.93,64.78,1572560
2018-05-29,63.17,66.81,61.14,64.78,1174770
2018-05-30,64.78,66,62.52,64.78,1337530
2018-05-31,63.98,68.43,63.98,65.6,1464880
2018-06-01,66.4,67.94,65.6,67.94,1027420
2018-06-04,68.75,68.75,67.7,68.19,1033490
2018-06-05,68.19,70.29,68.11,69.16,2036740
2018-06-06,69.16,69.24,68.43,69.24,1170840
2018-06-07,69.97,72.4,69.65,70.7,1148300
2018-06-08,70.7,71.11,69.32,69.65,672840
2018-06-11,69.65,70.21,68.83,68.83,881240
2018-06-12,68.03,68.03,64.38,66.73,1388340
2018-06-13,67.22,67.7,66.73,67.62,665420
2018-06-14,68.43,69.08,67.29,68.43,754200
2018-06-15,67.94,68.83,67.29,68.83,1125470
2018-06-18,68.03,68.83,66,68.03,825840
2018-06-19,66.4,66.4,63.98,64.78,1502690
2018-06-20,64.78,66.32,63.17,65.6,986430
2018-06-21,65.6,65.91,64.54,65.6,609310
2018-06-22,65.6,65.6,64.06,65.6,606920
2018-06-25,67.62,67.62,66,67.22,458160
2018-06-26,66.81,66.81,65.52,66.81,258540
2018-06-27,66.81,67.22,64.78,65.6,418190
2018-06-28,64.78,65.52,62.35,63.98,810880
2018-06-29,62.52,64.38,62.52,63.98,683730
2018-07-02,62.68,63.89,59.52,61.55,1503790
2018-07-03,61.55,61.95,58.39,59.93,1224710
2018-07-04,59.11,60.42,57.5,60.01,967410
2018-07-05,59.27,60.01,58.14,59.85,1268230
2018-07-06,58.14,60.01,57.58,59.93,1494750
2018-07-09,59.93,61.55,59.19,60.09,414980
2018-07-10,59.93,60.65,59.85,60.09,495930
2018-07-11,59.93,60.09,58.8,59.93,962210
2018-07-12,58.88,59.93,58.8,59.93,521530
2018-07-13,59.93,61.06,59.52,60.65,453210
2018-07-16,60.34,60.9,59.85,60.09,1011680
2018-07-17,59.36,60.34,59.36,60.34,549360
2018-07-18,60.34,62.35,60.09,61.55,1230190
2018-07-19,62.35,65.19,62.19,64.06,761010
2018-07-20,64.47,64.78,63.24,64.06,766990
2018-07-23,63.98,65.76,63.65,64.06,1161850
2018-07-24,64.06,65.76,63.32,65.19,1009400
2018-07-25,65.19,68.03,64.7,65.6,935280
2018-07-26,66.32,66.49,64.78,65.6,433810
2018-07-27,65.43,66,64.7,65.84,525860
2018-07-30,66.24,66.24,64.78,65.91,515970
2018-07-31,65.6,68.51,65.6,68.19,910850
2018-08-01,68.43,68.43,66.97,68.19,299790
2018-08-02,68.19,68.67,67.54,68.19,491440
2018-08-03,68.91,68.99,68.19,68.83,478550
2018-08-06,68.83,71.58,68.43,70.78,636030
2018-08-07,70.78,73.37,70.45,72.88,675440
