date,open,high,low,close,volume
2018-01-02,30.18,30.51,30.18,30.4,566400
2018-01-03,30.44,31.14,30.4,31,1132510
2018-01-04,30.89,31.18,30.87,31.07,678710
2018-01-05,31.09,31.09,30.59,30.73,733030
2018-01-08,30.51,30.63,30.18,30.24,752020
2018-01-09,30.24,30.4,29.93,30.29,854350
2018-01-10,30.29,30.63,30.18,30.56,726350
2018-01-11,30.29,30.51,30.29,30.38,432890
2018-01-12,30,30.38,29.97,30,761010
2018-01-15,30,30.08,29.95,30.07,426390
2018-01-16,30.15,30.29,29.95,30.15,502050
2018-01-17,29.48,30.15,29.48,29.48,699560
2018-01-18,29.37,29.83,29.03,29.83,472240
2018-01-19,29.83,29.83,29.22,29.37,374620
2018-01-22,29.39,30.29,29.32,29.59,328910
2018-01-25,29.71,30.07,29.27,29.71,735390
2018-01-26,29.83,29.9,29.29,29.29,282470
2018-01-29,29.29,29.29,27.94,28.52,1019580
2018-01-30,28.8,29.22,28.49,29,429120
2018-01-31,29,29,28.56,28.91,418280
2018-02-01,28.8,30.92,28.49,30.92,467000
2018-02-02,29.83,29.95,29.15,29.15,852600
2018-02-05,29.03,29.03,28.1,28.44,695700
2018-02-06,27.64,27.76,26.61,27.41,1006780
2018-02-07,28.07,28.3,27.76,27.76,458750
2018-02-08,27.99,27.99,27.06,27.34,331600
2018-02-09,26.49,26.49,25.56,25.8,895800
2018-02-12,26.49,26.49,25.68,26.23,570900
2018-02-13,26.26,27.76,26.26,27.64,192920
2018-02-21,27.88,28.4,27.88,28.33,200190
2018-02-22,28.1,28.3,27.41,27.41,303130
2018-02-23,27.52,27.67,27.44,27.59,207380
2018-02-26,27.64,28.21,27.59,27.88,478400
2018-02-27,28.1,29.03,27.64,29.03,746580
2018-02-28,28.8,28.91,28.44,28.56,351460
2018-03-01,28.33,28.56,27.99,28.21,277590
2018-03-02,27.88,28.05,27.57,27.99,690310
2018-03-05,28.1,28.18,27.48,27.52,768540
2018-03-06,27.52,27.55,26.49,26.95,609300
2018-03-07,26.72,26.72,26.18,26.28,619200
2018-03-08,26.3,26.72,26.3,26.52,243880
2018-03-09,26.72,26.83,26.49,26.74,244020
2018-03-12,26.74,27.13,26.74,26.95,192120
2018-03-13,26.95,26.97,26.61,26.72,219390
2018-03-14,26.95,27.11,26.49,26.49,250220
2018-03-15,26.49,26.49,26.14,26.14,349720
2018-03-16,26.72,26.72,25.56,26.11,481790
2018-03-19,26.83,27.18,26.72,26.95,527170
2018-03-20,27.11,27.88,26.97,27.64,673160
2018-03-21,28.1,28.25,27.64,27.64,433980
2018-03-22,27.64,28.01,27.18,27.2,293790
2018-03-23,26.49,27.18,26.28,26.76,278400
2018-03-26,26.49,27.27,26.49,26.49,224100
2018-03-27,26.49,26.81,26.26,26.26,341730
2018-03-28,26.26,26.47,26.07,26.07,314920
2018-03-29,26.26,26.37,25.75,26.05,351580
2018-03-30,26.03,26.23,25.99,25.99,183280
2018-04-02,25.99,26.05,25.34,25.37,767210
2018-04-03,25.37,25.37,23.73,23.73,1076000
2018-04-04,23.73,24.58,23.73,24.16,511510
2018-04-05,24.29,24.83,24.27,24.27,215460
2018-04-06,24.27,24.76,24.14,24.25,265350
2018-04-09,24.37,24.41,23.8,23.83,306530
2018-04-10,23.83,23.85,23.26,23.26,506380
2018-04-11,23.26,23.61,22.98,22.98,525250
2018-04-12,23.03,23.85,22.98,23.85,495810
2018-04-13,24.18,24.27,23.96,24.27,542420
2018-04-16,24.41,24.53,24.18,24.41,343280
2018-04-17,24.46,24.53,24.18,24.22,244320
2018-04-18,24.18,24.22,23.73,23.73,206100
2018-04-19,23.83,23.83,22.58,22.58,314620
2018-04-20,23.03,23.52,22.81,23.52,338220
2018-04-23,24.18,25.06,24.16,24.65,685820
2018-04-24,24.53,24.86,24.41,24.58,220980
2018-04-26,24.53,24.65,23.39,23.43,338620
2018-04-27,23.48,23.96,23.01,23.72,330400
2018-05-02,23.72,24.65,23.6,23.6,254610
2018-05-03,23.72,23.72,23.29,23.63,258960
2018-05-04,23.72,23.96,23.55,23.6,184450
2018-05-07,23.6,25.14,23.6,25.11,597020
2018-05-08,25.3,25.3,24.46,24.56,297750
2018-05-09,24.41,24.88,24.36,24.63,262950
2018-05-10,24.53,24.63,23.25,23.25,530300
2018-05-11,23.23,23.96,23.23,23.96,310160
2018-05-14,24.18,24.53,23.87,24.41,273900
2018-05-15,24.41,24.99,24.29,24.83,474040
2018-05-16,24.65,24.83,24.32,24.41,201990
2018-05-17,24.29,24.51,23.99,23.99,309370
2018-05-18,23.96,24.65,23.75,24.65,301160
2018-05-21,25.35,26.04,25.11,25.64,1188460
2018-05-22,25.6,25.67,24.81,25.35,423890
2018-05-23,25.35,26.27,25.04,26.27,872610
2018-05-24,26.49,26.69,26.08,26.44,681070
2018-05-25,26.42,26.51,25.57,25.57,611380
2018-05-28,25.11,25.35,23.79,23.79,1155930
2018-05-29,23.79,24.88,23.48,24.41,551780
2018-05-30,24.41,24.65,23.79,23.96,440950
2018-05-31,23.96,24.69,23.79,24.69,340200
2018-06-01,24.65,25.35,24.32,25.35,607160
2018-06-04,25.35,25.93,25.11,25.35,528750
2018-06-05,25.35,25.86,25.23,25.79,550980
2018-06-06,25.81,27.55,25.79,27.55,1622250
2018-06-07,27.53,27.62,27,27.06,586210
2018-06-08,26.97,28.34,26.85,28.13,1050630
2018-06-11,27.79,28.84,27.62,28.53,863640
2018-06-12,27.97,28.24,27.11,27.93,1008440
2018-06-13,28.13,28.55,27.93,28.51,697380
2018-06-14,28.36,29.29,28.36,28.6,790730
2018-06-15,28.6,29,28.17,28.79,481440
2018-06-18,28.82,29.17,27.44,27.44,1070590
2018-06-19,26.85,27.3,25.52,26.74,1911210
2018-06-20,26.76,27.18,26.51,26.92,411110
2018-06-21,27.13,27.32,26.51,26.51,516060
2018-06-22,26.51,27.18,26.1,27.18,476580
2018-06-25,27.91,28.58,27.91,28.11,705100
2018-06-26,27.74,28.08,27.39,27.91,441230
2018-06-27,27.91,28.41,27.44,27.44,817170
2018-06-28,27.11,27.42,26.54,26.67,638030
2018-06-29,26.74,27.08,26.51,26.51,491140
2018-07-02,26.27,26.27,24.88,24.88,1026590
2018-07-03,24.91,25.23,23.28,23.28,1075280
2018-07-04,23.67,24.29,23.16,24.29,779570
2018-07-05,24.29,24.41,23.25,23.65,558520
2018-07-06,23.72,25.11,23.31,24.76,567910
2018-07-09,24.88,25.23,24.18,24.41,328540
2018-07-10,24.32,24.76,24.18,24.39,301970
