date,open,high,low,close,volume
2018-01-02,12.9,13.64,12.82,13.64,1653510
2018-01-03,13.76,13.8,13.4,13.76,1296300
2018-01-04,13.76,13.8,13.68,13.7,689820
2018-01-05,13.64,14.24,13.44,14.24,1459870
2018-01-08,14.14,14.47,13.96,14.38,907850
2018-01-09,14.52,14.65,14.27,14.62,1127150
2018-01-10,14.62,15.04,14.47,14.73,1458900
2018-01-11,14.63,14.73,14.37,14.37,585860
2018-01-12,14.22,14.6,14.22,14.22,930910
2018-01-15,14.14,14.2,14,14.2,429180
2018-01-16,14.3,14.56,14.16,14.3,273290
2018-01-17,13.64,14.4,13.64,13.64,335990
2018-01-18,13.47,13.8,13.14,13.64,709080
2018-01-19,13.64,14.37,13.57,14.14,1027610
2018-01-22,14.27,14.54,13.96,14.24,1146670
2018-01-25,14.24,14.24,13.54,13.6,1110050
2018-01-26,13.37,13.6,13.14,13.44,1102290
2018-01-29,13.3,13.47,13.15,13.27,436800
2018-01-30,13.27,13.3,13.04,13.2,719460
2018-01-31,13.2,13.76,13.2,13.76,834710
2018-02-01,13.74,13.76,13.2,13.2,282580
2018-02-02,13.17,13.22,12.64,13.2,295310
2018-02-05,13.06,13.2,12.37,12.37,329680
2018-02-06,11.51,12.3,11.51,11.54,841400
2018-02-07,12.14,12.24,11.97,12.07,263650
2018-02-08,12.07,12.07,11.61,11.65,262210
2018-02-09,10.85,11.65,10.85,11.65,201470
2018-02-12,11.65,11.97,11.65,11.91,113990
2018-02-13,11.94,11.97,11.81,11.91,316590
2018-02-21,12.27,12.27,11.87,11.94,269550
2018-02-22,11.87,11.91,11.72,11.77,161770
2018-02-23,11.77,11.87,11.61,11.77,338800
2018-02-26,11.81,11.87,11.47,11.54,700810
2018-02-27,11.57,11.57,11.14,11.21,545720
2018-02-28,11.21,11.31,11.14,11.17,979650
2018-03-01,11.09,11.61,11.09,11.51,796310
2018-03-02,11.31,11.44,11.21,11.44,499220
2018-03-05,11.24,11.41,10.81,10.81,914740
2018-03-06,11.14,11.14,10.57,10.81,891900
2018-03-07,10.67,10.88,10.67,10.79,374860
2018-03-08,10.79,11.07,10.79,10.97,356760
2018-03-09,10.97,11.14,10.85,10.85,295400
2018-03-12,10.91,10.97,10.65,10.65,263850
2018-03-13,10.65,10.65,10.34,10.45,446200
2018-03-14,10.46,10.81,10.46,10.77,490680
2018-03-15,10.77,10.79,10.61,10.65,180080
2018-03-16,10.51,10.61,10.41,10.45,298960
2018-03-19,10.39,10.55,10.24,10.26,454400
2018-03-20,10.26,10.57,10.24,10.31,322320
2018-03-21,10.45,10.45,10.21,10.31,139980
2018-03-22,10.41,10.43,10.21,10.27,100870
2018-03-23,9.93,10.01,9.83,10.01,362130
2018-03-26,10.01,10.01,9.71,9.75,187150
2018-03-27,9.68,9.91,9.61,9.61,253030
2018-03-28,9.5,9.61,9.31,9.61,383380
2018-03-29,9.61,9.93,9.53,9.85,338090
2018-03-30,9.98,10.55,9.88,10.55,696030
2018-04-02,10.81,10.91,10.59,10.85,943510
2018-04-03,10.85,10.85,10.55,10.67,410230
2018-04-04,10.65,10.65,10.24,10.24,424130
2018-04-05,10.13,10.21,9.88,9.89,365740
2018-04-06,9.71,10.31,9.71,10.01,256090
