date,open,high,low,close,volume
2018-01-02,14.8,15.16,14.8,15.16,144640
2018-01-03,15.3,15.36,15.16,15.16,378850
2018-01-04,15.16,15.44,15.06,15.44,381030
2018-01-05,15.44,15.44,15,15.16,241650
2018-01-08,15.16,15.24,15,15.24,289680
2018-01-09,15.5,15.6,15.3,15.57,494540
2018-01-10,15.65,16.46,15.65,16.23,1109350
2018-01-11,16.38,16.38,16.07,16.23,420290
2018-01-12,15.99,16.38,15.94,15.99,550980
2018-01-15,16.13,16.97,15.99,16.97,1488270
2018-01-16,16.87,17.33,16.78,16.87,814640
2018-01-17,16.07,17.07,16.07,16.07,794030
2018-01-18,15.75,16.05,15.44,15.94,531180
2018-01-19,16.07,16.43,15.81,16,450570
2018-01-22,16.49,17.07,16.49,16.89,793770
2018-01-25,17.23,17.33,16.81,16.97,1909330
2018-01-26,17.02,17.23,16.68,16.72,659430
2018-01-29,16.72,16.92,16.49,16.5,467560
2018-01-30,16.03,17.64,16.03,17.23,810260
2018-01-31,17.46,17.65,17.17,17.17,1095480
2018-02-01,17.33,17.33,16.72,16.75,365750
2018-02-02,16.63,16.82,16.58,16.82,296060
2018-02-05,15.99,16.72,15.67,15.67,429110
2018-02-06,14.58,15.67,14.58,14.58,621300
2018-02-07,14.8,15.6,14.8,15.6,682350
2018-02-08,15.24,16.49,15.24,16.49,476140
2018-02-09,15.44,16.58,15.44,16.55,334070
2018-02-12,16.23,16.49,15.89,16.23,393940
2018-02-13,16.72,16.72,16.28,16.38,101280
2018-02-21,16.38,16.53,16.07,16.23,227890
2018-02-22,16.23,16.72,16.07,16.49,547060
2018-02-23,16.49,16.63,16.33,16.38,257720
2018-02-26,16.68,16.97,16.38,16.72,492110
2018-02-27,17.57,17.57,17.04,17.32,227760
2018-02-28,17.35,17.39,17.04,17.04,147430
2018-03-01,17.04,17.1,16.93,17.02,317160
2018-03-02,16.72,17.73,16.72,17.57,217330
2018-03-05,17.79,18.58,17.79,18.05,397120
2018-03-06,17.94,18.53,17.7,18.39,369090
2018-03-07,18.39,18.39,18.11,18.27,349530
2018-03-08,18.14,18.56,18.14,18.51,221030
2018-03-09,18.64,18.86,18.51,18.75,228260
2018-03-12,18.75,18.75,18.43,18.43,167420
2018-03-13,18.7,18.7,18.43,18.58,128370
2018-03-14,18.58,18.7,18.39,18.58,329740
2018-03-15,18.43,18.96,18.43,18.91,352370
2018-03-16,18.86,19.18,18.86,18.91,166380
