date,open,high,low,close,volume
2018-01-02,55.14,56.09,54.18,55,1142760
2018-01-03,55.06,55.58,54.48,55.14,1096830
2018-01-04,55.29,57.63,55.29,57.63,1439440
2018-01-05,57.41,58.22,56.6,57.92,1368060
2018-01-08,57.63,61.81,57.63,61.59,1164450
2018-01-09,61.59,62.32,60.48,60.94,1278870
2018-01-10,60.94,63.06,60.86,62.32,1428940
2018-01-11,61.96,65.12,61.37,64.68,1057380
2018-01-12,63.57,66.87,63.06,63.57,1928010
2018-01-15,63.57,66.72,63.06,66.36,1470780
2018-01-16,66.72,67.96,65.19,66.72,1556760
2018-01-17,63.2,67.67,63.2,63.2,1459300
2018-01-18,62.32,64,60.12,63.64,2552170
2018-01-19,64.16,67.38,63.64,67.38,2791600
2018-01-22,67.38,69.21,65.99,68.26,1527840
2018-01-25,69.06,70.01,68.04,68.26,2924920
2018-01-26,68.85,69.06,65.99,68.18,1662110
2018-01-29,68.18,68.18,66.42,67.31,1706230
2018-01-30,65.99,66.66,63.64,65.63,1593930
2018-01-31,64.53,68.18,62.4,64.89,1946140
2018-02-01,65.12,65.99,64.37,64.96,723200
2018-02-02,63.78,64.96,63.35,64.37,992010
2018-02-05,64.08,64.08,59.91,59.91,1590460
2018-02-06,55.72,58.65,55.72,55.72,1071710
2018-02-07,58.73,58.8,56.89,58.58,1566120
2018-02-08,57.55,58.06,56.46,56.53,459780
2018-02-09,53.54,54.84,52.64,53.6,770290
2018-02-12,53.6,57.12,53.6,57.12,750900
2018-02-13,57.92,58.14,57.19,57.33,546150
2018-02-21,58.8,59.24,57.71,58.43,803170
2018-02-22,57.92,58.58,55.72,56.82,622310
2018-02-23,57.48,60.78,57.33,60.78,2058340
2018-02-26,62.32,65.04,62.32,64.89,2159560
2018-02-27,65.63,65.63,63.42,64.44,845450
2018-02-28,63.06,66.72,63.06,65.92,1820920
2018-03-01,65.12,65.84,63.12,63.94,1258110
2018-03-02,63.06,63.78,62.54,63.78,849060
2018-03-05,64.16,64.89,60.94,60.94,1014150
2018-03-06,61.96,63.78,60.86,63.49,838820
2018-03-07,63.12,63.49,60.86,61.07,833790
2018-03-08,61.07,62.47,60.48,62.32,676110
2018-03-09,62.61,63.06,61.45,61.59,552480
2018-03-12,62.54,62.54,60.42,60.42,507620
2018-03-13,60.78,61.07,58.43,59.76,932770
2018-03-14,59.91,60.86,59.53,59.53,511470
2018-03-15,59.4,60.12,58.89,59.47,665400
2018-03-16,59.53,62.4,59.53,60.86,2039440
2018-03-19,62.32,63.42,61.96,63.27,1156350
2018-03-20,63.06,63.94,62.69,62.69,922890
2018-03-21,63.2,64.29,62.76,63.7,1797680
2018-03-22,64.53,65.12,63.64,63.7,1293360
2018-03-23,62.32,63.35,61.52,62.4,1182670
2018-03-26,62.4,63.06,60.86,60.86,1121370
2018-03-27,61.23,61.59,58.89,60.12,1269680
2018-03-28,59.47,61.37,59.1,60.78,500520
2018-03-29,60.78,61.07,59.83,60.35,374820
2018-03-30,60.78,61.52,59.76,61.37,501160
2018-04-02,61.3,62.54,61.07,62.24,770760
2018-04-03,61.96,62.61,60.78,60.86,778980
2018-04-04,60.86,61.23,60.05,60.48,937700
2018-04-05,60.48,60.86,59.53,59.69,532380
2018-04-06,60.12,60.86,59.24,60.86,891780
2018-04-09,60.86,61.96,60.71,61.15,761600
2018-04-10,60.78,61.15,59.61,60.86,557070
2018-04-11,60.94,61.52,57.92,57.92,1006130
2018-04-12,57.92,58.65,56.97,58.65,950990
2018-04-13,58.65,59.24,55,56.09,948810
2018-04-16,56.09,56.38,55,56.24,557830
2018-04-17,56.24,56.38,53.82,54.26,692890
2018-04-18,54.26,54.77,51.91,52.64,1160450
2018-04-19,52.64,52.64,48.98,48.98,1255730
2018-04-20,48.98,50.88,48.39,50.88,733140
2018-04-23,51.33,52.06,47.36,47.36,683680
2018-04-24,45.89,46.92,44.07,45.46,1222150
2018-04-26,46.12,46.12,42.31,42.31,909200
2018-04-27,42.31,45.23,42.23,45.23,1112190
2018-05-02,46.56,48.39,46.19,48.39,837650
2018-05-03,48.39,50.23,46.92,48.54,788130
2018-05-04,48.39,48.54,47.29,47.95,632690
2018-05-07,47.66,49.06,47.29,48.77,492350
2018-05-08,48.47,50.44,48.47,50,643400
2018-05-09,50.44,50.74,48.98,49.64,615370
2018-05-10,49.86,49.86,46.92,46.92,552890
2018-05-11,46.92,47.58,45.46,46.92,672780
2018-05-14,47.95,48.47,46.99,48.39,408200
2018-05-15,48.39,51.76,48.39,51.76,1275590
2018-05-16,52.06,52.06,50.23,50.58,728550
2018-05-17,50.3,50.82,49.86,49.86,852580
2018-05-18,49.28,50.58,47.66,50.58,825630
2018-05-21,50.66,50.66,48.39,48.39,542820
2018-05-22,47.29,48.39,45.02,45.46,955310
2018-05-23,44.72,46.4,44.14,46.4,614660
2018-05-24,46.63,47.29,45.46,46.19,382870
2018-05-25,46.19,46.56,43.63,43.63,618290
2018-05-28,43.26,43.26,41.05,41.05,976740
2018-05-29,41.79,43.92,41.35,43.92,678390
2018-05-30,43.63,44.36,42.9,42.9,490400
2018-05-31,42.52,45.82,42.52,45.46,849930
2018-06-01,46.12,46.19,44.65,45.82,686660
2018-06-04,45.82,46.56,45.16,46.05,386910
2018-06-05,46.05,48.77,46.05,48.11,765440
2018-06-06,48.39,49.49,47.51,49.28,547500
2018-06-07,49.12,49.41,48.39,49.06,637220
2018-06-08,48.98,50.23,48.25,50,781580
2018-06-11,48.77,50.15,48.54,48.61,584970
2018-06-12,47.66,48.39,45.61,47.51,927160
2018-06-13,47.58,49.12,47.29,49.12,496570
2018-06-14,49.12,50.08,48.9,48.9,594110
2018-06-15,48.69,49.36,48.18,49.36,476310
2018-06-18,48.98,49.28,47.29,47.29,517670
2018-06-19,46.56,46.92,44,45.82,1282720
2018-06-20,46.12,46.85,45.1,46.85,305680
2018-06-21,46.77,46.77,45.82,45.89,259740
2018-06-22,45.82,46.48,45.39,46.48,308340
2018-06-25,48.33,48.33,47.33,47.4,383240
2018-06-26,47.02,47.02,46.18,46.64,221360
2018-06-27,46.95,47.72,46.03,46.03,331450
2018-06-28,45.79,46.03,44.63,45.41,410520
2018-06-29,45.41,46.1,45.02,45.02,149200
2018-07-02,44.94,45.17,43.03,45.02,488920
2018-07-03,45.02,45.02,42.33,42.42,446650
2018-07-04,43.25,43.48,41.71,42.8,319770
2018-07-05,43.1,43.1,40.64,40.64,498150
2018-07-06,40.79,43.17,39.87,41.88,683880
2018-07-09,42.71,43.79,42.33,42.33,358880
2018-07-10,42.33,43.48,42.33,42.33,301320
2018-07-11,40.41,41.56,40.1,41.56,406410
2018-07-12,40.64,42.1,40.64,41.18,139300
2018-07-13,41.56,42.18,41.41,41.56,266960
2018-07-16,41.56,42.33,41.18,41.88,227950
2018-07-17,41.48,42.25,40.79,41.56,308540
2018-07-18,42.18,43.87,42.01,43.87,771000
2018-07-19,44.25,44.79,43.71,44.33,408530
2018-07-20,43.57,44.17,43.17,43.17,480790
2018-07-23,43.48,45.11,43.1,44.02,628000
2018-07-24,43.87,44.49,43.33,43.87,376550
2018-07-25,44.17,44.63,43.79,43.79,436720
2018-07-26,43.71,43.71,42.87,43.1,407460
2018-07-27,43.1,44.1,43.1,43.64,287950
2018-07-30,44.17,44.63,43.95,44.63,668090
2018-07-31,44.63,47.63,44.4,46.57,1559950
2018-08-01,46.95,48.18,46.64,47.18,747160
2018-08-02,47.33,47.57,46.72,47.49,951560
2018-08-03,47.72,49.26,47.72,48.18,1312750
2018-08-06,48.18,49.57,47.57,49.18,701070
2018-08-07,49.18,49.26,48.03,48.18,763020
2018-08-08,48.64,49.1,48.18,48.48,560540
2018-08-09,49.18,49.48,47.72,48.41,848730
2018-08-10,48.41,49.18,47.8,49.18,665110
2018-08-13,49.18,51.17,48.48,51.17,1369790
2018-08-14,50.87,50.95,50.1,50.49,628640
2018-08-15,50.49,50.57,48.26,48.33,733050
2018-08-16,47.4,50.02,46.95,49.72,1441710
2018-08-17,49.95,50.18,49.26,49.4,530720
2018-08-20,49.26,51.17,49.26,50.41,1133600
2018-08-21,50.18,51.1,49.87,50.63,753180
2018-08-22,51.17,51.56,50.41,50.49,681810
2018-08-23,50.87,51.26,50.34,50.72,535200
2018-08-24,50.41,52.57,50.41,52.34,2117990
2018-08-27,52.34,53.33,52.34,52.95,893630
2018-08-28,52.95,53.41,52.41,53.1,859970
