date,open,high,low,close,volume
2018-01-02,29.17,29.17,28.03,28.05,798850
2018-01-03,28.05,28.34,27.72,27.93,715160
2018-01-04,27.93,28.34,27.8,28.14,364810
2018-01-05,28.14,28.25,27.84,28.14,308200
2018-01-08,28.14,28.45,27.87,28.25,225860
2018-01-09,28.41,28.45,28.05,28.07,216780
2018-01-10,28.14,28.98,28.14,28.79,453520
2018-01-11,28.77,28.77,28.47,28.62,148850
2018-01-12,28.67,28.75,28.34,28.67,281300
2018-01-15,28.67,29.58,28.49,29.29,246360
2018-01-16,29.58,29.72,29.29,29.58,479470
2018-01-17,28.98,29.69,28.98,28.98,190050
2018-01-18,28.58,28.98,28.14,28.98,332260
2018-01-19,30.85,30.85,29.82,30.02,888650
2018-01-22,30.21,30.65,30.02,30.45,388760
2018-01-25,30.45,30.76,30.45,30.49,432090
2018-01-26,30.6,30.76,29.39,30.13,267620
2018-01-29,30.13,30.23,29.61,29.65,201200
2018-01-30,29.39,30.76,29.21,30.65,537170
2018-01-31,31.28,31.61,30.98,31.28,232940
2018-02-01,31.1,31.91,30.87,31.28,200350
2018-02-02,31.28,31.91,31.28,31.61,296350
2018-02-05,31.06,31.69,30.23,30.65,384760
2018-02-06,28.53,30.45,28.51,29.58,1127520
2018-02-07,30.45,31.08,30.19,31,378580
2018-02-08,30.65,31.61,30.52,30.67,178900
2018-02-09,29.39,30.98,29.19,30.98,473810
2018-02-12,31.71,32.54,31.53,32.54,311480
2018-02-13,33.55,33.58,32.97,33.49,165670
2018-02-21,33.58,35.07,33.51,34.65,281220
2018-02-22,34.65,34.75,34.15,34.44,225550
2018-02-23,34.65,35.91,34.55,35.84,219270
2018-02-26,36.11,36.22,34.75,34.75,708950
2018-02-27,34.85,35.29,34.46,35.02,295910
2018-02-28,34.65,35.24,34.62,35,162700
2018-03-01,34.65,35.09,34.44,34.44,205110
2018-03-02,34.2,34.55,34.08,34.29,372740
2018-03-05,34.2,35.69,34.2,34.71,277370
2018-03-06,34.85,36.11,34.33,36.11,410770
2018-03-07,36.26,36.74,35.17,35.8,306440
2018-03-08,36.09,36.53,35.8,36.51,230200
2018-03-09,36.74,37.35,36.44,36.51,244160
2018-03-12,36.74,36.74,36.11,36.26,161450
2018-03-13,36.2,36.22,35.67,35.97,182720
2018-03-14,36.31,36.63,36.14,36.2,176450
2018-03-15,35.91,36.44,35.91,36.11,121950
2018-03-16,36.22,37.79,36.18,37.79,547550
2018-03-19,38.21,38.63,37.79,38.3,322320
2018-03-20,37.8,38.83,37.7,38.21,216580
2018-03-21,38.21,39.26,38.01,38.43,197960
2018-03-22,38.63,38.84,38.21,38.63,171280
2018-03-23,38.01,38.43,37.79,38.01,306960
2018-03-26,37.79,38.91,37.79,38.91,204070
2018-03-27,39.26,40.29,39.26,39.58,265690
2018-03-28,39.68,41.37,39.68,41.37,342340
2018-03-29,41.37,41.97,40.95,41.57,220660
2018-03-30,41.57,43.47,41.37,43.25,418340
2018-04-02,43.68,43.69,42.2,42.92,310240
2018-04-03,42.54,42.84,42.28,42.52,234720
2018-04-04,42.63,42.63,41.3,42.28,596770
2018-04-05,42.2,42.84,42.03,42.09,110450
2018-04-06,41.79,42.09,40.73,40.73,655890
2018-04-09,40.31,40.53,38.74,38.84,758510
2018-04-10,38.65,40.53,37.89,40.53,392000
2018-04-11,40.53,41.37,39.26,39.26,264870
2018-04-12,39.15,39.68,38.63,39.11,166730
2018-04-13,39.68,39.96,39.01,39.05,209370
2018-04-16,39.05,39.68,38.77,38.79,176360
2018-04-17,38.65,39.2,37.89,38.11,245100
2018-04-18,38.21,38.63,36.33,36.74,584820
2018-04-19,36.11,36.7,34.22,34.65,778630
2018-04-20,34.65,36.2,34.65,36.2,259900
2018-04-23,36.74,37.38,36.11,36.53,348310
2018-04-24,35.91,36.53,35.29,36.53,217450
2018-04-26,35.91,36.09,35.07,35.07,335900
2018-04-27,34.73,36.74,34.44,35.91,274310
2018-05-02,36.33,36.85,35.47,35.91,264010
2018-05-03,35.69,36.11,35.02,35.69,217860
2018-05-04,35.69,36.31,35.69,35.91,227490
2018-05-07,36.53,38.4,36.33,38.4,480240
2018-05-08,38.45,39.48,38.45,38.45,370500
2018-05-09,38.45,38.65,37.89,38.31,191480
2018-05-10,38.31,38.63,37.16,37.16,371420
2018-05-11,37.06,38.43,36.59,38.43,492930
2018-05-14,38.89,39.26,38.35,39.09,228360
2018-05-15,38.99,39.22,38.69,38.89,230960
2018-05-16,38.49,38.89,38.01,38.25,323540
2018-05-17,38.47,38.47,37.73,38.05,131160
2018-05-18,38.16,38.25,36.95,38.05,319040
2018-05-21,38.55,38.68,37.82,37.82,146940
2018-05-22,37.82,37.82,36.57,37.18,391620
2018-05-23,37.18,37.63,36.59,37.63,170120
2018-05-24,37.63,37.82,36.99,37.63,102670
2018-05-25,37.41,37.41,36.57,36.57,137470
2018-05-28,36.16,36.37,34.03,34.03,697030
2018-05-29,34.03,35.52,32.17,34.68,634890
2018-05-30,34.68,34.77,33.84,34.05,138810
2018-05-31,34.05,35.11,33.53,35.11,302580
2018-06-01,34.68,36.37,34.68,35.88,260990
2018-06-04,35.95,36.37,35.75,36.37,218140
2018-06-05,36.57,37.63,36.37,37.63,279280
2018-06-06,37.82,38.87,37.21,38.87,408910
2018-06-07,38.89,39.09,37.93,38.47,333220
2018-06-08,38.25,38.89,38.05,38.61,210880
2018-06-11,38.31,38.87,37.82,38.25,312980
2018-06-12,37.87,37.89,36.57,37.41,512380
2018-06-13,36.18,37.21,35.84,36.67,898670
2018-06-14,37.83,38.8,37.53,37.53,667820
2018-06-15,37.53,38.47,37.15,37.53,253200
2018-06-18,37.53,37.56,35.63,35.63,460340
2018-06-19,34.38,34.69,33.15,33.43,842680
2018-06-20,34.38,34.38,33.12,33.75,415250
2018-06-21,33.75,33.75,32.11,32.48,309700
2018-06-22,31.85,33.12,30.85,33.12,650220
2018-06-25,33.39,33.87,32.63,32.63,322980
2018-06-26,32.04,32.24,31.17,32.24,458090
2018-06-27,31.88,32.45,30.59,30.59,512250
2018-06-28,30.59,30.88,28.48,28.48,931230
2018-06-29,28.07,28.71,27.03,27.44,581690
2018-07-02,26.64,26.98,25.55,25.55,738950
2018-07-03,25.24,25.85,23.97,23.97,775020
2018-07-04,23.97,25.65,23.65,25.65,493240
2018-07-05,26.43,26.74,24.6,25.65,523390
2018-07-06,25.39,27.27,24.95,27.27,469910
2018-07-09,27.13,27.44,26.02,26.02,398130
2018-07-10,26.02,27.13,25.85,26.98,319020
2018-07-11,26.02,26.46,25.35,26.02,426990
2018-07-12,25.65,26.49,25.55,25.92,114410
2018-07-13,26.18,27.09,26.18,26.81,217450
2018-07-16,27.13,28.54,27.13,28.48,574830
2018-07-17,28.48,29.81,28.1,29.61,670960
2018-07-18,29.55,30.59,29.18,30.27,812290
2018-07-19,30.54,30.54,29.65,29.65,637620
2018-07-20,29.01,29.99,29.01,29.99,837410
2018-07-23,30.24,31,29.96,30.27,500260
2018-07-24,30.27,30.27,29.05,29.37,360690
2018-07-25,29.39,30.09,29.01,29.01,373040
2018-07-26,29.01,29.29,28.21,28.39,548680
2018-07-27,28.71,29.48,28.54,29.48,368690
2018-07-30,30.13,30.57,29.69,30.57,438710
2018-07-31,30.57,30.57,30.05,30.44,412600
2018-08-01,30.27,30.33,29.51,29.65,442990
2018-08-02,29.48,30.13,29.48,30.13,285850
