date,open,high,low,close,volume
2018-01-02,8.84,8.96,8.84,8.9,4495320
2018-01-03,8.96,9.24,8.93,9.24,10288870
2018-01-04,9.26,9.33,9.17,9.21,7008620
2018-01-05,9.24,9.26,8.84,8.84,8352050
2018-01-08,8.84,9.03,8.74,9.03,8373690
2018-01-09,9.17,9.24,8.97,9.12,5444200
2018-01-10,9.22,9.43,9.14,9.28,10488420
2018-01-11,9.28,9.31,9.12,9.26,6501660
2018-01-12,9.57,9.71,9.26,9.57,12631800
2018-01-15,9.59,9.85,9.43,9.77,6137200
2018-01-16,9.75,9.82,9.55,9.75,7478000
2018-01-17,9.33,9.77,9.33,9.33,9686960
2018-01-18,9.21,9.63,9.08,9.63,7995830
2018-01-19,9.69,10.01,9.63,9.94,9547150
2018-01-22,10.09,10.48,10.03,10.46,10543620
2018-01-25,10.39,11.1,10.39,10.83,12487460
2018-01-26,10.91,11.1,10.55,10.8,7800330
2018-01-29,10.8,11.34,10.77,11.19,5129430
2018-01-30,10.89,11.21,10.86,11.17,8691900
2018-01-31,11.17,11.29,10.43,10.43,7354310
2018-02-01,10.7,10.86,10.43,10.56,6872490
2018-02-02,10.64,10.81,10.55,10.73,3569790
2018-02-05,10.39,10.6,9.97,9.97,9615070
2018-02-06,9.29,9.87,9.29,9.54,12223040
2018-02-07,10.16,10.19,9.96,10.09,5380150
2018-02-08,9.85,10.09,9.66,9.66,2490480
2018-02-09,9.14,9.66,9.14,9.66,5374370
2018-02-12,10,10.27,9.91,10.27,4601160
2018-02-13,10.33,10.55,10.33,10.45,3788310
2018-02-21,10.55,10.89,10.5,10.73,5567150
2018-02-22,10.58,10.75,10.42,10.52,4411070
2018-02-23,10.6,10.8,10.54,10.77,4271290
2018-02-26,11,11.07,10.71,10.71,7218640
2018-02-27,10.8,10.84,10.66,10.8,4419640
2018-02-28,10.7,11.28,10.63,11.28,9313900
2018-03-01,11.28,11.75,11.26,11.56,8972120
2018-03-02,11.4,11.7,11.28,11.62,6267180
2018-03-05,11.74,11.9,10.81,10.81,8925540
2018-03-06,11.09,11.56,10.95,11.56,7628590
2018-03-07,11.62,11.9,11.4,11.68,8682010
2018-03-08,11.65,11.68,11.47,11.66,5641340
2018-03-09,11.9,12.06,11.75,11.87,9301060
2018-03-12,12.01,12.06,11.71,11.74,4999020
2018-03-13,11.8,12.07,11.71,12.07,5269610
2018-03-14,12.19,12.22,11.99,11.99,4990260
2018-03-15,11.9,12.02,11.87,12,4764650
2018-03-16,12.07,12.59,12.05,12.53,14370650
2018-03-19,12.69,12.78,12.38,12.53,5351810
2018-03-20,12.35,12.75,12.35,12.55,5022610
2018-03-21,12.64,12.66,12.41,12.52,5884400
2018-03-22,12.63,12.64,12.31,12.32,6711150
2018-03-23,11.96,12.11,11.65,12.11,9963470
2018-03-26,12.01,12.32,11.99,12.29,4121060
2018-03-27,12.51,12.57,12.17,12.23,5638950
2018-03-28,12.1,12.23,12.01,12.07,3125890
2018-03-29,12.1,12.16,11.89,11.92,3861330
2018-03-30,11.97,11.99,11.68,11.92,4561950
2018-04-02,12.07,12.49,12.01,12.47,6731550
2018-04-03,12.47,13.02,12.38,12.91,12295680
2018-04-04,13.14,13.21,12.81,12.81,6024780
2018-04-05,12.91,12.95,12.72,12.81,4500600
2018-04-06,12.84,13.04,12.76,12.81,6142670
2018-04-09,12.84,13.54,12.81,13.54,9138680
2018-04-10,13.48,13.58,13.16,13.3,6851810
2018-04-11,13.33,13.36,12.75,12.78,8254090
2018-04-12,12.69,12.98,12.47,12.84,6199070
2018-04-13,13,13,12.57,12.63,3210960
2018-04-16,12.57,12.91,12.26,12.66,3355220
2018-04-17,12.69,12.84,12.51,12.84,2444350
2018-04-18,12.91,13,12.69,12.69,3774190
2018-04-19,12.53,12.72,12.37,12.41,5077900
2018-04-20,12.41,12.84,12.25,12.84,4445130
2018-04-23,12.81,12.88,11.96,11.96,5811840
2018-04-24,11.92,11.99,11.43,11.43,4821750
2018-04-26,11.43,11.45,10.64,10.64,10854440
2018-04-27,10.48,11.22,10.48,11,5390690
2018-05-02,11.1,11.15,10.6,10.64,3753890
2018-05-03,10.48,10.83,10,10.7,5248480
2018-05-04,10.86,10.89,10.43,10.48,2624670
2018-05-07,10.67,11.18,10.39,11.13,3820060
2018-05-08,11,11.26,10.95,10.95,3875690
2018-05-09,10.91,11.07,10.83,10.95,3990570
2018-05-10,10.86,10.92,10.39,10.48,3909990
2018-05-11,10.39,10.58,10.18,10.58,5007300
2018-05-14,10.7,10.83,10.52,10.7,3544440
2018-05-15,10.8,10.99,10.73,10.86,3927810
2018-05-16,10.73,10.86,10.46,10.55,3220940
2018-05-17,10.58,10.67,10.27,10.27,4449330
2018-05-18,10.39,10.45,9.79,10.09,4498370
2018-05-21,10.18,10.24,9.79,9.79,3716910
2018-05-22,9.47,9.85,9.12,9.18,7843100
2018-05-23,9.17,9.54,9.12,9.54,6944590
2018-05-24,9.47,9.61,9.28,9.31,2976910
2018-05-25,9.31,9.53,9.03,9.03,4587060
2018-05-28,9.03,9.03,8.4,8.4,9055430
2018-05-29,8.72,8.99,8.5,8.99,5068460
2018-05-30,8.93,9.33,8.93,9.15,5761840
2018-05-31,9.14,9.79,9.06,9.79,8063970
2018-06-01,9.79,10.06,9.73,9.89,9046480
2018-06-04,9.87,10.3,9.66,10.21,5630880
2018-06-05,10.16,10.26,9.97,10.24,6196020
2018-06-06,10.13,10.39,10.03,10.37,4421630
2018-06-07,10.39,10.42,10.18,10.19,5372030
2018-06-08,10.16,10.39,10.09,10.39,4475060
2018-06-11,10.22,10.67,10.21,10.42,4555630
2018-06-12,10.3,10.43,9.94,10.27,7677610
2018-06-13,10.3,10.39,10.21,10.38,3136880
2018-06-14,10.38,10.48,9.96,9.96,4628600
2018-06-15,9.94,10.24,9.82,10.24,3949840
2018-06-18,10.09,10.24,9.54,9.55,6435560
2018-06-19,9.21,9.47,8.9,9.47,9326040
2018-06-20,9.49,9.76,9.29,9.63,3487980
2018-06-21,9.49,9.57,9.33,9.45,3112150
2018-06-22,9.26,9.69,9.21,9.66,3531350
2018-06-25,9.85,9.85,9.66,9.68,2553490
2018-06-26,9.47,9.66,9.46,9.59,1802400
2018-06-27,9.59,9.69,9.08,9.08,3300080
2018-06-28,8.96,9.12,8.72,8.72,5743020
2018-06-29,8.74,8.93,8.62,8.72,2276350
2018-07-02,8.55,8.69,8.13,8.4,7545540
2018-07-03,8.47,8.52,7.89,7.89,6402640
2018-07-04,7.95,8.35,7.7,8.33,4230790
2018-07-05,8.25,8.36,7.82,8.21,3160930
2018-07-06,8.21,8.77,8.04,8.74,7565200
2018-07-09,8.76,8.86,8.43,8.5,3251740
2018-07-10,8.5,8.67,8.43,8.45,2492760
2018-07-11,8.12,8.21,7.89,7.95,5866130
2018-07-12,7.95,8.27,7.89,7.99,2497850
2018-07-13,8.19,8.4,8.02,8.4,3549250
2018-07-16,8.4,8.52,8.27,8.35,2512090
2018-07-17,8.25,8.53,8.18,8.5,3557820
2018-07-18,8.62,8.94,8.58,8.93,5804510
2018-07-19,8.86,8.99,8.77,8.84,3803880
2018-07-20,8.73,8.91,8.58,8.91,4836970
2018-07-23,8.8,8.93,8.61,8.61,4456950
2018-07-24,8.61,8.62,8.3,8.38,2972580
2018-07-25,8.38,8.5,8.11,8.11,2881830
2018-07-26,8.11,8.47,8.04,8.47,3738410
2018-07-27,8.53,8.65,8.45,8.53,2850300
2018-07-30,8.59,8.74,8.53,8.74,3994720
2018-07-31,8.74,8.93,8.62,8.84,7063700
2018-08-01,8.84,9.14,8.8,8.86,5047960
2018-08-02,8.74,8.97,8.65,8.97,4689220
2018-08-03,9.08,9.08,8.85,8.88,2786470
2018-08-06,8.84,8.93,8.69,8.74,2069160
2018-08-07,8.72,8.91,8.69,8.85,2260180
