date,open,high,low,close,volume
2018-06-04,15.79,16.19,15.79,15.79,2811840
2018-06-05,15.29,16.36,14.81,14.81,1357500
2018-06-06,14.65,14.81,14.03,14.19,1605480
2018-06-07,14.58,15.18,14.36,15.18,1376540
2018-06-08,15.58,16.23,15.35,16.23,2008500
2018-06-11,16.16,16.82,15.92,16.82,1229830
2018-06-12,16.66,16.66,15.87,16.19,1139130
2018-06-13,16.19,16.66,16.11,16.26,772670
2018-06-14,16.43,16.43,15.96,16.19,617130
2018-06-15,16.28,16.28,15.96,16.23,723460
2018-06-18,16.06,16.19,15.11,15.43,825810
2018-06-19,14.66,14.97,14.34,14.65,2092720
2018-06-20,14.65,14.89,14.36,14.68,554870
2018-06-21,14.71,14.71,14.39,14.68,497790
2018-06-22,14.66,14.66,14.44,14.65,328710
2018-06-25,14.81,14.97,14.76,14.79,918340
2018-06-26,14.56,14.73,14.53,14.65,493790
2018-06-27,14.43,14.65,14.43,14.44,394860
2018-06-28,14.34,14.43,13.65,14.23,1319230
2018-06-29,14.03,14.19,13.42,14.14,1583700
2018-07-02,14.16,14.16,13.42,13.56,669570
2018-07-03,13.5,13.61,12.61,12.61,2112230
2018-07-04,12.41,12.5,11.73,12.5,1102650
2018-07-05,13.35,13.35,12.5,13.03,1583450
2018-07-06,12.96,13.42,12.5,13.33,1160990
2018-07-09,13.42,13.51,12.89,13.18,631240
2018-07-10,13.18,13.18,12.73,12.79,549100
2018-07-11,12.54,12.54,11.92,11.92,1134570
2018-07-12,11.62,12.03,11.62,12.03,686180
2018-07-13,12.21,12.26,12.03,12.13,406500
2018-07-16,12.03,12.13,11.92,12.13,430160
2018-07-17,12.13,12.73,11.89,12.54,1174520
2018-07-18,12.73,13.18,12.63,12.94,1139340
2018-07-19,12.96,12.96,12.73,12.91,680430
2018-07-20,12.73,12.91,12.59,12.91,1473990
2018-07-23,12.63,12.89,12.31,12.31,878370
2018-07-24,12.5,12.73,12.17,12.21,1019120
2018-07-25,12.4,12.42,11.53,12.38,3348190
2018-07-26,12.03,12.14,11.8,11.94,645430
2018-07-27,11.94,12.13,11.85,12.02,1427670
2018-07-30,12.02,12.13,11.99,12.08,1438740
2018-07-31,12.1,12.91,12.03,12.86,4690660
2018-08-01,12.91,13.26,12.57,12.75,2060620
2018-08-02,12.63,13.18,12.5,13.18,3507500
2018-08-03,13.23,13.38,12.96,13.12,2418140
2018-08-06,12.96,13.1,12.86,12.96,1478320
2018-08-07,12.84,13.06,12.68,12.94,1670400
2018-08-08,13.03,13.03,12.68,12.84,1406450
2018-08-09,12.91,13.1,12.68,12.68,2342630
2018-08-10,12.68,12.81,12.21,12.59,2362660
2018-08-13,12.5,12.79,12.4,12.7,1369550
2018-08-14,12.73,12.73,12.5,12.59,850440
2018-08-15,12.5,12.59,12.26,12.26,1030610
2018-08-16,12.26,12.45,12.02,12.26,1576340
2018-08-17,12.26,12.45,12.26,12.26,691890
2018-08-20,12.36,12.36,11.99,12.26,847610
2018-08-21,12.26,12.34,12.14,12.26,904270
2018-08-22,12.36,12.68,12.29,12.34,1386850
2018-08-23,12.5,12.57,12.34,12.38,1031560
2018-08-24,12.38,12.47,12.26,12.31,817010
2018-08-27,12.31,12.42,12.26,12.26,1480540
2018-08-28,12.31,12.4,12.13,12.14,1630740
2018-08-29,12.14,12.19,12.08,12.1,778240
2018-08-30,12.1,12.17,12.05,12.17,887840
2018-08-31,12.17,12.42,12.17,12.17,1723040
2018-09-04,12.17,12.31,12.05,12.08,991610
2018-09-05,12.08,12.14,11.92,11.94,1052150
2018-09-06,11.94,11.99,11.48,11.48,2694080
2018-09-07,11.58,11.7,11.53,11.68,2154200
2018-09-10,11.75,11.8,11.58,11.8,1297720
2018-09-11,11.77,11.8,11.7,11.75,780150
2018-09-12,11.8,11.82,11.58,11.58,1460210
2018-09-13,11.58,11.75,11.58,11.66,1105010
2018-09-14,11.66,11.75,11.65,11.68,1343360
2018-09-17,11.68,12.5,11.65,12.05,2714630
