date,open,high,low,close,volume
2018-01-02,22.83,23.42,22.65,23.25,2801720
2018-01-03,23.46,23.55,23.03,23.21,1843870
2018-01-04,23.12,23.42,22.95,23.42,1990040
2018-01-05,23.29,23.29,22.78,22.83,2045200
2018-01-08,22.83,23.46,22.41,23.42,2071140
2018-01-09,23.68,24.73,23.03,24.73,2853160
2018-01-10,24.64,25.03,24.22,24.52,2842830
2018-01-11,24.3,24.86,24.17,24.86,1766240
2018-01-12,24.52,25.11,24.52,24.52,2525840
2018-01-15,24.52,25.36,24.09,25.36,2061850
2018-01-16,25.36,25.49,24.86,25.36,2218380
2018-01-17,23.76,25.33,23.76,23.76,2077670
2018-01-18,23.68,24.73,23.63,24.73,2845720
2018-01-19,24.77,25.96,24.64,25.78,2998270
2018-01-22,26.21,26.8,26.08,26.76,2300660
2018-01-25,27.69,28.62,26.96,28.62,4788340
2018-01-26,29.34,29.59,28.1,29.21,2617800
2018-01-29,29.59,30.23,28.66,28.75,2281360
2018-01-30,28.1,28.66,27.99,28.32,2818520
2018-01-31,28.32,29.13,27.99,28.15,1936300
2018-02-01,28.07,28.66,27.82,28.15,2166810
2018-02-02,28.53,28.53,28.15,28.49,1652660
2018-02-05,27.9,28.32,26.51,26.51,2687810
2018-02-06,24.69,26.63,24.69,26.21,6724710
2018-02-07,27.48,27.56,26.55,26.84,1635780
2018-02-08,26.47,26.84,26,26.59,855160
2018-02-09,24.73,26.34,24.73,25.74,2408810
2018-02-12,26.21,26.84,25.66,26.84,1847850
2018-02-13,27.18,27.43,26.88,27.05,1527780
2018-02-21,27.48,28.7,27.26,27.99,2132410
2018-02-22,27.73,28.49,27.65,28.23,2352100
2018-02-23,28.32,30.18,28.19,30.18,4825770
2018-02-26,31.41,31.41,30.18,30.4,3453290
2018-02-27,30.82,31.07,30.31,30.94,2249770
2018-02-28,30.48,31.7,30.44,31.19,3475320
2018-03-01,30.7,31.54,30.01,30.23,3615670
2018-03-02,29.59,30.44,29.59,30.36,2525210
2018-03-05,30.44,30.65,28.75,28.75,2914810
2018-03-06,29.17,30.23,28.62,30.09,3103920
2018-03-07,30.23,30.4,28.96,29.43,2277620
2018-03-08,29.43,29.75,29.09,29.38,1554260
2018-03-09,29.8,30.23,29.43,30.01,3236520
2018-03-12,30.44,31.02,30.23,30.44,2899140
2018-03-13,30.44,30.7,29.84,30.44,2146470
2018-03-14,30.7,31.41,30.7,31.19,4053460
2018-03-15,30.85,31.49,30.78,31.19,2111990
2018-03-16,31.49,31.83,31.32,31.58,5327050
2018-03-19,31.96,32.34,30.85,31.41,2803610
2018-03-20,30.98,31.66,30.98,31.28,1836040
2018-03-21,31.49,31.79,31.07,31.07,2952180
2018-03-22,31.28,31.28,30.44,30.44,3871380
2018-03-23,28.96,29.89,28.96,29.55,4563730
2018-03-26,29.59,30.4,29.43,30.4,1821910
2018-03-27,30.78,30.82,29.84,30.01,2322350
2018-03-28,29.55,30.14,29.5,29.8,1643300
2018-03-29,29.93,30.27,29.63,30.01,1457380
2018-03-30,30.01,30.18,29.67,29.8,1280140
2018-04-02,30.01,31.28,29.93,31.28,3055600
2018-04-03,31.28,31.83,31.07,31.41,3500060
2018-04-04,31.49,31.62,31.07,31.07,2089100
2018-04-05,31.19,31.28,30.7,31.07,1763710
2018-04-06,31.11,31.62,31.02,31.07,2346040
2018-04-09,31.07,31.41,31.07,31.19,2693260
2018-04-10,31.49,31.83,31.11,31.49,5026810
2018-04-11,31.58,31.62,29.59,30.09,3911130
2018-04-12,29.97,30.23,29.59,29.97,3262970
2018-04-13,30.14,30.18,28.53,28.7,5148440
2018-04-16,28.41,28.57,27.52,27.86,3992890
2018-04-17,27.9,28.32,27.69,28.32,2104840
2018-04-18,28.66,28.66,27.39,27.39,2005410
2018-04-19,27.22,27.26,25.78,25.78,4909820
2018-04-20,25.87,27.05,25.66,27.05,2996320
2018-04-23,27.26,27.39,25.2,25.2,2876760
2018-04-24,24.94,25.66,24.52,25.36,4451970
2018-04-26,25.36,25.91,24.52,24.6,4669710
2018-04-27,24.6,25.44,24.56,25.36,2940100
2018-05-02,25.62,25.78,24.43,24.6,2862030
2018-05-03,24.6,25.24,24.05,25.2,3451890
2018-05-04,25.44,25.66,24.9,24.94,3234250
2018-05-07,25.28,26.25,25.07,26.25,3511210
2018-05-08,25.91,26.29,25.78,25.78,2947160
2018-05-09,25.66,25.78,25.16,25.16,2787480
2018-05-10,25.33,25.44,23.5,23.89,4433980
2018-05-11,23.89,24.52,23.03,24.48,3954360
2018-05-14,24.6,24.73,24.05,24.64,1522180
2018-05-15,24.64,25.28,24.6,24.82,2498910
2018-05-16,24.73,24.9,24.09,24.09,2368960
2018-05-17,24.09,24.26,23.76,24.01,2079780
2018-05-18,24.05,24.13,23.16,23.89,2437850
2018-05-21,23.89,24.26,23.55,23.55,1835620
2018-05-22,23.21,23.46,21.98,22.58,3235250
2018-05-23,22.41,23.03,21.98,23.03,2045320
2018-05-24,23.03,23.16,22.41,22.54,1312180
2018-05-25,22.58,22.69,21.14,21.14,2718610
2018-05-28,20.71,20.97,19.79,19.79,4579370
2018-05-29,20.08,21.14,19.79,21.14,2610350
2018-05-30,21.56,22.32,21.35,21.98,4432950
2018-05-31,21.77,23.03,21.73,22.87,3736400
2018-06-01,22.87,24.3,22.78,24.09,5930650
2018-06-04,23.89,25.2,23.68,25.07,3837380
2018-06-05,24.77,25.2,24.39,24.77,3532580
2018-06-06,24.56,25.24,24.35,24.98,2183260
2018-06-07,24.94,25.07,24.69,24.82,2538580
2018-06-08,24.64,25.53,24.64,25.24,2693680
2018-06-11,25.11,25.49,24.73,24.94,2453150
2018-06-12,24.73,24.94,23.89,24.52,3024500
2018-06-13,24.35,25.33,24.35,25.33,2054850
2018-06-14,25.33,25.33,24.52,24.56,2814340
2018-06-15,24.3,24.94,24.26,24.94,2557670
2018-06-18,24.9,24.94,23.68,23.89,2461860
2018-06-19,23.03,23.89,22.83,23.89,5149160
