date,open,high,low,close,volume
2018-01-02,9.7,10.2,9.7,10.02,68220
2018-01-03,10.31,10.34,10.08,10.31,90850
2018-01-04,10.31,10.56,10.31,10.55,89260
2018-01-05,10.44,10.44,10.31,10.34,18410
2018-01-08,10.56,10.56,10.2,10.5,70280
2018-01-09,10.54,10.54,10.31,10.31,62300
2018-01-10,9.94,10.31,9.94,10.13,37420
2018-01-11,10.08,10.13,9.91,9.99,44770
2018-01-12,9.99,10.2,9.82,9.82,23320
2018-01-15,9.82,10.26,9.7,10.26,37820
2018-01-16,10.26,10.2,9.96,10.2,7170
2018-01-17,9.91,10.26,9.89,9.91,7450
2018-01-18,9.76,9.94,9.76,9.94,57370
2018-01-19,10.24,10.31,9.82,10.08,119870
2018-01-22,10.1,10.38,10.08,10.3,139000
2018-01-25,10.56,10.69,10.5,10.68,236670
2018-01-26,10.69,11.07,10.56,10.83,145910
2018-01-29,11.13,11.21,10.93,11.01,117340
2018-01-30,11.01,11.19,10.97,11.19,141700
2018-01-31,11.18,11.31,10.72,11.19,88890
2018-02-01,11.18,11.18,10.81,10.81,45110
2018-02-02,10.81,10.93,10.69,10.84,50580
2018-02-05,10.84,10.84,10.2,10.2,168970
2018-02-06,9.49,9.82,9.49,9.51,272110
2018-02-07,9.7,10.13,9.7,9.94,257290
2018-02-08,9.94,10.01,9.82,9.94,47560
2018-02-09,9.27,9.94,9.27,9.94,117500
2018-02-12,10.13,10.13,9.82,9.94,142090
2018-02-13,9.94,9.97,9.88,9.89,61490
2018-02-21,9.88,10.56,9.7,10.08,165030
2018-02-22,10.2,10.44,10.16,10.2,52890
2018-02-23,10.44,10.81,10.2,10.2,5810
2018-02-26,10.2,10.55,10.11,10.31,119440
2018-02-27,10.31,10.31,10.22,10.31,38930
2018-02-28,10.08,10.81,10.08,10.72,243680
2018-03-01,10.99,10.99,10.69,10.81,55220
2018-03-02,10.81,11.31,10.56,11.19,170260
2018-03-05,11.19,11.44,11.07,11.27,263310
2018-03-06,10.94,11.22,10.94,11.21,91200
2018-03-07,11.31,11.31,11.19,11.21,51100
2018-03-08,11.21,11.8,10.99,11.33,86650
2018-03-09,11.33,11.56,11.22,11.22,57200
2018-03-12,11.22,11.44,11.19,11.25,45540
2018-03-13,11.19,11.26,10.93,11.26,21580
2018-03-14,11.26,11.26,11.02,11.08,180520
2018-03-15,11.04,11.19,11.04,11.08,144490
2018-03-16,11.08,11.84,11.07,11.84,228710
2018-03-19,11.94,12.51,11.94,12.5,163160
2018-03-20,12.06,12.62,12.06,12.5,86090
2018-03-21,12.55,13.31,12.5,12.93,104940
2018-03-22,13.31,13.31,12.93,13.25,195930
2018-03-23,12.44,13.36,12.44,13.3,178710
2018-03-26,13.3,13.54,13.3,13.36,17860
2018-03-27,13.42,13.42,13.05,13.05,51350
2018-03-28,13.09,13.42,13.09,13.42,28650
2018-03-29,13.42,13.42,13.31,13.41,51330
2018-03-30,13.42,13.44,13.31,13.42,311980
2018-04-02,13.42,14.36,13.42,14.36,388350
2018-04-03,14.91,14.91,14.42,14.55,119770
2018-04-04,14.91,14.91,14.48,14.53,77130
2018-04-05,14.8,14.8,14.5,14.55,60750
2018-04-06,14.42,14.9,14.42,14.66,37510
2018-04-09,14.45,14.86,14.42,14.42,52410
2018-04-10,14.31,14.55,14.3,14.3,143720
2018-04-11,14.3,14.6,13.85,13.92,40190
2018-04-12,13.54,13.92,13.49,13.92,103180
2018-04-13,13.8,14.17,13.31,13.44,150660
2018-04-16,13.64,13.74,13.4,13.4,130290
2018-04-17,13.4,13.8,13.4,13.57,216970
2018-04-18,13.54,13.68,13.42,13.47,181010
2018-04-19,13.47,13.47,13,13.18,203350
2018-04-20,13.08,13.18,12.94,13.06,260920
2018-04-23,13.09,13.09,12.16,12.18,220600
2018-04-24,12.18,12.18,11.56,11.8,218100
2018-04-26,11.8,11.94,11.01,11.01,87340
2018-04-27,11.01,11.56,10.99,11.56,146570
2018-05-02,11.56,11.56,11.31,11.31,55060
2018-05-03,11.31,11.56,10.69,11.44,303310
2018-05-04,11.68,11.68,11.29,11.61,250050
2018-05-07,11.74,11.94,11.56,11.94,63890
2018-05-08,11.75,12.58,11.75,12.44,153750
2018-05-09,12.18,13.01,12.18,12.8,137090
2018-05-10,12.8,12.8,12.47,12.68,120280
2018-05-11,12.68,12.68,11.94,12.68,155050
2018-05-14,12.93,12.93,12.44,12.62,24920
2018-05-15,12.6,12.77,12.44,12.68,55090
2018-05-16,12.68,12.68,12.44,12.44,35420
2018-05-17,12.25,12.44,12.13,12.13,78360
2018-05-18,11.83,12.44,11.83,12.44,65020
2018-05-21,12.44,12.44,12.31,12.33,13050
2018-05-22,12.18,12.18,11.48,11.5,114020
2018-05-23,11.21,11.56,11.07,11.19,65300
2018-05-24,11.61,11.61,11.19,11.56,11260
2018-05-25,11.26,11.56,11.1,11.39,35780
2018-05-28,11.07,11.26,10.59,10.59,155580
2018-05-29,10.33,11.05,9.86,10.59,287680
2018-05-30,10.59,10.93,10.08,10.93,60970
2018-05-31,10.63,11.07,10.56,11.07,42390
2018-06-01,10.71,11.31,10.71,11.31,120080
2018-06-04,11.31,11.56,11.3,11.44,75600
2018-06-05,11.44,11.5,11.31,11.47,43740
2018-06-06,11.47,11.61,11.47,11.47,29630
2018-06-07,11.55,11.56,11.44,11.45,75700
2018-06-08,11.31,11.48,11.26,11.45,40030
2018-06-11,11.21,11.62,11.21,11.58,100570
2018-06-12,11.39,11.44,10.99,11.19,52130
2018-06-13,11.19,11.36,11.13,11.36,12410
2018-06-14,11.43,11.62,11.31,11.62,140000
2018-06-15,11.94,11.94,11.62,11.68,51510
2018-06-18,11.56,11.56,11.07,11.07,40190
2018-06-19,10.56,10.91,10.3,10.3,370130
2018-06-20,10.44,10.44,9.94,10.37,182660
2018-06-21,10.1,10.31,10.1,10.31,29610
2018-06-22,10.31,10.66,10.26,10.66,32680
2018-06-25,10.66,10.69,10.44,10.69,100900
2018-06-26,10.56,10.69,10.44,10.68,48740
2018-06-27,10.66,10.69,10.5,10.5,50420
2018-06-28,10.26,10.44,10.11,10.2,72530
2018-06-29,10.2,10.63,10.15,10.26,11440
2018-07-02,10.26,10.26,9.55,9.55,75060
2018-07-03,9.57,9.6,8.88,8.88,237600
2018-07-04,8.88,9.31,8.83,9.27,181040
2018-07-05,9.03,9.52,9.03,9.52,113150
2018-07-06,9.52,9.52,9.24,9.4,121660
2018-07-09,9.4,9.82,9.33,9.45,196590
2018-07-10,9.85,9.85,9.35,9.51,256320
2018-07-11,9.51,9.51,8.88,9.35,98900
2018-07-12,8.96,9.35,8.92,9.02,4800
2018-07-13,8.83,9.04,8.83,8.94,40380
2018-07-16,9.01,9.18,8.92,8.92,8100
2018-07-17,8.83,9.09,8.83,9.08,84210
2018-07-18,9.08,9.27,8.96,9.27,114160
2018-07-19,9.27,9.9,9.27,9.9,184080
2018-07-20,9.9,9.9,9.35,9.69,25010
2018-07-23,9.38,9.77,9.35,9.35,79060
2018-07-24,9.35,9.44,8.98,9.18,77940
2018-07-25,9.18,9.4,9.04,9.04,67170
2018-07-26,9.27,9.27,8.94,8.94,8660
2018-07-27,9.01,9.24,9.01,9.21,38670
2018-07-30,9.51,9.7,9.35,9.69,121450
2018-07-31,9.69,9.77,9.35,9.69,98110
2018-08-01,9.63,9.65,9.44,9.51,26090
2018-08-02,9.37,9.56,9.35,9.41,63530
2018-08-03,9.51,9.65,9.4,9.49,22330
2018-08-06,9.51,9.51,9.35,9.35,17440
2018-08-07,9.47,9.47,9.2,9.27,29340
2018-08-08,9.35,9.37,9.18,9.28,40210
2018-08-09,9.41,9.65,9.41,9.51,103310
2018-08-10,9.51,9.77,9.47,9.6,218220
2018-08-13,9.6,10.03,9.6,10.03,210370
2018-08-14,10.19,10.53,10.05,10.53,121080
2018-08-15,10.25,10.36,10.03,10.03,88150
2018-08-16,9.85,10.17,9.77,10.05,228920
2018-08-17,10.11,10.33,10.03,10.03,113620
2018-08-20,9.94,10.11,9.94,9.94,40830
2018-08-21,9.94,10.06,9.77,10.06,87690
2018-08-22,10.2,10.22,9.94,10.11,166340
2018-08-23,10.11,10.2,10.06,10.11,211120
2018-08-24,10.11,10.24,10.03,10.17,197010
2018-08-27,10.36,10.45,10.2,10.28,267920
2018-08-28,10.49,10.49,10.28,10.4,124920
2018-08-29,10.35,10.53,10.31,10.45,256440
2018-08-30,10.45,10.86,10.4,10.86,341330
2018-08-31,10.76,10.88,10.71,10.74,79800
2018-09-04,10.71,10.71,10.4,10.41,122140
2018-09-05,10.43,10.43,10.11,10.15,141250
2018-09-06,10.13,10.2,10.11,10.15,73200
2018-09-07,10.15,10.38,10.15,10.24,28970
2018-09-10,10.24,10.24,10.03,10.24,42190
2018-09-11,10.2,10.53,10.2,10.47,159170
2018-09-12,10.47,10.6,10.43,10.45,62240
2018-09-13,10.36,10.49,10.31,10.31,69910
2018-09-14,10.31,10.53,10.31,10.45,306240
2018-09-17,10.45,10.49,10.31,10.35,57450
2018-09-18,10.35,10.41,10.2,10.36,187590
2018-09-19,10.36,10.67,10.36,10.6,407400
2018-09-20,10.56,10.83,10.56,10.8,281280
2018-09-21,10.8,11.13,10.8,10.99,601270
2018-09-24,11.05,11.11,10.88,10.88,181890
2018-09-25,10.88,10.9,10.8,10.84,149590
2018-09-26,10.8,11.02,10.8,10.88,164310
2018-09-27,10.92,11.02,10.84,10.89,168450
2018-09-28,10.89,11.1,10.89,11.01,227330
2018-10-01,11.01,11.13,10.8,10.9,163200
2018-10-02,10.9,11.3,10.8,11.01,297070
2018-10-03,11.01,11.19,11.01,11.11,92230
2018-10-04,11.19,11.36,11.13,11.29,160050
2018-10-05,11.2,11.52,11.2,11.22,281120
2018-10-08,11.13,11.2,10.94,10.94,89790
2018-10-09,10.94,11.08,10.89,10.89,94070
2018-10-10,10.9,11.05,10.84,10.88,114680
2018-10-11,10.33,10.63,10.15,10.15,389730
2018-10-12,9.62,10.49,9.62,10.36,208410
2018-10-15,10.53,10.53,10.22,10.33,61260
2018-10-16,10.33,10.35,10.25,10.33,70490
2018-10-17,10.43,10.49,10.35,10.4,97690
2018-10-18,10.22,10.4,10.11,10.3,80580
2018-10-19,10.05,10.3,10.05,10.25,57810
2018-10-22,10.2,10.2,9.85,9.85,179130
2018-10-23,9.85,9.89,9.35,9.51,122290
2018-10-24,9.69,9.69,9.35,9.35,106800
2018-10-25,8.74,9.01,8.74,8.96,123670
2018-10-26,9.01,9.05,8.34,8.34,210510
2018-10-29,8.19,8.67,8.19,8.49,221180
2018-10-30,8.29,8.7,8.19,8.65,118040
2018-10-31,8.74,8.88,8.7,8.88,67130
2018-11-01,9.01,9.04,8.88,8.96,169360
2018-11-02,9.01,9.18,8.96,9.18,147720
2018-11-05,9.33,9.33,8.92,9.18,45100
2018-11-06,9.18,9.31,9.18,9.3,26870
2018-11-07,9.33,9.33,9.08,9.18,68380
2018-11-08,9.23,9.35,9.18,9.18,32150
2018-11-09,9.16,9.16,8.96,8.96,46390
2018-11-12,8.67,9.09,8.67,9.09,64490
2018-11-13,9.01,9.01,8.7,8.88,13310
2018-11-14,8.83,8.91,8.77,8.83,15250
2018-11-15,8.8,8.81,8.24,8.36,169270
2018-11-16,8.56,8.65,8.46,8.48,44050
2018-11-19,8.58,8.58,8.49,8.52,18820
2018-11-20,8.36,8.49,7.99,8.33,170310
2018-11-21,8.39,8.39,8.27,8.39,60680
2018-11-22,8.49,8.65,8.44,8.65,121530
2018-11-23,8.67,8.69,8.6,8.61,60920
2018-11-26,8.61,8.65,8.58,8.63,24840
2018-11-27,8.79,8.79,8.75,8.75,143790
2018-11-28,8.75,8.77,8.49,8.65,49190
2018-11-29,8.72,8.81,8.6,8.65,25660
2018-11-30,8.65,8.8,8.36,8.36,302870
