date,open,high,low,close,volume
2018-05-17,62.03,62.03,62.03,62.03,18000
2018-05-18,62.03,62.03,62.03,62.03,0
2018-05-21,62.03,62.03,62.03,62.03,0
2018-05-22,66.36,66.36,66.36,66.36,20
2018-05-23,64.28,64.28,61.75,61.92,4839580
2018-05-24,62.21,64.45,61.81,64.28,1937240
2018-05-25,64.45,67.31,64.28,65.96,1749720
2018-05-28,62.31,66.24,62.31,65.68,2944740
2018-05-29,65.68,65.8,63.5,65.13,884320
2018-05-30,65.13,65.68,63.44,65.68,2448260
2018-05-31,65.68,65.96,64.61,64.61,1178690
2018-06-01,64.61,65.96,64.28,65.4,814870
2018-06-04,65.13,66.19,64.85,66.19,1762630
2018-06-05,66.19,66.81,65.68,66.24,1229890
2018-06-06,65.96,67.87,65.68,67.37,712230
2018-06-07,68.5,68.5,62.65,67.37,1167210
2018-06-08,67.37,67.87,65.96,67.37,462940
2018-06-11,67.82,67.82,66.81,67.37,425790
2018-06-12,67.37,67.37,65.68,66.24,816310
2018-06-13,66.24,66.47,66.02,66.24,289590
2018-06-14,66.24,66.53,65.29,65.68,624230
2018-06-15,66.08,66.08,65.4,65.4,213150
2018-06-18,65.4,66.24,65.13,65.4,626280
2018-06-19,65.4,65.4,64.39,64.57,770730
2018-06-20,60.13,65.13,60.13,64.57,613980
2018-06-21,64.57,64.61,64,64.57,117280
2018-06-22,64.57,64.57,64,64.11,83230
2018-06-25,64.11,65.07,64.11,64.85,214260
2018-06-26,64.85,64.85,64.06,64.57,112440
2018-06-27,63.16,64.06,61.75,61.75,305740
2018-06-28,61.75,63.44,60.63,61.75,185920
2018-06-29,63.44,63.44,60.92,63.1,321730
2018-07-02,63.16,63.16,61.75,62.49,456190
2018-07-03,62.49,62.49,58.16,58.16,165430
2018-07-04,57.32,62.21,57.32,62.21,1358170
2018-07-05,62.21,64.57,62.21,64,1208630
2018-07-06,62.59,63.94,62.59,63.16,497040
2018-07-09,63.16,63.66,63.16,63.32,134390
2018-07-10,63.27,63.32,60.92,62.31,298180
2018-07-11,61.75,62.31,60.63,61.59,86370
2018-07-12,61.59,62.21,60.63,61.75,113470
2018-07-13,60.24,62.31,60.24,61.36,57420
2018-07-16,62.03,62.03,59.51,59.51,93750
2018-07-17,61.2,62.31,59.51,59.51,410540
