date,open,high,low,close,volume
2018-01-02,3.61,3.66,3.61,3.65,853480
2018-01-03,3.65,3.73,3.63,3.66,1970320
2018-01-04,3.66,3.71,3.65,3.7,1219660
2018-01-05,3.7,3.71,3.57,3.59,1379580
2018-01-08,3.56,3.71,3.52,3.7,1808380
2018-01-09,3.82,3.82,3.69,3.75,1106020
2018-01-10,3.77,3.8,3.71,3.76,1382780
2018-01-11,3.74,3.76,3.66,3.72,1260720
2018-01-12,3.78,3.85,3.74,3.78,1730170
2018-01-15,3.78,3.89,3.74,3.86,1273740
2018-01-16,3.86,3.89,3.82,3.86,1077350
2018-01-17,3.65,3.89,3.65,3.65,1715210
2018-01-18,3.57,3.76,3.52,3.76,1559030
2018-01-19,3.78,3.84,3.76,3.79,928770
2018-01-22,3.85,3.98,3.84,3.92,2150450
2018-01-25,3.98,4.11,3.93,4.03,2880520
2018-01-26,4.11,4.11,3.95,4,1699100
2018-01-29,4.02,4.18,3.99,4.08,1544710
2018-01-30,4.02,4.33,4.01,4.33,1608010
2018-01-31,4.37,4.42,4.11,4.11,1883150
2018-02-01,4.11,4.15,3.85,3.87,2939860
2018-02-02,3.9,3.97,3.78,3.97,1700670
2018-02-05,3.85,3.9,3.69,3.69,2150120
2018-02-06,3.44,3.69,3.44,3.61,3129690
2018-02-07,3.76,3.85,3.76,3.85,1985120
2018-02-08,3.84,3.99,3.79,3.84,943260
2018-02-09,3.61,3.9,3.61,3.9,1050600
2018-02-12,4.01,4.03,3.92,4.03,929580
2018-02-13,4.06,4.13,4.03,4.04,1012090
2018-02-21,4.11,4.19,4.08,4.17,1377960
2018-02-22,4.11,4.16,3.99,4.03,1245400
2018-02-23,4.08,4.11,3.98,4.1,1553330
2018-02-26,4.16,4.37,4.16,4.31,3895800
2018-02-27,4.51,4.59,4.41,4.59,3592350
2018-02-28,4.52,4.9,4.47,4.8,1646510
2018-03-01,4.7,4.84,4.59,4.71,1876060
2018-03-02,4.59,4.73,4.59,4.68,1360260
2018-03-05,4.74,4.76,4.35,4.35,2011650
2018-03-06,4.47,4.66,4.36,4.66,1450870
2018-03-07,4.76,4.98,4.74,4.85,3765060
2018-03-08,4.85,4.93,4.78,4.85,830950
2018-03-09,4.95,5.01,4.84,4.85,1459510
2018-03-12,4.91,4.91,4.76,4.77,948240
2018-03-13,4.83,4.85,4.76,4.84,850470
2018-03-14,4.93,5.05,4.93,5.02,2095390
2018-03-15,5.02,5.16,4.99,5.16,1905300
2018-03-16,5.16,5.21,5.1,5.15,2808720
