date,open,high,low,close,volume
2018-01-02,97.57,97.98,96.47,97.79,372760
2018-01-03,98.74,99.41,98.07,98.9,557370
2018-01-04,98.54,99.41,98.54,99.32,704350
2018-01-05,98.95,99.41,98.27,98.74,518860
2018-01-08,98.5,98.5,96.42,97.1,674800
2018-01-09,97.15,98.03,95.48,95.71,810590
2018-01-10,94.89,97.57,94.89,97.57,902750
2018-01-11,98.03,98.03,96.69,97.1,794780
2018-01-12,97.05,97.57,96.77,97.05,585640
2018-01-15,96.63,96.88,96.19,96.42,405160
2018-01-16,96.31,96.42,95.79,96.31,701460
2018-01-17,92.99,96.19,92.47,92.99,891480
2018-01-18,92.47,95.06,92.24,95.06,921800
2018-01-19,95.44,96.82,95.06,95.06,1094050
2018-01-22,95.71,97.88,95.25,97.83,1031780
2018-01-25,96.63,97.93,95.71,95.71,1059420
2018-01-26,95.75,98.11,95.75,97.93,672410
2018-01-29,97.93,98.03,95.48,95.48,573230
2018-01-30,94.32,94.78,93.82,94.55,843170
2018-01-31,93.59,95.96,92.99,94.11,1120270
2018-02-01,94.32,95.52,92.94,93.86,451270
2018-02-02,93.16,95.71,93.16,95.71,677340
2018-02-05,93.64,94.78,93.25,93.92,504920
2018-02-06,88.78,93.4,87.62,91.52,1484810
2018-02-07,94.23,94.23,92.57,92.62,507670
2018-02-08,92.47,92.62,90.8,91.12,234230
2018-02-09,87.85,88.78,86.46,88.33,856530
2018-02-12,87.4,88.78,87.4,88.78,970250
2018-02-13,88.78,90.17,88.78,89.48,541650
2018-02-21,91.52,93.96,89.7,93.96,649890
2018-02-22,93.96,93.96,92.05,92.94,449840
2018-02-23,93.86,94.11,92,93.4,481780
2018-02-26,93.4,94.32,92.47,92.47,889620
2018-02-27,93.4,93.4,91.56,92.47,457260
2018-02-28,92,92.3,90.64,90.64,886780
2018-03-01,90.64,92,90.64,90.64,732890
2018-03-02,90.64,92.24,90.17,92.15,412780
2018-03-05,92.38,94.78,91.78,93.59,712070
2018-03-06,93.59,94.11,92.1,93.4,786240
2018-03-07,92.99,97.1,92.99,95.3,1981110
2018-03-08,95.71,96.77,95.71,96.63,592410
2018-03-09,96.63,97.38,96.19,96.19,1021150
2018-03-12,96.42,97.44,95.25,95.25,828230
2018-03-13,95.25,97.57,95.25,97.1,1265790
2018-03-14,97.1,98.95,96.72,98.5,1133180
2018-03-15,98.5,98.5,97.01,97.19,623080
2018-03-16,97.57,98.95,96.63,98.95,1730500
2018-03-19,99.17,99.17,97.33,98.03,801280
2018-03-20,98.03,98.03,96.63,96.63,684730
2018-03-21,96.63,97.6,96.63,96.63,907550
2018-03-22,97.98,97.98,96.63,96.63,478650
2018-03-23,95.3,96.19,94.84,95.71,685220
2018-03-26,95.71,97.33,95.52,96.42,643500
2018-03-27,97.1,99.27,96.63,98.5,1660410
2018-03-28,98.5,98.95,97.57,97.57,585030
