date,open,high,low,close,volume
2018-01-02,8.14,8.69,8.14,8.58,6973030
2018-01-03,8.7,8.79,8.55,8.59,2393590
2018-01-04,8.59,8.91,8.59,8.89,3127720
2018-01-05,8.89,8.89,8.61,8.79,2611280
2018-01-08,8.79,9.22,8.73,9.21,2758530
2018-01-09,9.3,9.5,8.91,9.49,4813410
2018-01-10,9.52,9.62,9.39,9.51,4193390
2018-01-11,9.37,9.65,9.35,9.65,2838750
2018-01-12,9.33,9.7,9.27,9.33,6034390
2018-01-15,9.34,9.58,9.29,9.51,2849090
2018-01-16,9.41,9.5,9.23,9.41,4223700
2018-01-17,9.3,9.57,9.28,9.3,2524920
2018-01-18,9.27,9.51,9.22,9.51,3113930
2018-01-19,9.51,9.92,9.51,9.55,8250800
2018-01-22,9.55,9.83,9.55,9.76,3111950
2018-01-25,9.9,10.42,9.83,10.38,11483030
2018-01-26,10.4,10.58,10.26,10.31,5418010
2018-01-29,10.42,10.7,10.29,10.32,5001720
2018-01-30,10.23,10.47,10.06,10.47,5259520
2018-01-31,10.5,10.71,10.47,10.56,3541550
2018-02-01,10.6,10.6,10.26,10.34,2796590
2018-02-02,10.36,10.73,10.26,10.73,2864340
2018-02-05,10.62,10.71,10.06,10.2,4065630
2018-02-06,9.49,10.2,9.49,9.79,8073980
2018-02-07,10.31,10.45,10.18,10.38,5853500
2018-02-08,10.32,10.42,10.2,10.31,2316740
2018-02-09,9.7,10.47,9.7,10.4,3999330
2018-02-12,10.56,10.94,10.5,10.94,6359690
2018-02-13,11.27,11.27,11,11.19,2396320
2018-02-21,11.39,11.71,11.34,11.56,3471230
2018-02-22,11.49,11.62,11.19,11.31,4165830
2018-02-23,11.38,11.59,11.25,11.59,3038950
2018-02-26,11.69,11.75,11.45,11.47,4344350
2018-02-27,11.56,11.74,11.45,11.67,3264320
2018-02-28,11.67,11.96,11.56,11.8,3332900
2018-03-01,11.69,11.87,11.6,11.74,2350810
2018-03-02,11.59,12.29,11.55,12.26,5712090
2018-03-05,12.38,12.5,11.59,11.59,3519210
2018-03-06,11.91,12.24,11.75,12.24,4033390
2018-03-07,12.56,12.58,12.07,12.29,5083980
2018-03-08,12.38,12.89,12.29,12.89,5430240
