date,FPT,CMG,VCB,BID,CTG,TCB,MBB,ACB,VPB,STB,VIC,VHM,KDH,NLG,HPG,HSG,NKG,MWG,VNM,MSN,PNJ,SSI,VND,HCM,VCI,GAS,POW,PLX,VJC,DGC
2020-05-11,19.25,11.78,32.18,21.72,9.73,9.35,4.89,5.39,7.72,9.69,43.33,52.19,12.39,15.71,7.38,4.23,3.09,26.8,64.15,51.1,26.46,5.39,2.24,6.21,3.71,45.25,8.0,37.37,91.23,8.16
2020-05-13,20.61,12.19,32.66,22.34,9.91,9.53,5.1,5.39,7.66,9.96,42.22,50.7,13.35,16.39,7.43,4.85,3.38,26.46,67.23,50.13,28.78,5.36,2.28,6.13,3.85,44.87,8.12,38.5,88.38,8.56
2020-05-15,20.04,12.02,32.83,21.78,9.57,9.37,4.94,5.39,7.64,9.8,43.11,50.83,12.77,16.09,7.24,4.74,3.25,25.9,65.52,50.29,27.49,5.32,2.26,6.27,4.07,43.94,7.88,37.53,87.69,8.77
2020-05-18,20.2,11.81,33.91,21.95,9.78,9.56,4.96,5.42,8.04,9.73,42.88,51.06,12.65,15.64,7.73,5.07,3.38,26.96,65.69,50.62,28.15,5.39,2.27,6.36,4.24,45.55,7.96,38.26,87.69,8.94
2020-05-19,20.57,11.81,34.12,22.06,10.21,9.85,5.07,5.52,8.01,9.9,42.88,51.97,13.0,15.9,8.05,5.2,3.39,27.5,66.57,51.01,28.51,5.46,2.31,6.36,4.33,46.36,8.04,39.47,88.38,8.91
2020-05-20,20.41,11.71,34.39,22.08,10.21,9.75,5.04,5.52,7.88,10.4,42.93,54.74,12.87,15.78,8.15,5.12,3.34,27.28,67.41,51.67,28.37,5.46,2.31,6.29,4.26,45.98,8.04,39.52,87.46,9.08
2020-05-21,20.6,11.71,35.07,22.39,10.51,10.18,5.13,5.57,7.91,10.5,43.55,55.38,12.77,15.71,8.16,4.97,3.32,27.44,67.99,51.67,28.37,5.47,2.29,6.29,4.12,46.49,8.04,39.65,88.46,9.08
2020-05-25,20.24,11.69,35.03,22.37,10.56,9.75,5.04,5.63,7.68,10.25,43.15,54.53,12.59,15.32,8.41,5.25,3.58,27.15,69.53,50.05,28.37,5.55,2.39,6.46,4.14,45.67,8.04,39.1,87.0,9.28
2020-05-26,20.38,11.65,35.64,23.7,10.61,9.79,5.13,5.8,7.74,10.4,43.06,54.24,12.79,15.71,8.74,5.3,3.6,27.28,69.53,50.62,28.46,5.86,2.49,6.77,4.24,46.41,8.36,39.55,86.92,9.42
2020-05-28,20.04,11.56,36.5,22.95,10.33,9.68,5.04,5.69,7.41,10.3,43.11,53.25,12.62,15.53,8.37,5.45,3.58,26.71,67.89,50.86,27.8,5.66,2.4,6.43,4.13,45.8,8.2,39.47,87.15,10.35
2020-06-01,20.17,11.54,37.37,23.38,10.76,9.85,5.19,6.24,7.86,10.75,43.2,56.16,12.91,15.67,8.52,5.42,3.7,27.12,68.64,51.1,28.33,5.79,2.46,6.64,4.16,46.67,8.24,39.05,87.15,11.03
2020-06-02,20.04,11.5,37.41,22.88,10.74,9.79,5.22,6.17,7.72,10.5,42.97,55.25,12.91,15.67,8.33,5.25,3.65,26.9,68.59,51.75,28.02,5.74,2.44,6.47,4.21,47.35,8.28,39.14,88.23,10.94
2020-06-03,20.32,11.56,37.97,23.13,10.99,9.88,5.25,6.34,7.78,10.65,43.02,55.31,13.46,15.71,8.29,5.33,3.64,26.93,68.95,51.83,28.11,5.79,2.45,6.55,4.18,48.33,8.36,39.39,87.54,10.73
2020-06-04,20.21,11.69,38.45,23.58,11.29,9.8,5.24,6.29,7.68,10.6,42.66,55.02,13.35,16.16,8.19,5.32,3.59,26.96,69.66,51.42,28.23,5.98,2.58,6.71,4.46,48.33,8.36,39.78,87.92,11.24
2020-06-05,20.34,11.69,38.45,23.76,11.19,9.92,5.22,6.27,7.85,10.55,42.22,54.89,13.55,16.44,8.33,5.68,3.74,27.15,70.48,51.01,28.23,5.98,2.6,6.81,4.46,47.72,8.32,39.65,87.92,11.67
2020-06-08,20.61,12.49,38.62,24.82,11.4,10.05,5.28,6.32,7.83,10.7,42.66,55.25,13.86,16.44,8.54,6.06,3.86,28.41,72.59,51.34,29.31,6.12,2.64,7.06,4.52,48.96,8.44,40.48,88.46,11.7
2020-06-09,20.44,13.05,38.66,24.46,11.08,9.97,5.28,6.34,7.72,10.75,42.75,55.1,13.64,16.48,8.35,6.06,3.91,27.97,73.9,51.01,29.04,6.04,2.59,7.05,4.4,48.59,8.71,40.15,90.62,11.5
