date,spot,fut
2020-05-11,777.13,762.2
2020-05-13,783.69,770.3
2020-05-18,770.92,788.0
2020-05-19,799.31,799.5
2020-05-21,805.42,864.0
2020-05-25,807.01,782.0
2020-05-28,804.71,790.0
2020-06-01,813.66,811.0
2020-06-02,823.66,808.1
2020-06-03,824.11,819.0
2020-06-04,824.29,815.0
2020-06-05,825.52,825.0
2020-06-08,839.99,836.5
2020-06-09,837.02,827.0
2020-06-10,839.5,839.3
2020-06-11,812.39,795.0
2020-06-12,803.66,805.0
2020-06-15,781.11,775.0
2020-06-16,798.88,798.0
2020-06-17,797.54,800.7
2020-06-18,799.53,797.1
2020-06-19,808.28,798.6
2020-06-22,809.97,797.9
2020-06-23,807.61,796.0
2020-06-24,801.62,785.0
2020-06-25,796.51,781.0
2020-06-26,795.53,778.1
2020-06-29,774.81,763.0
2020-06-30,770.53,752.5
2020-07-01,786.82,768.6
2020-07-02,785.59,773.0
2020-07-03,789.45,773.8
2020-07-06,803.46,798.3
2020-07-07,805.68,794.0
2020-07-08,805.06,802.1
2020-07-09,814.69,810.0
2020-07-10,809.02,803.7
2020-07-13,811.32,811.8
2020-07-14,800.57,798.7
2020-07-15,812.62,815.0
2020-07-21,804.7,805.0
2020-07-22,797.85,792.0
2020-07-23,800.29,797.1
2020-07-24,772.29,765.0
2020-07-27,729.93,711.6
2020-07-28,756.17,741.7
2020-07-29,731.14,720.7
2020-07-30,746.02,730.2
2020-07-31,740.73,725.0
2020-08-03,757.86,742.0
2020-08-04,768.22,762.0
2020-08-05,780.71,777.5
2020-08-06,781.6,776.0
2020-08-07,782.15,780.6
2020-08-10,784.3,782.4
2020-08-11,784.57,787.0
2020-08-12,788.42,791.0
2020-08-13,795.09,798.3
2020-08-14,791.98,793.5
2020-08-17,791.54,792.5
2020-08-18,786.95,788.0
2020-08-19,791.2,793.0
2020-08-26,812.36,813.2
2020-08-27,814.55,819.0
2020-08-28,821.93,823.0
2020-08-31,823.93,824.1
2020-09-01,832.03,837.4
2020-09-03,843.64,850.0
2020-09-04,840.54,844.8
2020-09-07,824.36,821.7
2020-09-08,827.57,829.5
2020-09-09,824.42,830.0
2020-09-10,825.85,823.5
2020-09-11,825.18,827.9
2020-09-16,834.5,834.6
2020-09-17,836.04,831.0
2020-09-21,849.88,848.0
2020-09-22,852.72,850.0
2020-09-23,858.3,854.1
2020-09-24,853.21,853.1
2020-09-25,854.71,854.9
2020-09-29,856.2,854.1
2020-09-30,858.54,859.8
2020-10-01,867.58,867.0
2020-10-02,861.51,861.5
2020-10-05,867.7,868.8
2020-10-06,871.37,867.7
2020-10-07,870.85,867.0
2020-10-08,868.6,868.7
2020-10-09,874.53,871.6
2020-10-12,874.9,875.0
2020-10-13,878.35,876.4
2020-10-14,892.15,894.8
2020-10-15,899.2,899.2
2020-10-16,901.59,895.1
2020-10-19,903.51,903.4
2020-10-20,903.13,911.2
2020-10-21,906.1,908.5
2020-10-22,918.3,924.0
2020-10-23,930.3,935.0
2020-10-26,919.56,927.0
2020-10-27,915.46,920.0
2020-10-28,888.88,895.9
2020-10-29,888.21,887.5
2020-10-30,892.55,896.6
2020-11-02,899.27,904.0
2020-11-03,902.14,908.3
2020-11-04,905.48,912.3
2020-11-05,903.64,910.2
2020-11-06,902.91,908.3
2020-11-09,917.42,923.0
2020-11-10,916.5,921.0
2020-11-11,916.68,921.4
2020-11-12,923.0,927.9
2020-11-13,931.2,935.9
2020-11-16,915.97,916.9
2020-11-17,934.65,938.0
2020-11-18,937.67,936.0
2020-11-19,944.92,944.2
2020-11-20,950.89,952.4
2020-11-23,960.03,959.4
2020-11-24,959.61,964.0
2020-11-25,960.63,960.0
2020-11-26,964.16,970.2
